Object;L(at);L(c);L(ch);L(d);L(de);L(di);L(e);L(ej);L(en);L(er);L(ez);L(f);L(ge);L(gn);L(h);L(he);L(i);L(id);L(ie);L(in);L(ip);L(ir);L(is);L(it);L(iv);L(j);L(je);L(l);L(le);L(lv);L(me);L(mp);L(n);L(nd);L(ne);L(nj);L(nt);L(ol);L(p);L(pi);L(r);L(rd);L(re);L(rt);L(rv);L(s);L(sc);L(se);L(ss);L(st);L(t);L(te);L(tu);L(u);L(ud);L(uj);L(ul);L(v);L(ve);L(z);L(zi);R(r)
DEL(e);0;0;1;3;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;10
DEL(er);1;1;2;3;0;0;0;2;0;0;1;0;0;0;2;0;1;1;0;1;0;0;0;1;1;6;0;2;0;1;0;0;1;1;0;3;0;1;0;0;0;1;0;2;2;1;1;0;1;2;6;0;1;1;0;1;1;4;0;1;1;0
DEL(i);0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
DEL(r);0;0;0;0;2;1;38;0;0;0;0;0;1;0;0;1;2;0;2;0;0;0;0;0;0;0;5;0;2;0;1;0;0;0;6;0;0;0;0;1;0;0;2;0;0;0;0;4;0;0;0;11;0;0;0;0;0;0;1;0;0;0
DEL(é);0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEL(ì);0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INS(a);0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INS(s);0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INS(à);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INS(é);0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
