Object;1;2;3;ACC;ACT;ADJ;COND;DAT;FEM;FUT;GEN;IMP;IND;INST;L(a);L(ab);L(ad);L(ai);L(aj);L(ak);L(al);L(an);L(ar);L(as);L(at);L(au);L(av);L(aķ);L(aš);L(b);L(ba);L(be);L(bi);L(bl);L(br);L(bt);L(bē);L(c);L(ce);L(ci);L(cē);L(d);L(da);L(dc);L(de);L(dn);L(do);L(dr);L(ds);L(dz);L(dā);L(dē);L(dī);L(e);L(ec);L(ed);L(ek);L(el);L(en);L(ep);L(er);L(es);L(et);L(eš);L(f);L(g);L(ga);L(gn);L(go);L(gr);L(gs);L(gt);L(gā);L(i);L(ie);L(ig);L(ij);L(ik);L(il);L(im);L(in);L(ip);L(ir);L(is);L(it);L(iņ);L(j);L(ja);L(jo);L(js);L(jš);L(k);L(ka);L(kl);L(ko);L(ks);L(kt);L(kā);L(l);L(la);L(ld);L(le);L(li);L(lk);L(ln);L(ls);L(lv);L(lā);L(lē);L(lī);L(m);L(ma);L(mi);L(ms);L(mā);L(mē);L(n);L(na);L(nd);L(ne);L(ni);L(no);L(ns);L(nt);L(nā);L(nē);L(nī);L(o);L(od);L(of);L(ol);L(om);L(on);L(op);L(or);L(os);L(ot);L(p);L(pa);L(pi);L(pj);L(po);L(ps);L(pt);L(pē);L(r);L(ra);L(rd);L(re);L(rk);L(rn);L(ro);L(rp);L(rs);L(rt);L(rē);L(rī);L(s);L(sa);L(se);L(si);L(sk);L(sm);L(sn);L(ss);L(st);L(sā);L(sī);L(t);L(ta);L(te);L(ti);L(to);L(tr);L(ts);L(tē);L(tī);L(u);L(ud);L(um);L(ur);L(ut);L(uv);L(uē);L(uļ);L(v);L(va);L(ve);L(vi);L(vo);L(vs);L(vē);L(z);L(zd);L(ze);L(zē);L(zī);L(ā);L(āb);L(āj);L(āk);L(āl);L(ān);L(ār);L(āt);L(āv);L(ē);L(ēb);L(ēc);L(ēd);L(ēj);L(ēk);L(ēn);L(ēp);L(ēt);L(ēv);L(ģī);L(ī);L(īb);L(īd);L(īg);L(īn);L(īr);L(īs);L(īt);L(īv);L(īz);L(ķ);L(ķa);L(ķe);L(ķi);L(ķē);L(ļ);L(ļa);L(ļļ);L(ņ);L(ņa);L(š);L(ša);L(šs);L(šķ);L(ūk);L(ūm);L(ūn);L(ūr);LGSPEC1;LGSPEC2;LGSPEC4;LGSPEC5;LGSPEC6;LGSPEC7;LOC;LgSPEC8;MASC;N;NOM;PASS;PL;PRS;PST;R(a);R(ai);R(e);R(et);R(i);R(ie);R(is);R(l);R(lt);R(s);R(t);R(ti);SG;V;V.MSDR;V.PTCP;VOC
DEL(a);0;0;0;22;0;0;0;8;0;0;8;0;0;24;0;3;0;0;0;0;0;17;1;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;92;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0
DEL(ai);0;0;0;57;0;177;0;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;43;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;36;0;36;0;84;0;120;0;0;0;0;0;0;0;0;0;0;0;59;0;0;57;0;0;0;0
DEL(ais);0;0;0;100;0;246;0;60;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;1;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;94;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;128;0;60;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;0;0;0;0
DEL(e);0;4;0;4;0;0;0;4;0;0;4;0;4;22;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;1;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;0;0;47;0;0;33;0;4;0;0;0;0;0;0;0;1;1;1;0;0;18;4;0;0;0
DEL(i);0;3;0;0;0;111;0;0;51;0;0;0;3;111;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;60;3;0;0;117;3;0;0;0;1;1;0;0;0;0;0;38;0;0;0;3;0;0;0
DEL(is);0;0;0;0;0;122;0;32;82;0;44;0;0;48;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;40;6;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0
DEL(l);0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0
DEL(o);0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0
DEL(s);0;3;0;56;0;286;0;126;136;3;162;3;0;58;0;0;0;40;1;1;1;1;1;0;1;0;0;0;1;0;0;1;2;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;6;0;3;0;1;0;1;0;0;12;0;1;0;0;0;0;0;58;2;1;3;0;0;1;2;1;1;0;1;0;5;0;0;0;0;91;0;0;0;0;0;0;4;0;0;0;3;1;0;0;0;0;0;0;22;0;1;0;0;0;15;0;0;0;3;0;0;1;0;0;0;1;1;0;2;1;2;0;0;0;2;2;0;2;0;0;0;0;0;11;0;1;0;1;1;1;1;0;1;0;0;0;0;0;2;17;2;1;0;4;0;0;14;0;0;1;0;3;0;0;0;0;0;17;2;1;0;0;0;4;0;0;1;0;0;0;1;0;0;0;0;0;0;1;64;1;1;1;2;1;0;0;0;0;0;0;2;0;0;2;0;1;0;0;11;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;1;0;0;3;3;0;0;0;0;18;3;150;208;38;0;219;0;0;0;0;0;0;0;0;0;0;0;3;3;0;278;9;0;0;36
DEL(t);76;36;42;0;12;0;4;0;0;56;0;40;118;0;0;0;0;0;0;0;0;0;7;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;3;0;0;0;2;4;3;1;0;0;0;0;0;6;0;1;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;2;1;0;0;0;0;0;3;0;0;5;2;1;13;0;0;0;0;0;1;0;1;0;8;0;0;0;1;0;0;1;8;0;0;0;0;0;0;0;3;0;2;2;7;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;1;14;1;0;1;0;0;0;0;0;27;0;0;0;0;0;0;1;0;0;1;10;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;4;0;4;8;0;0;0;0;0;4;72;38;56;0;0;0;0;5;5;0;0;0;0;0;0;82;204;2;24;0
