elskerinde;elskerindes;elskerindeINS(s);INS(s);;danish
rabat;rabats;rabatINS(s);INS(s);;danish
moderkage;moderkage;moderkage;;;danish
trolde;troldede;trolINS(de)de;INS(de);;danish
diller;diller;diller;;;danish
metode;metoden;metodeINS(n);INS(n);;danish
skafot;skafotters;skafotINS(ters);INS(ters);;danish
gebyr;gebyrers;gebyrINS(ers);INS(ers);;danish
ildflue;ildflues;ildflueINS(s);INS(s);;danish
graviditet;graviditets;graviditetINS(s);INS(s);;danish
tirsdag;tirsdag;tirsdag;;;danish
laste;lastedes;lasteINS(des);INS(des);;danish
palindrom;palindromer;palindromINS(er);INS(er);;danish
folkehøjskole;folkehøjskolen;folkehøjskoleINS(n);INS(n);;danish
metier;metierer;metiINS(er)er;INS(er);;danish
spindelvæv;spindelvævs;spindelvævINS(s);INS(s);;danish
batteri;batteriet;batteriINS(et);INS(et);;danish
dåne;dåne;dåne;;;danish
kile;kilerne;kilINS(ern)e;INS(ern);;danish
hængebro;hængebros;hængebroINS(s);INS(s);;danish
immigration;immigrationerne;immigrationINS(erne);INS(erne);;danish
knalde;knalde;knalde;;;danish
agronom;agronoms;agronomINS(s);INS(s);;danish
synd;synden;syndINS(en);INS(en);;danish
mentor;mentor;mentor;;;danish
længdebølge;længdebølges;længdebølgeINS(s);INS(s);;danish
næs;næsset;næsINS(set);INS(set);;danish
bryn;bryns;brynINS(s);INS(s);;danish
medalje;medaljers;medaljeINS(rs);INS(rs);;danish
anæstesi;anæstesier;anæstesiINS(er);INS(er);;danish
buket;buketterne;buketINS(terne);INS(terne);;danish
fregne;fregnerne;fregINS(ner)ne;INS(ner);;danish
avokado;avokado;avokado;;;danish
rugemor;rugemødrene;rugemDEL(o)INS(ød)rINS(ene);INS(ød),INS(ene);DEL(o);danish
muffe;muffen;muffeINS(n);INS(n);;danish
palmesøndag;palmesøndages;palmesøndagINS(es);INS(es);;danish
despoti;despotiers;despotiINS(ers);INS(ers);;danish
opfostre;opfostres;opfostreINS(s);INS(s);;danish
legeme;legemerne;legemINS(ern)e;INS(ern);;danish
orgasme;orgasmen;orgasmeINS(n);INS(n);;danish
hofteben;hofteben;hofteben;;;danish
liv;livs;livINS(s);INS(s);;danish
kommissær;kommissærs;kommissærINS(s);INS(s);;danish
bilist;bilist;bilist;;;danish
trold;trolds;troldINS(s);INS(s);;danish
brise;briserne;brisINS(ern)e;INS(ern);;danish
maskine;maskines;maskineINS(s);INS(s);;danish
klimaforandring;klimaforandrings;klimaforandringINS(s);INS(s);;danish
soldug;soldug;soldug;;;danish
afrodisiakum;afrodisiakaene;afrodisiakDEL(um)INS(aene);INS(aene);DEL(um);danish
håndboldspiller;håndboldspillerene;håndboldspillerINS(ene);INS(ene);;danish
hjemmeside;hjemmesiden;hjemmesideINS(n);INS(n);;danish
egern;egernet;egernINS(et);INS(et);;danish
tryne;trynerne;tryINS(ner)ne;INS(ner);;danish
prins;prinser;prinsINS(er);INS(er);;danish
stab;staben;stabINS(en);INS(en);;danish
kommutere;kommutere;kommutere;;;danish
vulkan;vulkanerne;vulkanINS(erne);INS(erne);;danish
konference;konferencerne;konferencINS(ern)e;INS(ern);;danish
snestorm;snestormene;snestormINS(ene);INS(ene);;danish
foreningsmængde;foreningsmængders;foreningsmængdeINS(rs);INS(rs);;danish
primtal;primtal;primtal;;;danish
delfin;delfiner;delfinINS(er);INS(er);;danish
svulme;svulmer;svulmeINS(r);INS(r);;danish
kapring;kapringen;kapringINS(en);INS(en);;danish
kaffekande;kaffekanders;kaffekandeINS(rs);INS(rs);;danish
kirkegård;kirkegård;kirkegård;;;danish
centralnervesystem;centralnervesystems;centralnervesystemINS(s);INS(s);;danish
dragt;dragterne;dragtINS(erne);INS(erne);;danish
inuit;inuitters;inuitINS(ters);INS(ters);;danish
skudår;skudårs;skudårINS(s);INS(s);;danish
proprium;propriers;propriDEL(um)INS(ers);INS(ers);DEL(um);danish
café au lait;café au lait;café au lait;;;danish
trafikprop;trafikproppen;trafikpropINS(pen);INS(pen);;danish
storhed;storheders;storhedINS(ers);INS(ers);;danish
kryds;kryds';krydsINS(');INS(');;danish
nødudgang;nødudgangene;nødudgangINS(ene);INS(ene);;danish
translitteration;translitterationen;translitteratioINS(ne)n;INS(ne);;danish
hørfrø;hørfrø;hørfrø;;;danish
emne;emnerne;emINS(ner)ne;INS(ner);;danish
pulver;pulver;pulver;;;danish
ønskedrøm;ønskedrømme;ønskedrømINS(me);INS(me);;danish
greve;greves;greveINS(s);INS(s);;danish
dråbe;dråbes;dråbeINS(s);INS(s);;danish
hyæne;hyæners;hyæneINS(rs);INS(rs);;danish
sværd;sværdene;sværdINS(ene);INS(ene);;danish
ara;araer;araINS(er);INS(er);;danish
gravsten;gravstenene;gravstenINS(ene);INS(ene);;danish
blender;blendere;blenderINS(e);INS(e);;danish
resultat;resultats;resultatINS(s);INS(s);;danish
decimeter;decimeter;decimeter;;;danish
profet;profeten;profetINS(en);INS(en);;danish
grankogle;grankoglerne;grankoglINS(ern)e;INS(ern);;danish
kapring;kapring;kapring;;;danish
bund;bundes;bundINS(es);INS(es);;danish
slof;slofferne;slofINS(ferne);INS(ferne);;danish
genfærd;genfærds;genfærdINS(s);INS(s);;danish
spor;spors;sporINS(s);INS(s);;danish
kjove;kjovers;kjoveINS(rs);INS(rs);;danish
