Source;Target;Combined;Inserts;Deletes;Grammar
krbový;‎krbového;INS(‎)krbovDEL(ý)INS(ého);INS(‎),INS(ého);DEL(ý);ADJ,GEN,NEUT,SG
automatizovat;automatizovalo bych;automatizovaDEL(t)INS(lo bych);INS(lo bych);DEL(t);V,COND,PRS,1,SG,NEUT
obrazný;obrazný;obrazný;;;ADJ,NOM,MASC,SG
pasovat;byla by pasovala;INS(byla by )pasovINS(al)aDEL(t);INS(byla by ),INS(al);DEL(t);V,COND,PST,3,PL,NEUT
fotografovat;fotografovali;fotografovaDEL(t)INS(li);INS(li);DEL(t);V.PTCP,ACT,PRF,ANIM,MASC,PL
tisící;tisícím;tisícíINS(m);INS(m);;ADJ,INS,NEUT,SG
kodifikovat;bylo by kodifikovalo;INS(bylo by )kodifikovaDEL(t)INS(lo);INS(bylo by ),INS(lo);DEL(t);V,COND,PST,3,SG,NEUT
duchaplnost;duchaplnosti;duchaplnostINS(i);INS(i);;N,VOC,PL
biblický;biblické;biblickDEL(ý)INS(é);INS(é);DEL(ý);ADJ,VOC,MASC,PL
fotografovat;fotografujte;fotografDEL(ova)INS(uj)tINS(e);INS(uj),INS(e);DEL(ova);V,IMP,2,SG,FORM
mytologický;mytologické;mytologickDEL(ý)INS(é);INS(é);DEL(ý);ADJ,VOC,MASC,PL
korigovat;korigována;korigovINS(án)aDEL(t);INS(án);DEL(t);V.PTCP,PASS,NEUT,PL
fotka;fotka;fotka;;;N,NOM,SG
protinflační;protinflační;protinflační;;;ADJ,INS,FEM,SG
Němec;Němce;NěmDEL(e)cINS(e);INS(e);DEL(e);N,GEN,SG
článek;články;článDEL(e)kINS(y);INS(y);DEL(e);N,INS,PL
aktualizovaný;aktualizovanému;aktualizovanDEL(ý)INS(ému);INS(ému);DEL(ý);ADJ,DAT,NEUT,SG
palačinka;palačinkám;palačinkDEL(a)INS(ám);INS(ám);DEL(a);N,DAT,PL
molární;molarnímu;molDEL(á)INS(a)rníINS(mu);INS(a),INS(mu);DEL(á);ADJ,DAT,MASC,SG
oběd;obědy;obědINS(y);INS(y);;N,VOC,PL
zádumčivý;zádumčivou;zádumčivDEL(ý)INS(ou);INS(ou);DEL(ý);ADJ,ACC,FEM,SG
želvovinový;želvovinovém;želvovinovDEL(ý)INS(ém);INS(ém);DEL(ý);ADJ,ESS,MASC,SG
orientovat;byla bych orientovala;INS(byla bych )orientovINS(al)aDEL(t);INS(byla bych ),INS(al);DEL(t);V,COND,PST,1,SG,FEM
řečnický;řečnickému;řečnickDEL(ý)INS(ému);INS(ému);DEL(ý);ADJ,DAT,NEUT,SG
číst;budeš číst;INS(budeš )číst;INS(budeš );;V,IND,FUT,2,SG
deska;desek;desINS(e)kDEL(a);INS(e);DEL(a);N,GEN,PL
papír;papírech;papírINS(ech);INS(ech);;N,ESS,PL
myslet;myslíš;myslDEL(et)INS(íš);INS(íš);DEL(et);V,IND,PRS,2,SG
šumivý;šumivé;šumivDEL(ý)INS(é);INS(é);DEL(ý);ADJ,ESS,FEM,SG
rytmický;rytmickou;rytmickDEL(ý)INS(ou);INS(ou);DEL(ý);ADJ,ACC,FEM,SG
fichtovský;fichtovského;fichtovskDEL(ý)INS(ého);INS(ého);DEL(ý);ADJ,GEN,NEUT,SG
kompostovat;kompostována;kompostovINS(án)aDEL(t);INS(án);DEL(t);V.PTCP,PASS,NEUT,PL
pizda;pizdy;pizdDEL(a)INS(y);INS(y);DEL(a);N,GEN,SG
následovat;bylo bych následovalo;INS(bylo bych )následovaDEL(t)INS(lo);INS(bylo bych ),INS(lo);DEL(t);V,COND,PST,1,SG,NEUT
hmotnost;hmotnosti;hmotnostINS(i);INS(i);;N,DAT,SG
podlézavý;podlézavému;podlézavDEL(ý)INS(ému);INS(ému);DEL(ý);ADJ,DAT,NEUT,SG
