Source;Target;Combined;Inserts;Deletes
elskerinde;elskerindes;elskerindeINS(s);INS(s);
rabat;rabats;rabatINS(s);INS(s);
moderkage;moderkage;moderkage;;
trolde;troldede;trolINS(de)de;INS(de);
diller;diller;diller;;
metode;metoden;metodeINS(n);INS(n);
skafot;skafotters;skafotINS(ters);INS(ters);
gebyr;gebyrers;gebyrINS(ers);INS(ers);
ildflue;ildflues;ildflueINS(s);INS(s);
graviditet;graviditets;graviditetINS(s);INS(s);
tirsdag;tirsdag;tirsdag;;
laste;lastedes;lasteINS(des);INS(des);
palindrom;palindromer;palindromINS(er);INS(er);
folkehøjskole;folkehøjskolen;folkehøjskoleINS(n);INS(n);
metier;metierer;metiINS(er)er;INS(er);
spindelvæv;spindelvævs;spindelvævINS(s);INS(s);
batteri;batteriet;batteriINS(et);INS(et);
dåne;dåne;dåne;;
kile;kilerne;kilINS(ern)e;INS(ern);
hængebro;hængebros;hængebroINS(s);INS(s);
immigration;immigrationerne;immigrationINS(erne);INS(erne);
knalde;knalde;knalde;;
agronom;agronoms;agronomINS(s);INS(s);
synd;synden;syndINS(en);INS(en);
mentor;mentor;mentor;;
længdebølge;længdebølges;længdebølgeINS(s);INS(s);
næs;næsset;næsINS(set);INS(set);
bryn;bryns;brynINS(s);INS(s);
medalje;medaljers;medaljeINS(rs);INS(rs);
anæstesi;anæstesier;anæstesiINS(er);INS(er);
buket;buketterne;buketINS(terne);INS(terne);
fregne;fregnerne;fregINS(ner)ne;INS(ner);
avokado;avokado;avokado;;
rugemor;rugemødrene;rugemDEL(o)INS(ød)rINS(ene);INS(ød),INS(ene);DEL(o)
muffe;muffen;muffeINS(n);INS(n);
palmesøndag;palmesøndages;palmesøndagINS(es);INS(es);
despoti;despotiers;despotiINS(ers);INS(ers);
opfostre;opfostres;opfostreINS(s);INS(s);
legeme;legemerne;legemINS(ern)e;INS(ern);
orgasme;orgasmen;orgasmeINS(n);INS(n);
hofteben;hofteben;hofteben;;
liv;livs;livINS(s);INS(s);
kommissær;kommissærs;kommissærINS(s);INS(s);
bilist;bilist;bilist;;
trold;trolds;troldINS(s);INS(s);
brise;briserne;brisINS(ern)e;INS(ern);
maskine;maskines;maskineINS(s);INS(s);
klimaforandring;klimaforandrings;klimaforandringINS(s);INS(s);
soldug;soldug;soldug;;
afrodisiakum;afrodisiakaene;afrodisiakDEL(um)INS(aene);INS(aene);DEL(um)
håndboldspiller;håndboldspillerene;håndboldspillerINS(ene);INS(ene);
hjemmeside;hjemmesiden;hjemmesideINS(n);INS(n);
egern;egernet;egernINS(et);INS(et);
tryne;trynerne;tryINS(ner)ne;INS(ner);
prins;prinser;prinsINS(er);INS(er);
stab;staben;stabINS(en);INS(en);
kommutere;kommutere;kommutere;;
vulkan;vulkanerne;vulkanINS(erne);INS(erne);
konference;konferencerne;konferencINS(ern)e;INS(ern);
snestorm;snestormene;snestormINS(ene);INS(ene);
foreningsmængde;foreningsmængders;foreningsmængdeINS(rs);INS(rs);
primtal;primtal;primtal;;
delfin;delfiner;delfinINS(er);INS(er);
svulme;svulmer;svulmeINS(r);INS(r);
kapring;kapringen;kapringINS(en);INS(en);
kaffekande;kaffekanders;kaffekandeINS(rs);INS(rs);
kirkegård;kirkegård;kirkegård;;
centralnervesystem;centralnervesystems;centralnervesystemINS(s);INS(s);
dragt;dragterne;dragtINS(erne);INS(erne);
inuit;inuitters;inuitINS(ters);INS(ters);
skudår;skudårs;skudårINS(s);INS(s);
proprium;propriers;propriDEL(um)INS(ers);INS(ers);DEL(um)
café au lait;café au lait;café au lait;;
trafikprop;trafikproppen;trafikpropINS(pen);INS(pen);
storhed;storheders;storhedINS(ers);INS(ers);
kryds;kryds';krydsINS(');INS(');
nødudgang;nødudgangene;nødudgangINS(ene);INS(ene);
translitteration;translitterationen;translitteratioINS(ne)n;INS(ne);
hørfrø;hørfrø;hørfrø;;
emne;emnerne;emINS(ner)ne;INS(ner);
pulver;pulver;pulver;;
ønskedrøm;ønskedrømme;ønskedrømINS(me);INS(me);
greve;greves;greveINS(s);INS(s);
dråbe;dråbes;dråbeINS(s);INS(s);
hyæne;hyæners;hyæneINS(rs);INS(rs);
sværd;sværdene;sværdINS(ene);INS(ene);
ara;araer;araINS(er);INS(er);
gravsten;gravstenene;gravstenINS(ene);INS(ene);
blender;blendere;blenderINS(e);INS(e);
resultat;resultats;resultatINS(s);INS(s);
decimeter;decimeter;decimeter;;
profet;profeten;profetINS(en);INS(en);
grankogle;grankoglerne;grankoglINS(ern)e;INS(ern);
kapring;kapring;kapring;;
bund;bundes;bundINS(es);INS(es);
slof;slofferne;slofINS(ferne);INS(ferne);
genfærd;genfærds;genfærdINS(s);INS(s);
spor;spors;sporINS(s);INS(s);
kjove;kjovers;kjoveINS(rs);INS(rs);
kædesav;kædesaves;kædesavINS(es);INS(es);
data;data;data;;
erfare;erfares;erfareINS(s);INS(s);
lydpotte;lydpotterne;lydpottINS(ern)e;INS(ern);
translitteration;translitterationer;translitterationINS(er);INS(er);
kænguru;kænguruers;kænguruINS(ers);INS(ers);
bombardement;bombardement;bombardement;;
nyttevirkning;nyttevirkninger;nyttevirkningINS(er);INS(er);
lommetyv;lommetyve;lommetyvINS(e);INS(e);
japaner;japanere;japanerINS(e);INS(e);
natur;naturen;naturINS(en);INS(en);
pronomen;pronomenerne;pronomenINS(erne);INS(erne);
