Source;Target;Combined;Inserts;Deletes;Grammar
külastama;külastasin;külastDEL(am)aINS(sin);INS(sin);DEL(am);V,ACT,PST,POS,IND,1,SG
papagoi;papagoidele;papagoiINS(dele);INS(dele);;N,AT+ALL,PL
järjehoidja;järjehoidjateks;järjehoidjaINS(teks);INS(teks);;N,TRANS,PL
türklane;türklased;türklaDEL(n)INS(s)eINS(d);INS(s),INS(d);DEL(n);N,NOM,PL
mustikas;mustikatelt;mustikaDEL(s)INS(telt);INS(telt);DEL(s);N,AT+ABL,PL
panema;panen;paneDEL(ma)INS(n);INS(n);DEL(ma);V,ACT,PRS,POS,IND,1,SG
tuba;tubadena;tubINS(aden)a;INS(aden);;N,FRML,PL
trofee;trofeedeks;trofeeINS(deks);INS(deks);;N,TRANS,PL
harjutus;harjutusel;harjutusINS(el);INS(el);;N,AT+ESS,SG
fallos;falloses;falloINS(se)s;INS(se);;N,IN+ESS,SG
välde;vältes;välDEL(d)INS(t)eINS(s);INS(t),INS(s);DEL(d);N,IN+ESS,SG
türklane;türklaseni;türklaINS(se)nDEL(e)INS(i);INS(se),INS(i);DEL(e);N,TERM,SG
langema;langetav;langeDEL(m)INS(t)aINS(v);INS(t),INS(v);DEL(m);V.PTCP,PASS,PRS
poro;porodeks;poroINS(deks);INS(deks);;N,TRANS,PL
rääkima;olid rääkinud;INS(olid )rääkiDEL(ma)INS(nud);INS(olid ),INS(nud);DEL(ma);V,ACT,PRS,PRF,POS,COND,2,SG
nülgima;ei nülitaks;INS(ei )nülDEL(g)iDEL(m)INS(t)aINS(ks);INS(ei ),INS(t),INS(ks);DEL(g),DEL(m);V,PASS,PRS,NEG,COND
harjutama;ei olnud harjutatudp;INS(ei olnud )harjutDEL(am)aINS(tudp);INS(ei olnud ),INS(tudp);DEL(am);V,PASS,PST,PRF,NEG,IND
töö;tööna;tööINS(na);INS(na);;N,FRML,SG
kange;kangeteks;kangeINS(teks);INS(teks);;N,TRANS,PL
harjama;ärgu harjaku;INS(ärgu )harjDEL(am)aINS(ku);INS(ärgu ),INS(ku);DEL(am);V,ACT,PRS,NEG,IMP,3,PL
hukkama;hukkasid;hukkDEL(am)aINS(sid);INS(sid);DEL(am);V,ACT,PST,POS,IND,3,PL
ühendama;olin ühendanud;INS(olin )ühendDEL(am)aINS(nud);INS(olin ),INS(nud);DEL(am);V,ACT,PRS,PRF,POS,COND,1,SG
hirmuma;oleksin hirmunud;INS(oleksin )hirmuDEL(ma)INS(nud);INS(oleksin ),INS(nud);DEL(ma);V,ACT,PRS,PRF,POS,COND
kippuma;kipuksid;kiDEL(p)puDEL(ma)INS(ksid);INS(ksid);DEL(p),DEL(ma);V,ACT,PRS,POS,COND,3,PL
polüester;polüestriteni;polüestDEL(e)rINS(iteni);INS(iteni);DEL(e);N,TERM,PL
kirjutama;ärgu kirjutagu;INS(ärgu )kirjutDEL(am)aINS(gu);INS(ärgu ),INS(gu);DEL(am);V,ACT,PRS,NEG,IMP,3,PL
idee;ideedest;ideeINS(dest);INS(dest);;N,IN+ABL,PL
laulma;lauldud;laulDEL(ma)INS(dud);INS(dud);DEL(ma);V.PTCP,PASS,PST
sõitma;ei ole sõitnudp;INS(ei ole )sõitDEL(ma)INS(nudp);INS(ei ole ),INS(nudp);DEL(ma);V,ACT,PST,NEG,IND
kaotama;olen kaotanud;INS(olen )kaotDEL(am)aINS(nud);INS(olen ),INS(nud);DEL(am);V,ACT,PRS,PRF,POS,IND,1,SG
süli;süled;sülDEL(i)INS(ed);INS(ed);DEL(i);N,NOM,PL
vaidlema;vaidlesid;vaidleDEL(ma)INS(sid);INS(sid);DEL(ma);V,ACT,PST,POS,IND,3,PL
nimetav;nimetavatele;nimetavINS(atele);INS(atele);;N,AT+ALL,PL
jaatav;jaatav;jaatav;;;N,NOM,SG
kõndima;on kõnnitud;INS(on )kõnINS(nitu)dDEL(ima);INS(on ),INS(nitu);DEL(ima);V,PASS,PRS,PRF,POS,IND
bussipeatus;bussipeatusteta;bussipeatusINS(teta);INS(teta);;N,PRIV,PL
masturbeerima;masturbeerisin;masturbeeriDEL(ma)INS(sin);INS(sin);DEL(ma);V,ACT,PST,POS,IND,1,SG
avama;oleksime avanud;INS(oleksime )avDEL(am)aINS(nud);INS(oleksime ),INS(nud);DEL(am);V,ACT,PRS,PRF,POS,COND,1,PL
maantee;maanteeks;maanteeINS(ks);INS(ks);;N,TRANS,SG
jalanõu;jalanõudelt;jalanõuINS(delt);INS(delt);;N,AT+ABL,PL
