Source;Target;Combined;Inserts;Deletes;Grammar
észszerűsít;észszerűsítsd;észszerűsítINS(sd);INS(sd);;V,SBJV,PRS,DEF,2,SG
paradigmaváltás;paradigmaváltásban;paradigmaváltásINS(ban);INS(ban);;N,IN+ESS,SG
szúnyog;szúnyogon;szúnyogINS(on);INS(on);;N,ON+ESS,SG
felbujtó;felbujtókkal;felbujtóINS(kkal);INS(kkal);;N,INST,PL
semleges;semlegeseken;semlegesINS(eken);INS(eken);;N,AT+ESS,PL
ezüstlakodalom;ezüstlakodalmakra;ezüstlakodalDEL(o)mINS(akra);INS(akra);DEL(o);N,AT+ALL,PL
tátog;tátogsz;tátogINS(sz);INS(sz);;V,IND,PRS,INDF,2,SG
megkövet;megkövetnie;megkövetINS(nie);INS(nie);;V,NFIN,3,SG
kilélegzik;kilélegzendő;kilélegzDEL(ik)INS(endő);INS(endő);DEL(ik);V.PTCP,FUT
fogas;fogasokban;fogasINS(okban);INS(okban);;N,ON+ESS,PL
fejfedő;fejfedőknek;fejfedőINS(knek);INS(knek);;N,DAT,PL
útjuk;útjuktól;útjukINS(tól);INS(tól);;N,AT+ABL,SG
licenc;licencként;licencINS(ként);INS(ként);;N,FRML,SG
zsizsik;zsizsikekről;zsizsikINS(ekről);INS(ekről);;N,ON+ABL,PL
csúnya;csúnyaként;csúnyaINS(ként);INS(ként);;N,FRML,SG
álarcosbál;álarcosbálokba;álarcosbálINS(okba);INS(okba);;N,IN+ALL,PL
fertőzés;fertőzésbe;fertőzésINS(be);INS(be);;N,IN+ALL,SG
olló;ollóból;ollóINS(ból);INS(ból);;N,IN+ABL,SG
bűnbak;bűnbakkal;bűnbakINS(kal);INS(kal);;N,INST,SG
ítélet;ítéleteken;ítéletINS(eken);INS(eken);;N,ON+ESS,PL
totemoszlop;totemoszlopért;totemoszlopINS(ért);INS(ért);;N,PRP,SG
bizottság;bizottsághoz;bizottságINS(hoz);INS(hoz);;N,IN+ABL,SG
tulajdon;tulajdonokig;tulajdonINS(okig);INS(okig);;N,TERM,PL
helységnév;helységnevekért;helységnDEL(é)INS(e)vINS(ekért);INS(e),INS(ekért);DEL(é);N,PRP,PL
bőséges;bőségesből;bőségesINS(ből);INS(ből);;N,IN+ABL,SG
feszít;feszíteném;feszítINS(eném);INS(eném);;V,COND,PRS,DEF,1,SG
természet;természetekből;természetINS(ekből);INS(ekből);;N,ON+ABL,PL
mutáció;mutációért;mutációINS(ért);INS(ért);;N,PRP,SG
pornó;pornókkal;pornóINS(kkal);INS(kkal);;N,INST,PL
előbőr;előbőrökön;előbőrINS(ökön);INS(ökön);;N,ON+ESS,PL
elektromosság;elektromosságról;elektromosságINS(ról);INS(ról);;N,ON+ABL,SG
távcső;távcsöveknek;távcsDEL(ő)INS(öveknek);INS(öveknek);DEL(ő);N,DAT,PL
nyúlvány;nyúlványra;nyúlványINS(ra);INS(ra);;N,ON+ALL,SG
néptánc;néptáncként;néptáncINS(ként);INS(ként);;N,FRML,SG
meseország;meseországon;meseországINS(on);INS(on);;N,ON+ESS,SG
lerakódás;lerakódásokká;lerakódásINS(okká);INS(okká);;N,TRANS,PL
legfelső;legfelsőktől;legfelsőINS(ktől);INS(ktől);;N,AT+ABL,PL
felsőoktatás;felsőoktatás;felsőoktatás;;;N,NOM,SG
forgalmaz;forgalmaztad;forgalmazINS(tad);INS(tad);;V,IND,PST,DEF,2,SG
körülmetél;körülmetéltetek;körülmetélINS(tetek);INS(tetek);;V,IND,PST,INDF,2,PL
ma;mákban;mINS(ákb)aINS(n);INS(ákb),INS(n);;N,ON+ESS,PL
roborál;roborálnának;roborálINS(nának);INS(nának);;V,COND,PRS,INDF,3,PL
programom;programomnak;programomINS(nak);INS(nak);;N,DAT,SG
lemez;lemezből;lemezINS(ből);INS(ből);;N,ON+ABL,SG
bélmozgás;bélmozgásokig;bélmozgásINS(okig);INS(okig);;N,TERM,PL
fejeim;fejeimmel;fejeimINS(mel);INS(mel);;N,INST,SG
ametiszt;ametisztekről;ametisztINS(ekről);INS(ekről);;N,AT+ABL,PL
fenntartható;fenntarthatóval;fenntarthatóINS(val);INS(val);;N,INST,SG
attraktív;attraktívakhoz;attraktívINS(akhoz);INS(akhoz);;N,AT+ALL,PL
ötös;ötösért;ötösINS(ért);INS(ért);;N,PRP,SG
bárányfelhő;bárányfelhőkre;bárányfelhőINS(kre);INS(kre);;N,ON+ALL,PL
találmányod;találmányoddal;találmányodINS(dal);INS(dal);;N,INST,SG
tehénistálló;tehénistállóban;tehénistállóINS(ban);INS(ban);;N,IN+ESS,SG
rengeteg;rengetegig;rengeteINS(gi)g;INS(gi);;N,FRML,SG
lényegi;lényegiben;lényegiINS(ben);INS(ben);;N,IN+ESS,SG
gyógyfű;gyógyfüveknek;gyógyfDEL(ű)INS(üveknek);INS(üveknek);DEL(ű);N,DAT,PL
szavazófülke;szavazófülkébe;szavazófülkINS(éb)e;INS(éb);;N,IN+ALL,SG
könyves;könyvesekért;könyvesINS(ekért);INS(ekért);;N,PRP,PL
innovációs;innovációsig;innovációsINS(ig);INS(ig);;N,TERM,SG
rágalmazó;rágalmazó;rágalmazó;;;N,NOM,SG
produktum;produktumban;produktumINS(ban);INS(ban);;N,IN+ESS,SG
feltart;feltartja;feltartINS(ja);INS(ja);;V,IND,PRS,DEF,3,SG
könyvelés;könyvelésbe;könyvelésINS(be);INS(be);;N,IN+ALL,SG
jenki;jenkiket;jenkiINS(ket);INS(ket);;N,ACC,PL
kompatibilitás;kompatibilitást;kompatibilitásINS(t);INS(t);;N,ACC,SG
röhög;röhögni;röhögINS(ni);INS(ni);;V,NFIN
budapesti;budapestieknél;budapestiINS(eknél);INS(eknél);;N,IN+ALL,PL
merész;merészeknél;merészINS(eknél);INS(eknél);;N,AT+ESS,PL
puhafa;puhafákká;puhafDEL(a)INS(ákká);INS(ákká);DEL(a);N,TRANS,PL
átfog;átfogtuk;átfogINS(tuk);INS(tuk);;V,IND,PST,DEF,1,PL
céllövölde;céllövöldékben;céllövöldINS(ékb)eINS(n);INS(ékb),INS(n);;N,IN+ESS,PL
padló;padlókról;padlóINS(król);INS(król);;N,ON+ABL,PL
pehelysúly;pehelysúlyokig;pehelysúlyINS(okig);INS(okig);;N,TERM,PL
mandarinréce;mandarinrécében;mandarinrécINS(éb)eINS(n);INS(éb),INS(n);;N,IN+ESS,SG
árai;áraiként;áraiINS(ként);INS(ként);;N,FRML,SG
kinéz;kinézte;kinézINS(te);INS(te);;V,IND,PST,DEF,3,SG
egyiptológia;egyiptológiákba;egyiptológiINS(ákb)a;INS(ákb);;N,IN+ALL,PL
nemese;nemesére;nemesINS(ér)e;INS(ér);;N,ON+ALL,SG
fejem;fejemért;fejemINS(ért);INS(ért);;N,PRP,SG
mobiltelefon;mobiltelefont;mobiltelefonINS(t);INS(t);;N,ACC,SG
meglát;meglátnátok;meglátINS(nátok);INS(nátok);;V,COND,PRS,DEF,2,PL
vezetőség;vezetőségeken;vezetőségINS(eken);INS(eken);;N,ON+ESS,PL
tájol;tájolnák;tájolINS(nák);INS(nák);;V,COND,PRS,DEF,3,PL
előítélet;előítéletek;előítéletINS(ek);INS(ek);;N,NOM,PL
tragédia;tragédiákért;tragédiDEL(a)INS(ákért);INS(ákért);DEL(a);N,PRP,PL
fogalmaz;fogalmaznád;fogalmazINS(nád);INS(nád);;V,COND,PRS,DEF,2,SG
megtekint;megtekintett;megtekinINS(tet)t;INS(tet);;V.PTCP,PST
transzformál;transzformálunk;transzformálINS(unk);INS(unk);;V,IND,PRS,INDF,1,PL
gúla;gúlává;gúlDEL(a)INS(ává);INS(ává);DEL(a);N,TRANS,SG
arckép;arcképpé;arcképINS(pé);INS(pé);;N,TRANS,SG
olvasható;olvashatóktól;olvashatóINS(któl);INS(któl);;N,AT+ABL,PL
szükségesség;szükségességekből;szükségességINS(ekből);INS(ekből);;N,IN+ABL,PL
párnahuzat;párnahuzatok;párnahuzatINS(ok);INS(ok);;N,NOM,PL
fasizmus;fasizmusokhoz;fasizmusINS(okhoz);INS(okhoz);;N,AT+ALL,PL
jégbor;jégborokban;jégborINS(okban);INS(okban);;N,IN+ESS,PL
védekezés;védekezésből;védekezésINS(ből);INS(ből);;N,IN+ABL,SG
baktérium;baktériumért;baktériumINS(ért);INS(ért);;N,PRP,SG
lelki;lelkiekből;lelkiINS(ekből);INS(ekből);;N,IN+ABL,PL
csóka;csókáktól;csókDEL(a)INS(áktól);INS(áktól);DEL(a);N,AT+ABL,PL
legrészletesebb;legrészletesebben;legrészletesebbINS(en);INS(en);;N,ON+ESS,SG
kölcsönöz;kölcsönöztünk;kölcsönözINS(tünk);INS(tünk);;V,IND,PST,INDF,1,PL
bezoárkecske;bezoárkecskékért;bezoárkecskDEL(e)INS(ékért);INS(ékért);DEL(e);N,PRP,PL
ribanc;ribancként;ribancINS(ként);INS(ként);;N,FRML,SG
rejtvény;rejtvényen;rejtvényINS(en);INS(en);;N,ON+ESS,SG
szafari;szafaritól;szafariINS(tól);INS(tól);;N,AT+ABL,SG
egyenértékű;egyenértékűekbe;egyenértékűINS(ekbe);INS(ekbe);;N,IN+ALL,PL
politikus;politikusban;politikusINS(ban);INS(ban);;N,IN+ESS,SG
bakfis;bakfisokkal;bakfisINS(okkal);INS(okkal);;N,INST,PL
programjaink;programjainknak;programjainINS(kna)k;INS(kna);;N,DAT,SG
olvasószerkesztő;olvasószerkesztőért;olvasószerkesztőINS(ért);INS(ért);;N,PRP,SG
megmond;megmondanál;megmondINS(anál);INS(anál);;V,COND,PRS,INDF,2,SG
cipőhúzó;cipőhúzókért;cipőhúzóINS(kért);INS(kért);;N,PRP,PL
ablaktalan;ablaktalanokból;ablaktalanINS(okból);INS(okból);;N,IN+ABL,PL
egér;egerekért;egINS(erek)érINS(t);INS(erek),INS(t);;N,TRANS,PL
ker.;ker.-nek;ker.INS(-nek);INS(-nek);;N,DAT,SG
megemlít;megemlítettél;megemlítINS(ettél);INS(ettél);;V,IND,PST,INDF,2,SG
vihara;viharához;viharDEL(a)INS(ához);INS(ához);DEL(a);N,AT+ALL,SG
tócsa;tócsaként;tócsaINS(ként);INS(ként);;N,FRML,SG
hókócsag;hókócsagok;hókócsagINS(ok);INS(ok);;N,NOM,PL
remetelak;remetelakokat;remetelakINS(okat);INS(okat);;N,ACC,PL
csontrák;csontrákért;csontrákINS(ért);INS(ért);;N,PRP,SG
legalacsonyabb;legalacsonyabbakban;legalacsonyabbINS(akban);INS(akban);;N,IN+ESS,PL
álmatlanság;álmatlansággal;álmatlanságINS(gal);INS(gal);;N,INST,SG
fiatal;fiatalról;fiataINS(lró)l;INS(lró);;N,AT+ABL,SG
vakít;vakítanál;vakítINS(anál);INS(anál);;V,COND,PRS,INDF,2,SG
guta;gutává;gutDEL(a)INS(ává);INS(ává);DEL(a);N,TRANS,SG
konfigurációs;konfigurációsaknál;konfigurációsINS(aknál);INS(aknál);;N,AT+ESS,PL
gyors;gyorsak;gyorsINS(ak);INS(ak);;N,NOM,PL
érkezés;érkezést;érkezésINS(t);INS(t);;N,ACC,SG
lift;liftekben;liftINS(ekben);INS(ekben);;N,IN+ESS,PL
kutatás;kutatásokig;kutatásINS(okig);INS(okig);;N,TERM,PL
pokol;poklokon;pokDEL(o)lINS(okon);INS(okon);DEL(o);N,ON+ESS,PL
kelet;keleteken;keletINS(eken);INS(eken);;N,ON+ESS,PL
minta;mintákban;mintINS(ákb)aINS(n);INS(ákb),INS(n);;N,IN+ESS,PL
rúzs;rúzsokkal;rúzsINS(okkal);INS(okkal);;N,INST,PL
máglyahalál;máglyahaláloknak;máglyahalálINS(oknak);INS(oknak);;N,DAT,PL
megújulás;megújulásért;megújulásINS(ért);INS(ért);;N,PRP,SG
legillatosabb;legillatosabbakhoz;legillatosabbINS(akhoz);INS(akhoz);;N,AT+ALL,PL
szabálytalan;szabálytalanról;szabálytalanINS(ról);INS(ról);;N,ON+ABL,SG
félelem;félelemből;félelemINS(ből);INS(ből);;N,IN+ABL,SG
pótkerék;pótkerekekhez;pótkerDEL(é)INS(e)kINS(ekhez);INS(e),INS(ekhez);DEL(é);N,AT+ALL,PL
fing;fingnak;fingINS(nak);INS(nak);;N,DAT,SG
hógolyó;hógolyóból;hógolyóINS(ból);INS(ból);;N,IN+ABL,SG
családtag;családtagnak;családtagINS(nak);INS(nak);;N,DAT,SG
bajnoki;bajnokiakból;bajnokiINS(akból);INS(akból);;N,IN+ABL,PL
bagolytanya;bagolytanyánál;bagolytanyDEL(a)INS(ánál);INS(ánál);DEL(a);N,IN+ALL,SG
fogyóhold;fogyóholdak;fogyóholdINS(ak);INS(ak);;N,NOM,PL
kulimász;kulimászként;kulimászINS(ként);INS(ként);;N,FRML,SG
trilógia;trilógiákkal;trilógiINS(ákk)aINS(l);INS(ákk),INS(l);;N,INST,PL
bőrgyulladás;bőrgyulladásokhoz;bőrgyulladásINS(okhoz);INS(okhoz);;N,AT+ALL,PL
bejárat;singular;DEL(bejá)INS(singula)rDEL(at);INS(singula);DEL(bejá),DEL(at);N,NOM,SG
újabb;újabbról;újabbINS(ról);INS(ról);;N,ON+ABL,SG
gúnár;gúnárokként;gúnárINS(okként);INS(okként);;N,FRML,PL
ittas;ittasakhoz;ittasINS(akhoz);INS(akhoz);;N,AT+ALL,PL
koffein;koffeinektől;koffeinINS(ektől);INS(ektől);;N,AT+ABL,PL
megőriz;megőrizze;megőrizINS(ze);INS(ze);;V,SBJV,PRS,DEF,3,SG
átismétel;átismételnék;átismételINS(nék);INS(nék);;V,COND,PRS,DEF,3,PL
hímzés;hímzésig;hímzésINS(ig);INS(ig);;N,TERM,SG
nyúlvány;nyúlványként;nyúlványINS(ként);INS(ként);;N,FRML,SG
vízcsepp;vízcseppekben;vízcseppINS(ekben);INS(ekben);;N,IN+ESS,PL
gyanú;gyanúban;gyanúINS(ban);INS(ban);;N,ON+ESS,SG
boglya;boglyák;boglyDEL(a)INS(ák);INS(ák);DEL(a);N,ACC,PL
