Source;Target;Combined;Inserts;Deletes
íþróttahús;íþróttahúsum;íþróttahúsINS(um);INS(um);
svengja;svengt;svengDEL(ja)INS(t);INS(t);DEL(ja)
stuðull;stuðlarnir;stuðDEL(ul)lINS(arnir);INS(arnir);DEL(ul)
kýli;kýli;kýli;;
glæpur gegn mannkyni;glæpanna;glæpDEL(ur gegn m)annDEL(kyni)INS(a);INS(a);DEL(ur gegn m),DEL(kyni)
möppudýr;möppudýrunum;möppudýrINS(unum);INS(unum);
þórsdagur;þórsdaganna;þórsdagDEL(ur)INS(anna);INS(anna);DEL(ur)
þagga;þaggaði;þaggaINS(ði);INS(ði);
breidd;breiddirnar;breiddINS(irnar);INS(irnar);
finka;finkunum;finkDEL(a)INS(unum);INS(unum);DEL(a)
valtari;valtarann;valtarDEL(i)INS(ann);INS(ann);DEL(i)
hávaðamaður;hávaðamaður;hávaðamaður;;
þrenna;þrennu;þrennDEL(a)INS(u);INS(u);DEL(a)
reim;reimar;reimINS(ar);INS(ar);
versla;versluðuð;verslDEL(a)INS(uðuð);INS(uðuð);DEL(a)
skari;skarans;skarDEL(i)INS(ans);INS(ans);DEL(i)
svif;svif;svif;;
margæs;margæs;margæs;;
vegasalt;vegasalt;vegasalt;;
bridds;briddsinu;briddsINS(inu);INS(inu);
kennd;kenndina;kenndINS(ina);INS(ina);
róður;róðranna;róðDEL(u)rINS(anna);INS(anna);DEL(u)
fróa;fróað;fróaINS(ð);INS(ð);
fýra;fýraði;fýraINS(ði);INS(ði);
kameldýr;kameldýri;kameldýrINS(i);INS(i);
bursta;burstið;burstDEL(a)INS(ið);INS(ið);DEL(a)
frændi;frænda;frændDEL(i)INS(a);INS(a);DEL(i)
páka;pákunnar;pákINS(unn)aINS(r);INS(unn),INS(r);
leiðbeining;leiðbeiningu;leiðbeiningINS(u);INS(u);
dótturdóttir;dótturdætur;dótturdDEL(ótti)INS(ætu)r;INS(ætu);DEL(ótti)
úthald;úthalds;úthaldINS(s);INS(s);
pára;párar;páraINS(r);INS(r);
blokkflauta;blokkflautum;blokkflautDEL(a)INS(um);INS(um);DEL(a)
gröf;grafirnar;grDEL(ö)INS(a)fINS(irnar);INS(a),INS(irnar);DEL(ö)
þak;þakið;þakINS(ið);INS(ið);
dekk;dekkin;dekkINS(in);INS(in);
bóla;bólum;bólDEL(a)INS(um);INS(um);DEL(a)
verkstæði;verkstæðinu;verkstæðiINS(nu);INS(nu);
partí;partíin;partíINS(in);INS(in);
regnkápa;regnkápurnar;regnkápINS(urn)aINS(r);INS(urn),INS(r);
