Source;Target;Combined;Inserts;Deletes;Grammar
variz;variksen;variDEL(z)INS(ksen);INS(ksen);DEL(z);N,SG,GEN
velli;vellilöil;velliINS(löil);INS(löil);;N,PL,AT+ESS
järvi;järvilöist;järviINS(löist);INS(löist);;N,PL,IN+ABL
ikkuna;ikkunoiks;ikkunDEL(a)INS(oiks);INS(oiks);DEL(a);N,PL,TRANS
kassen;kastmiin;kasDEL(se)INS(tmii)n;INS(tmii);DEL(se);N,PL,ESS
joki;jokkeen;jokDEL(i)INS(keen);INS(keen);DEL(i);N,SG,ESS
variz;variksist;variDEL(z)INS(ksist);INS(ksist);DEL(z);N,PL,IN+ABL
olut;oluiziil;oluDEL(t)INS(iziil);INS(iziil);DEL(t);N,PL,AT+ESS
pökköiheinä;pökköiheinääl;pökköiheinäINS(äl);INS(äl);;N,SG,AT+ESS
velli;velleez;vellDEL(i)INS(eez);INS(eez);DEL(i);N,SG,IN+ESS
süän;süämeez;süäDEL(n)INS(meez);INS(meez);DEL(n);N,SG,IN+ESS
kevät;keväiks;keväDEL(t)INS(iks);INS(iks);DEL(t);N,PL,TRANS
nain;naizilt;naiDEL(n)INS(zilt);INS(zilt);DEL(n);N,PL,AT+ABL
lammaz;lampahaal;lamDEL(maz)INS(pahaal);INS(pahaal);DEL(maz);N,SG,AT+ESS
jää;jäälle;jääINS(lle);INS(lle);;N,SG,AT+ALL
variz;variksiil;variDEL(z)INS(ksiil);INS(ksiil);DEL(z);N,PL,AT+ESS
kuu;kuuz;kuuINS(z);INS(z);;N,SG,IN+ESS
meez;meehiin;meeDEL(z)INS(hiin);INS(hiin);DEL(z);N,PL,ESS
nain;naisee;naiDEL(n)INS(see);INS(see);DEL(n);N,SG,IN+ALL
olut;olutta;olutINS(ta);INS(ta);;N,SG,PRT
pää;pääks;pääINS(ks);INS(ks);;N,SG,TRANS
kevät;keväiin;keväDEL(t)INS(iin);INS(iin);DEL(t);N,PL,GEN
silmä;silmiiz;silmDEL(ä)INS(iiz);INS(iiz);DEL(ä);N,PL,IN+ESS
säkki;säkkilöin;säkkiINS(löin);INS(löin);;N,PL,GEN
järvi;järvilöin;järviINS(löin);INS(löin);;N,PL,GEN
hüvä;hüvviiä;hüvINS(vii)ä;INS(vii);;ADJ,PL,PRT
käzi;käzille;käziINS(lle);INS(lle);;N,PL,AT+ALL
joki;jokiloihe;jokiINS(loihe);INS(loihe);;N,PL,IN+ALL
juusso;juussoilt;juussoINS(ilt);INS(ilt);;N,PL,AT+ABL
jalka;jalaal;jalDEL(k)aINS(al);INS(al);DEL(k);N,SG,AT+ESS
vezi;veest;veDEL(zi)INS(est);INS(est);DEL(zi);N,SG,IN+ABL
jalka;jalalle;jalDEL(k)aINS(lle);INS(lle);DEL(k);N,SG,AT+ALL
aika;aijjan;aiDEL(k)INS(jj)aINS(n);INS(jj),INS(n);DEL(k);N,SG,GEN
päivä;päiviz;päivDEL(ä)INS(iz);INS(iz);DEL(ä);N,PL,IN+ESS
käzi;kättee;käDEL(zi)INS(ttee);INS(ttee);DEL(zi);N,SG,IN+ALL
tähti;tähest;tähINS(es)tDEL(i);INS(es);DEL(i);N,SG,IN+ABL
järvi;järven;järvDEL(i)INS(en);INS(en);DEL(i);N,SG,ESS
kala;kalalle;kalaINS(lle);INS(lle);;N,SG,AT+ALL
lupa;luvist;luDEL(pa)INS(vist);INS(vist);DEL(pa);N,PL,IN+ESS
izä;izän;izäINS(n);INS(n);;N,SG,GEN
päivä;päiville;päivDEL(ä)INS(ille);INS(ille);DEL(ä);N,PL,AT+ALL
kuu;kuul;kuuINS(l);INS(l);;N,SG,AT+ESS
meez;meehelt;meeDEL(z)INS(helt);INS(helt);DEL(z);N,SG,AT+ABL
pökköiheinä;pökköiheiniil;pökköiheinDEL(ä)INS(iil);INS(iil);DEL(ä);N,PL,AT+ESS
järvi;järvi;järvi;;;N,SG,NOM
vezi;veeks;veDEL(zi)INS(eks);INS(eks);DEL(zi);N,SG,TRANS
säkki;säkkilöilt;säkkiINS(löilt);INS(löilt);;N,PL,AT+ABL
kuu;kuiz;kDEL(u)uINS(iz);INS(iz);DEL(u);N,PL,IN+ESS
lapsi;lapset;lapsDEL(i)INS(et);INS(et);DEL(i);N,PL,NOM
päivä;päiviks;päivDEL(ä)INS(iks);INS(iks);DEL(ä);N,PL,TRANS
