Source;Target;Combined;Inserts;Deletes;Grammar
bris;present;DEL(bri)INS(pre)sINS(ent);INS(pre),INS(ent);DEL(bri);N,NOM,SG
anagram;a anagraim;INS(a )anagraINS(i)m;INS(a ),INS(i);;N,VOC,SG
seun;seun;seun;;;N,NOM,SG
gaiscíoch;a ghaiscíocha;INS(a )gINS(h)aiscíochINS(a);INS(a ),INS(h),INS(a);;N,VOC,PL
voltas;an voltas;INS(an )voltas;INS(an );;N,NOM,SG,DEF
hormón;leis an hormón;INS(leis an )hormón;INS(leis an );;N,DAT,SG,DEF
bliosán;an bliosán;INS(an )bliosán;INS(an );;N,NOM,SG,DEF
fabht;fabhtanna;fabhtINS(anna);INS(anna);;N,GEN,PL
valbaí;na valbaithe;INS(na )valbaDEL(í)INS(ithe);INS(na ),INS(ithe);DEL(í);N,NOM,PL,DEF
áthas;leis an áthas;INS(leis an )áthas;INS(leis an );;N,DAT,SG,DEF
foclóirín;foclóirín;foclóirín;;;N,GEN,SG
suíomh;an suíomh;INS(an )suíomh;INS(an );;N,NOM,SG,DEF
fochonradh;fochonradh;fochonradh;;;N,DAT,SG
colúnra;an cholúnra;INS(an )cINS(h)olúnra;INS(an ),INS(h);;N,GEN,SG,DEF
dear;dhearamar;dINS(h)eINS(aram)ar;INS(h),INS(aram);;V,1,PL,PST,IND
aonréadaí;aonréadaithe;aonréadaDEL(í)INS(ithe);INS(ithe);DEL(í);N,NOM,PL
feasacht;feasacht;feasacht;;;N,NOM,SG
meicnic;meicnic;meicnic;;;N,DAT,SG
homafóibe;a homafóibe;INS(a )homafóibe;INS(a );;N,VOC,SG
fothionóntacht;fothionóntacht;fothionóntacht;;;N,DAT,SG
greannaigh;greannófar;greannINS(óf)aDEL(igh)INS(r);INS(óf),INS(r);DEL(igh);V,AUTO,FUT,IND
síofra;leis an síofra;INS(leis an )síofra;INS(leis an );;N,DAT,SG,DEF
réamaiteolaí;na réamaiteolaithe;INS(na )réamaiteolaDEL(í)INS(ithe);INS(na ),INS(ithe);DEL(í);N,NOM,PL,DEF
dún;a dhúin;INS(a )dINS(h)úINS(i)n;INS(a ),INS(h),INS(i);;N,VOC,SG
ainmhidhe;an t-ainmhidhe;INS(an t-)ainmhidhe;INS(an t-);;N,NOM,SG,DEF
dáileog;dáileoga;dáileogINS(a);INS(a);;N,NOM,PL
tionónta;tionónta;tionónta;;;N,GEN,SG
ursa;ursanacha;ursINS(anach)a;INS(anach);;N,GEN,PL
micreathonn;leis an micreathonn;INS(leis an )micreathonn;INS(leis an );;N,DAT,SG,DEF
