Source;Target;Combined;Inserts;Deletes;Grammar
intorpidire;intorpidirebbe;intorpidirINS(ebb)e;INS(ebb);;V,COND,3,SG
triangolare;triangoleranno;triangolDEL(ar)eINS(ranno);INS(ranno);DEL(ar);V,IND,FUT,3,PL
limare;limammo;limaDEL(re)INS(mmo);INS(mmo);DEL(re);V,IND,PST,1,PL,PFV
restare;restai;restaDEL(re)INS(i);INS(i);DEL(re);V,IND,PST,1,SG,PFV
comburere;comburi;comburDEL(ere)INS(i);INS(i);DEL(ere);V,IND,PRS,2,SG
autoeccitarsi;si autoeccita;INS(si )autoeccitaDEL(rsi);INS(si );DEL(rsi);V,IND,PRS,3,SG
sciacquare;sciacquante;sciacquaDEL(r)INS(nt)e;INS(nt);DEL(r);V.PTCP,PRS
ufficiare;uffici;ufficiDEL(are);;DEL(are);V,IND,PRS,2,SG
rattristire;rattristisca;rattristiDEL(re)INS(sca);INS(sca);DEL(re);V,SBJV,PRS,3,SG
avvoltolarsi;si avvoltolava;INS(si )avvoltolINS(av)aDEL(rsi);INS(si ),INS(av);DEL(rsi);V,IND,PST,3,SG,IPFV
gemicare;gemicai;gemicaDEL(re)INS(i);INS(i);DEL(re);V,IND,PST,1,SG,PFV
nereggiare;nereggeremmo;nereggDEL(ia)INS(e)reINS(mmo);INS(e),INS(mmo);DEL(ia);V,COND,1,PL
ninfeggiare;ninfeggiavi;ninfeggiaDEL(re)INS(vi);INS(vi);DEL(re);V,IND,PST,2,SG,IPFV
ottenere;ottenevate;otteneDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
disabituarsi;ci disabituammo;INS(ci )disabituaDEL(rsi)INS(mmo);INS(ci ),INS(mmo);DEL(rsi);V,IND,PST,1,PL,PFV
stordirsi;stordentesi;stordDEL(ir)INS(ente)si;INS(ente);DEL(ir);V.PTCP,PRS
ancheggiare;ancheggia;ancheggiaDEL(re);;DEL(re);V,POS,IMP,2,SG
dolersi;ti dorrai;INS(ti )doDEL(le)rDEL(s)INS(ra)i;INS(ti ),INS(ra);DEL(le),DEL(s);V,IND,FUT,2,SG
intelaiare;intelaino;intelaiDEL(are)INS(no);INS(no);DEL(are);V,SBJV,PRS,3,PL
infocare;infocato;infocaDEL(re)INS(to);INS(to);DEL(re);V.PTCP,PST
radiodiffondere;radiodiffondevamo;radiodiffondDEL(er)eINS(vamo);INS(vamo);DEL(er);V,IND,PST,1,PL,IPFV
abborrare;abborrerete;abborrDEL(a)INS(e)rINS(et)e;INS(e),INS(et);DEL(a);V,IND,FUT,2,PL
esumare;esumi;esumDEL(are)INS(i);INS(i);DEL(are);V,SBJV,PRS,3,SG
frenarsi;si frenino;INS(si )frenDEL(ars)iINS(no);INS(si ),INS(no);DEL(ars);V,POS,IMP,3,PL
canneggiare;canneggiai;canneggiaDEL(re)INS(i);INS(i);DEL(re);V,IND,PST,1,SG,PFV
colluttarsi;colluttarsi;colluttarsi;;;V,NFIN
incacchiarsi;vi incacchiavate;INS(vi )incacchiaDEL(rsi)INS(vate);INS(vi ),INS(vate);DEL(rsi);V,IND,PST,2,PL,IPFV
confessare;confessai;confessaDEL(re)INS(i);INS(i);DEL(re);V,IND,PST,1,SG,PFV
settorializzare;settorializziamo;settorializzINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re);V,IND,PRS,1,PL
maritare;mariteremo;maritDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a);V,IND,FUT,1,PL
