Source;Target;Combined;Inserts;Deletes
kulm;kulmine;kulmINS(ine);INS(ine);
"avrêjen ; meylbûna xanî ji bo ku av li ser xanî nemîne";"avrêjen ; meylbûna xanî ji bo ku av li ser xanî nemînean";"avrêjen ; meylbûna xanî ji bo ku av li ser xanî nemîneINS(an)";INS(an);
etab;etabno;etabINS(no);INS(no);
moþene;moþeneên;moþeneINS(ên);INS(ên);
hel-bijartin;nahel-bijaryî;INS(na)hel-bijarDEL(tin)INS(yî);INS(na),INS(yî);DEL(tin)
þîþika pehn;þîþika pehnno;þîþika pehnINS(no);INS(no);
berdarî;berdarîinan;berdarîINS(inan);INS(inan);
cerr;cerrê;cerrINS(ê);INS(ê);
qarîn;qarîî;qarîDEL(n)INS(î);INS(î);DEL(n)
sewq;sewqek;sewqINS(ek);INS(ek);
etûd;etûdên;etûdINS(ên);INS(ên);
samagri;samagrinan;samagriINS(nan);INS(nan);
qesabe;qesabeine;qesabINS(ein)e;INS(ein);
ozbekî;ozbekîê;ozbekîINS(ê);INS(ê);
daring;daringekî;daringINS(ekî);INS(ekî);
ihtiram;ihtiramê;ihtiramINS(ê);INS(ê);
navmemik;navmemikan;navmemikINS(an);INS(an);
gulbijêrk;gulbijêrk;gulbijêrk;;
beiti;beitian;beitiINS(an);INS(an);
geþtyar;geþtyarin;geþtyarINS(in);INS(in);
da-xistin;neda-xistin;INS(ne)da-xistin;INS(ne);
ra-kirin;dira-kirin;INS(di)ra-kirin;INS(di);
kosmos;kosmosan;kosmosINS(an);INS(an);
telefona bêtêl;telefona bêtêlên;telefona bêtêlINS(ên);INS(ên);
cils;cilsan;cilsINS(an);INS(an);
çem;çemno;çemINS(no);INS(no);
raz;razan;razINS(an);INS(an);
yar-cento;yar-centoo;yar-centoINS(o);INS(o);
siwal;siwaline;siwalINS(ine);INS(ine);
vizîn;divizîin;INS(di)vizîINS(i)n;INS(di),INS(i);
gûnî;gûnîa;gûnîINS(a);INS(a);
zaroktî, zarotî;zaroktî;zarokDEL(tî, zaro)tî;;DEL(tî, zaro)
nîfaq;nîfaqinan;nîfaqINS(inan);INS(inan);
sûpermodel;sûpermodeleke;sûpermodelINS(eke);INS(eke);
quloç;quloçekî;quloçINS(ekî);INS(ekî);
þayîþ;þayîþin;þayîþINS(in);INS(in);
alav;alavin;alavINS(in);INS(in);
kundîl;kundîlan;kundîlINS(an);INS(an);
vereþîn;vereþînine;vereþînINS(ine);INS(ine);
piþika rastê;piþika rastêin;piþika rastêINS(in);INS(in);
þaq;þaqno;þaqINS(no);INS(no);
kendin;kendina;kendinINS(a);INS(a);
sîrk;sîrkno;sîrkINS(no);INS(no);
çûk;çûka;çûkINS(a);INS(a);
dûmeqesk;dûmeqeska;dûmeqeskINS(a);INS(a);
