Source;Target;Combined;Inserts;Deletes;Grammar
redujer;redujoves;redujINS(ov)eDEL(r)INS(s);INS(ov),INS(s);DEL(r);V,IND,PST,2,SG,IPFV
numiner;numineies;numineDEL(r)INS(ies);INS(ies);DEL(r);V,2,SG,SBJV,PRS,LGSPEC2
podei;posse;poDEL(d)INS(ss)eDEL(i);INS(ss);DEL(d),DEL(i);V,3,PL,SBJV,PRS
avei;ombe;DEL(av)INS(omb)eDEL(i);INS(omb);DEL(av),DEL(i);V,1,PL,SBJV,PRS,LGSPEC2
populer;populovais;populDEL(er)INS(ovais);INS(ovais);DEL(er);V,IND,PST,2,PL,IPFV
revucher;revuchon;revuchDEL(er)INS(on);INS(on);DEL(er);V,IND,PRS,1,PL
usserver;usservan;usservDEL(er)INS(an);INS(an);DEL(er);V.CVB,PRS
porter;portasse;portINS(ass)eDEL(r);INS(ass);DEL(r);V,1,SG,SBJV,PST,IPFV
limiter;limitasse;limitINS(ass)eDEL(r);INS(ass);DEL(r);V,1,SG,SBJV,PST,IPFV
assegurer;asseguron;asseguDEL(re)rINS(on);INS(on);DEL(re);V,IND,PRS,1,PL
urganiser;urganisasse;urganiINS(sas)seDEL(r);INS(sas);DEL(r);V,1,SG,SBJV,PST,IPFV
usserver;usservasses;usservINS(ass)eDEL(r)INS(s);INS(ass),INS(s);DEL(r);V,2,SG,SBJV,PST,IPFV
entenjer;entenjon;entenjDEL(er)INS(on);INS(on);DEL(er);V,IND,PRS,1,PL
nascer;nascovais;nascDEL(er)INS(ovais);INS(ovais);DEL(er);V,IND,PST,2,PL,IPFV
messei;messe;messeDEL(i);;DEL(i);V,3,PL,SBJV,PRS
reguler;regulareis;regulDEL(e)INS(a)rINS(eis);INS(a),INS(eis);DEL(e);V,2,PL,IND,FUT
entenjer;entenje;entenjeDEL(r);;DEL(r);V,1,SG,SBJV,PRS
secuestrer;secuestrova;secuestDEL(re)rINS(ova);INS(ova);DEL(re);V,IND,PST,3,SG,IPFV
mener;menareis;menDEL(e)INS(a)rINS(eis);INS(a),INS(eis);DEL(e);V,2,PL,IND,FUT
slunger;slungede;slungINS(ed)eDEL(r);INS(ed);DEL(r);V,2,PL,NFIN
