Source;Target;Combined;Inserts;Deletes;Grammar
ovillus;ovillī;ovillDEL(us)INS(ī);INS(ī);DEL(us);ADJ,VOC,MASC,PL
trygon;trȳgōnibus;trDEL(ygo)INS(ȳgō)nINS(ibus);INS(ȳgō),INS(ibus);DEL(ygo);N,ABL,PL
largio;largīvissētis;largINS(īvissēt)iDEL(o)INS(s);INS(īvissēt),INS(s);DEL(o);V,SBJV,PST,2,PL,PRF
compenso;compensāverit;compensDEL(o)INS(āverit);INS(āverit);DEL(o);V,SBJV,PST,3,SG,PFV
comperio;comperīrer;compINS(erīr)erDEL(io);INS(erīr);DEL(io);V,SBJV,PASS,PST,1,SG,IPFV
praeservio;praeserviēminī;praeserviDEL(o)INS(ēminī);INS(ēminī);DEL(o);V,IND,PASS,FUT,2,PL
undivagus;undivagō;undivagDEL(us)INS(ō);INS(ō);DEL(us);ADJ,DAT,MASC,SG
immitto;immittēbāmus;immittDEL(o)INS(ēbāmus);INS(ēbāmus);DEL(o);V,IND,PST,1,PL,IPFV
abbacino;abbacināveram;abbacinDEL(o)INS(āveram);INS(āveram);DEL(o);V,IND,PST,1,SG,PRF
obsigno;obsignem;obsignDEL(o)INS(em);INS(em);DEL(o);V,SBJV,PRS,1,SG
fraeno;fraenāverim;fraenDEL(o)INS(āverim);INS(āverim);DEL(o);V,SBJV,PST,1,SG,PFV
subiungo;subiungitō;subiungDEL(o)INS(itō);INS(itō);DEL(o);V,IMP,FUT,3,SG
antepono;antepōnēs;antepDEL(ono)INS(ōnēs);INS(ōnēs);DEL(ono);V,IND,FUT,2,SG
laquear;laqueāria;laqueINS(āri)aDEL(r);INS(āri);DEL(r);N,NOM,PL
exacerbo;exacerbet;exacerbDEL(o)INS(et);INS(et);DEL(o);V,SBJV,PRS,3,SG
hibrida;hibridae;hibridaINS(e);INS(e);;N,VOC,PL
incipio;incipiēbat;incipiDEL(o)INS(ēbat);INS(ēbat);DEL(o);V,IND,PST,3,SG,IPFV
nostraticus;nostraticōs;nostraticDEL(u)INS(ō)s;INS(ō);DEL(u);ADJ,ACC,MASC,PL
acrodontus;acrodontīs;acrodontDEL(u)INS(ī)s;INS(ī);DEL(u);ADJ,DAT,NEUT,SG
interemo;interemerēminī;interemDEL(o)INS(erēminī);INS(erēminī);DEL(o);V,SBJV,PASS,PST,2,PL,IPFV
optabilis;optābile;optDEL(a)INS(ā)bilDEL(is)INS(e);INS(ā),INS(e);DEL(a),DEL(is);ADJ,VOC,NEUT,SG
obnuntio;obnūntiārentur;obnDEL(u)INS(ū)ntiDEL(o)INS(ārentur);INS(ū),INS(ārentur);DEL(u),DEL(o);V,SBJV,PASS,PST,3,PL,IPFV
deeo;deībimus;deDEL(eo)INS(ībimus);INS(ībimus);DEL(eo);V,IND,FUT,1,PL
incitamentum;incitāmentō;incitDEL(a)INS(ā)mentDEL(um)INS(ō);INS(ā),INS(ō);DEL(a),DEL(um);N,ABL,SG
libertinus;lībertīnī;lDEL(i)INS(ī)bertDEL(inus)INS(īnī);INS(ī),INS(īnī);DEL(i),DEL(inus);ADJ,VOC,MASC,PL
iniurius;iniūriae;iniDEL(u)INS(ū)riDEL(us)INS(ae);INS(ū),INS(ae);DEL(u),DEL(us);ADJ,GEN,FEM,SG
iaponicus;iaponicī;iaponicDEL(us)INS(ī);INS(ī);DEL(us);ADJ,NOM,MASC,PL
leucophaeatus;leucophaeata;leucophaeatDEL(us)INS(a);INS(a);DEL(us);ADJ,NOM,NEUT,PL
calcium;calciīs;calciDEL(um)INS(īs);INS(īs);DEL(um);N,ABL,PL
malleo;malleāverāmus;malleDEL(o)INS(āverāmus);INS(āverāmus);DEL(o);V,IND,PST,1,PL,PRF
aequus;aequī;aequDEL(us)INS(ī);INS(ī);DEL(us);ADJ,GEN,NEUT,SG
periclitabundus;perīclitābundārum;perDEL(i)INS(ī)clitDEL(a)INS(ā)bundINS(ār)uDEL(s)INS(m);INS(ī),INS(ā),INS(ār),INS(m);DEL(i),DEL(a),DEL(s);ADJ,GEN,FEM,PL
complico;complicāverāmus;complicDEL(o)INS(āverāmus);INS(āverāmus);DEL(o);V,IND,PST,1,PL,PRF
cogitabundus;cōgitābunde;cDEL(o)INS(ō)gitDEL(a)INS(ā)bundDEL(us)INS(e);INS(ō),INS(ā),INS(e);DEL(o),DEL(a),DEL(us);ADJ,VOC,MASC,SG
clypeo;clypeātur;clypeDEL(o)INS(ātur);INS(ātur);DEL(o);V,IND,PASS,PRS,3,SG
almus;alma;almDEL(us)INS(a);INS(a);DEL(us);ADJ,NOM,FEM,SG
bohemicus;bohemicās;bohemicDEL(u)INS(ā)s;INS(ā);DEL(u);ADJ,ACC,FEM,PL
judico;jūdicābāmur;jDEL(u)INS(ū)dicDEL(o)INS(ābāmur);INS(ū),INS(ābāmur);DEL(u),DEL(o);V,IND,PASS,PST,1,PL,IPFV
littus;littus;littus;;;N,VOC,SG
exheredo;exhērēdābant;exhDEL(eredo)INS(ērēdābant);INS(ērēdābant);DEL(eredo);V,IND,PST,3,PL,IPFV
recreo;recreentur;recreDEL(o)INS(entur);INS(entur);DEL(o);V,SBJV,PASS,PRS,3,PL
commando;commanduntor;commandINS(unt)oINS(r);INS(unt),INS(r);;V,IMP,PASS,FUT,3,PL
occubo;occubētis;occubDEL(o)INS(ētis);INS(ētis);DEL(o);V,SBJV,PRS,2,PL
instructura;īnstructūrā;DEL(i)INS(ī)nstructDEL(ura)INS(ūrā);INS(ī),INS(ūrā);DEL(i),DEL(ura);N,ABL,SG
confercio;conferciunt;conferciDEL(o)INS(unt);INS(unt);DEL(o);V,IND,PRS,3,PL
prologus;prōlogō;prDEL(o)INS(ō)logDEL(us)INS(ō);INS(ō),INS(ō);DEL(o),DEL(us);N,ABL,SG
columbianus;columbianae;columbianDEL(us)INS(ae);INS(ae);DEL(us);ADJ,NOM,FEM,PL
annuo;annuuntor;annuINS(unt)oINS(r);INS(unt),INS(r);;V,IMP,PASS,FUT,3,PL
compilo;compīlāverātis;compINS(īlāverāt)iDEL(lo)INS(s);INS(īlāverāt),INS(s);DEL(lo);V,IND,PST,2,PL,PRF
reverberatio;reverberātiōnēs;reverberDEL(a)INS(ā)tiDEL(o)INS(ōnēs);INS(ā),INS(ōnēs);DEL(a),DEL(o);N,ACC,PL
transfiguro;trānsfigūrāverimus;trDEL(a)INS(ā)nsfigINS(ūrāverim)uDEL(ro)INS(s);INS(ā),INS(ūrāverim),INS(s);DEL(a),DEL(ro);V,IND,FUT,1,PL,PRF
protervior;protervius;proterviDEL(or)INS(us);INS(us);DEL(or);ADJ,NOM,NEUT,SG
quietantia;quiētantiae;quiDEL(e)INS(ē)tantiaINS(e);INS(ē),INS(e);DEL(e);N,GEN,SG
publico;pūblicārēris;pDEL(u)INS(ū)blicDEL(o)INS(ārēris);INS(ū),INS(ārēris);DEL(u),DEL(o);V,SBJV,PST,2,SG,IPFV
formidolosissimus;formīdolōsissimō;formDEL(i)INS(ī)dolDEL(o)INS(ō)sissimDEL(us)INS(ō);INS(ī),INS(ō),INS(ō);DEL(i),DEL(o),DEL(us);ADJ,ABL,NEUT,SG
balicus;balicae;balicDEL(us)INS(ae);INS(ae);DEL(us);ADJ,VOC,FEM,PL
praecedo;praecēdātur;praecDEL(edo)INS(ēdātur);INS(ēdātur);DEL(edo);V,SBJV,PASS,PRS,3,SG
socondios;socondiī;socondiDEL(os)INS(ī);INS(ī);DEL(os);N,NOM,PL
benefactor;benefactor;benefactor;;;N,VOC,SG
iurator;iūrātōrēs;iDEL(urato)INS(ū)rINS(ātōrēs);INS(ū),INS(ātōrēs);DEL(urato);N,VOC,PL
candidissimus;candidissimō;candidissimDEL(us)INS(ō);INS(ō);DEL(us);ADJ,DAT,FEM,SG
praefoco;praefōcāvistis;praefDEL(oco)INS(ōcāvistis);INS(ōcāvistis);DEL(oco);V,IND,PST,2,PL,PFV
vitabundus;vītābunda;vDEL(ita)INS(ītā)bundDEL(us)INS(a);INS(ītā),INS(a);DEL(ita),DEL(us);ADJ,VOC,NEUT,PL
avtus;avtās;avtDEL(u)INS(ā)s;INS(ā);DEL(u);ADJ,ACC,FEM,PL
peltastes;peltastēn;peltastDEL(es)INS(ēn);INS(ēn);DEL(es);N,ACC,SG
eiuro;ēiūrābātur;DEL(e)INS(ē)iINS(ūrābāt)urDEL(o);INS(ē),INS(ūrābāt);DEL(e),DEL(o);V,IND,PASS,PST,3,SG,IPFV
conecto;cōnecte;cDEL(o)INS(ō)nectDEL(o)INS(e);INS(ō),INS(e);DEL(o),DEL(o);V,IMP,PRS,3,SG
pachyphyllus;pachyphylla;pachyphyllDEL(us)INS(a);INS(a);DEL(us);ADJ,NOM,NEUT,PL
invitus;invīta;invDEL(itus)INS(īta);INS(īta);DEL(itus);ADJ,VOC,NEUT,PL
recedo;recēdite;recINS(ēdit)eDEL(do);INS(ēdit);DEL(do);V,IMP,PRS,3,PL
refoveo;refōverō;refDEL(o)INS(ō)veDEL(o)INS(rō);INS(ō),INS(rō);DEL(o),DEL(o);V,IND,FUT,1,SG,PRF
asportatio;asportātiōnēs;asportDEL(a)INS(ā)tiDEL(o)INS(ōnēs);INS(ā),INS(ōnēs);DEL(a),DEL(o);N,VOC,PL
inpugno;inpugnārētis;inpugnDEL(o)INS(ārētis);INS(ārētis);DEL(o);V,SBJV,PST,2,PL,IPFV
abligurrio;abligūrrīrentur;abligINS(ūrrīrent)urDEL(rio);INS(ūrrīrent);DEL(rio);V,SBJV,PASS,PST,3,PL,IPFV
catus;catum;catuDEL(s)INS(m);INS(m);DEL(s);ADJ,NOM,NEUT,SG
conglutino;conglūtināverāmus;conglDEL(u)INS(ū)tinDEL(o)INS(āverāmus);INS(ū),INS(āverāmus);DEL(u),DEL(o);V,IND,PST,1,PL,PRF
praerogativus;praerogātīve;praerogDEL(ativus)INS(ātīve);INS(ātīve);DEL(ativus);ADJ,VOC,MASC,SG
Christianus;Christiānī;ChristiDEL(anus)INS(ānī);INS(ānī);DEL(anus);ADJ,GEN,MASC,SG
opprimo;opprimerēmus;opprimDEL(o)INS(erēmus);INS(erēmus);DEL(o);V,SBJV,PST,1,PL,IPFV
enumero;ēnumerāmur;DEL(e)INS(ē)numeINS(rāmu)rDEL(o);INS(ē),INS(rāmu);DEL(e),DEL(o);V,IND,PASS,PRS,1,PL
