Source;Target;Combined;Inserts;Deletes;Grammar
perkalbėti;perkalbėjęs;perkalbėDEL(ti)INS(jęs);INS(jęs);DEL(ti);V,V.PTCP,PST,ACT
fundamentalioji jėga;fundamentaliąja jėga;fundamentalDEL(ioj)iINS(ąja) jėga;INS(ąja);DEL(ioj);N,INST,SG
ungurys;uñgurius;uDEL(n)INS(ñ)gurDEL(y)INS(iu)s;INS(ñ),INS(iu);DEL(n),DEL(y);N,ACC,PL
perdalijimas;pérdalijimo;pDEL(e)INS(é)rdalijimDEL(as)INS(o);INS(é),INS(o);DEL(e),DEL(as);N,GEN,SG
abejoti;abejojo;abeINS(jo)joDEL(ti);INS(jo);DEL(ti);V,3,SG,PST,IND
talentas;talente;talentDEL(as)INS(e);INS(e);DEL(as);N,VOC,SG
pralaukti;pralauktum;pralauktDEL(i)INS(um);INS(um);DEL(i);V,2,SG,SBJV
keistas;keistesnė;keistDEL(a)INS(e)sINS(nė);INS(e),INS(nė);DEL(a);ADJ,NOM,SG,FEM,CMPR
bijoti;bijodavęs;bijoDEL(ti)INS(davęs);INS(davęs);DEL(ti);V,V.PTCP,PST,FREQ,ACT
tankus;tankiausiems;tankINS(ia)uINS(siem)s;INS(ia),INS(siem);;ADJ,DAT,PL,MASC,SPRL
užmigti;užmiegi;užmiINS(e)gDEL(t)i;INS(e);DEL(t);V,2,SG,PRS,IND
pjaustymas;pjáustymais;pjDEL(a)INS(á)ustymaINS(i)s;INS(á),INS(i);DEL(a);N,INST,PL
adyti;adýsiant;adDEL(y)INS(ýsian)tDEL(i);INS(ýsian);DEL(y),DEL(i);V,V.PTCP,ADV,FUT,ACT
kalbus;kalbiausia;kalbINS(ia)usINS(ia);INS(ia),INS(ia);;ADJ,NOM,SG,FEM,SPRL
komondoras;komondorai;komondoraDEL(s)INS(i);INS(i);DEL(s);N,NOM,PL
afganistanietė;afganistaniete;afganistanietDEL(ė)INS(e);INS(e);DEL(ė);N,VOC,SG
begalvis;begalviam;begalviDEL(s)INS(am);INS(am);DEL(s);ADJ,DAT,SG,MASC,POS
vainikas;vainikùs;vainikDEL(a)INS(ù)s;INS(ù);DEL(a);N,ACC,PL
laukti;telaukia;INS(te)laukDEL(t)iINS(a);INS(te),INS(a);DEL(t);V,3,PL,IMP
nokti;nokstąs;nokINS(s)tDEL(i)INS(ąs);INS(s),INS(ąs);DEL(i);V,V.PTCP,PRS,ACT
vilna;vìlnoje;vDEL(i)INS(ì)lnDEL(a)INS(oje);INS(ì),INS(oje);DEL(i),DEL(a);N,LOC,SG
turėti;turėjus;turėDEL(ti)INS(jus);INS(jus);DEL(ti);V,V.PTCP,ADV,PST,ACT
nekęsti;nekęstum;nekęstDEL(i)INS(um);INS(um);DEL(i);V,2,SG,SBJV
geometrija;geometriją;geometrijDEL(a)INS(ą);INS(ą);DEL(a);N,ACC,SG
atrasti;atrasime;atrasDEL(t)iINS(me);INS(me);DEL(t);V,1,PL,FUT,IND
delnas;delnuosè;delnDEL(a)INS(uo)sINS(è);INS(uo),INS(è);DEL(a);N,LOC,PL
sausas;sausa;sausaDEL(s);;DEL(s);ADJ,INST,SG,FEM,POS
bučiuoti;bučiuote;bučiuotDEL(i)INS(e);INS(e);DEL(i);V,V.PTCP,LGSPEC3
žuolis;žuolimi;žuolINS(im)iDEL(s);INS(im);DEL(s);N,INST,SG
siūti;siūdavus;siūDEL(ti)INS(davus);INS(davus);DEL(ti);V,V.PTCP,ADV,PST,FREQ,ACT
patylėti;patylėtų;patylėtDEL(i)INS(ų);INS(ų);DEL(i);V,3,SG,SBJV
ištarimas;ištarimùs;ištarimDEL(a)INS(ù)s;INS(ù);DEL(a);N,ACC,PL
niūkti;niū̃ksiant;niūINS(̃)kINS(sian)tDEL(i);INS(̃),INS(sian);DEL(i);V,V.PTCP,ADV,FUT,ACT
dalelė;dalelės;dalelėINS(s);INS(s);;N,NOM,PL
apniūkti;apniū̃kdavo;apniūINS(̃)kDEL(ti)INS(davo);INS(̃),INS(davo);DEL(ti);V,3,PL,PST,FREQ,IND
bedžiaugsmis;bedžiaugsmiai;bedžiaugsmINS(ia)iDEL(s);INS(ia);DEL(s);ADJ,VOC,PL,MASC,POS
plikas;plikì;plikDEL(as)INS(ì);INS(ì);DEL(as);ADJ,NOM,PL,MASC,POS
elementarus;elementarios;elementarDEL(u)INS(io)s;INS(io);DEL(u);ADJ,VOC,PL,FEM,POS
miuonininis neutrinas;miuoninių neutrinų;miuoniniDEL(nis)INS(ų) neutrinDEL(as)INS(ų);INS(ų),INS(ų);DEL(nis),DEL(as);N,GEN,PL
labas;labesnė;labDEL(a)INS(e)sINS(nė);INS(e),INS(nė);DEL(a);ADJ,NOM,SG,FEM,CMPR
gaidrus;gaidresnį;gaidrDEL(u)INS(e)sINS(nį);INS(e),INS(nį);DEL(u);ADJ,ACC,SG,MASC,CMPR
pieniškas;pieniškiausio;pieniškINS(i)aINS(u)sINS(io);INS(i),INS(u),INS(io);;ADJ,GEN,SG,MASC,SPRL
grybas;grỹbas;grDEL(y)INS(ỹ)bas;INS(ỹ);DEL(y);N,NOM,SG
basas;basaĩs;basaINS(ĩ)s;INS(ĩ);;ADJ,INST,PL,MASC,POS
kubas;kubai;kubaDEL(s)INS(i);INS(i);DEL(s);N,VOC,PL
dieviškas;dieviškesniais;dieviškINS(esni)aINS(i)s;INS(esni),INS(i);;ADJ,INST,PL,MASC,CMPR
gražinti;gražinkime;gražinDEL(t)INS(k)iINS(me);INS(k),INS(me);DEL(t);V,1,PL,IMP
bučiuoti;bučiuodavai;bučiuoDEL(t)INS(dava)i;INS(dava);DEL(t);V,2,SG,PST,FREQ,IND
atkalbėti;atkalbėtumėte;atkalbėtDEL(i)INS(umėte);INS(umėte);DEL(i);V,2,PL,SBJV
sunkus;sunkiomìs;sunkDEL(u)INS(iomì)s;INS(iomì);DEL(u);ADJ,INST,PL,FEM,POS
mėginti;mėginkite;mėginINS(ki)tDEL(i)INS(e);INS(ki),INS(e);DEL(i);V,2,PL,IMP
fundamentalioji jėga;fundamentalioji jėga;fundamentalioji jėga;;;N,NOM,SG
mįslingas;mįslingiausiose;mįslingINS(i)aINS(usio)sINS(e);INS(i),INS(usio),INS(e);;ADJ,LOC,PL,FEM,SPRL
apniūkti;apniū̃ksiu;apniūINS(̃)kDEL(t)INS(s)iINS(u);INS(̃),INS(s),INS(u);DEL(t);V,1,SG,FUT,IND
minkštas;minkštesnei;minkštDEL(a)INS(e)sINS(nei);INS(e),INS(nei);DEL(a);ADJ,DAT,SG,FEM,CMPR
dalykas;dalỹkams;dalDEL(y)INS(ỹ)kaINS(m)s;INS(ỹ),INS(m);DEL(y);N,DAT,PL
pažastis;pažasčių;pažaDEL(sti)sINS(čių);INS(čių);DEL(sti);N,GEN,PL
apvalgyti;apvalgydavęs;apvalgyDEL(ti)INS(davęs);INS(davęs);DEL(ti);V,V.PTCP,PST,FREQ,ACT
paieškoti;paieškote;paieškotDEL(i)INS(e);INS(e);DEL(i);V,V.PTCP,LGSPEC3
bebaimis;bebaimėms;bebaiINS(mė)mDEL(i)s;INS(mė);DEL(i);ADJ,DAT,PL,FEM,POS
ugdyti;ugdė;ugdDEL(yti)INS(ė);INS(ė);DEL(yti);V,3,PL,PST,IND
netvarkingas;netvarkingesnėje;netvarkingDEL(a)INS(e)sINS(nėje);INS(e),INS(nėje);DEL(a);ADJ,LOC,SG,FEM,CMPR
pradaryti;pradaryk;pradaryDEL(ti)INS(k);INS(k);DEL(ti);V,2,SG,IMP
įtarti;įtariate;įtarDEL(t)iINS(ate);INS(ate);DEL(t);V,2,PL,PRS,IND
kilmė;kilmėjè;kilmėINS(jè);INS(jè);;N,LOC,SG
portugališkas;portugališkiems;portugališkDEL(a)INS(iem)s;INS(iem);DEL(a);ADJ,DAT,PL,MASC,POS
skara;skarà;skarDEL(a)INS(à);INS(à);DEL(a);N,INST,SG
liūnas;liū́nais;liūINS(́)naINS(i)s;INS(́),INS(i);;N,INST,PL
