Source;Target;Combined;Inserts;Deletes;Grammar
elskerinde;elskerindes;elskerindeINS(s);INS(s);;N,INDF,GEN,SG
rabat;rabats;rabatINS(s);INS(s);;N,INDF,GEN,SG
moderkage;moderkage;moderkage;;;N,INDF,NOM,SG
trolde;troldede;trolINS(d)INS(e)de;INS(d),INS(e);;V,ACT,IND,PST
diller;diller;diller;;;N,INDF,NOM,SG
metode;metoden;metodeINS(n);INS(n);;N,DEF,NOM,SG
skafot;skafotters;skafotINS(t)INS(ers);INS(t),INS(ers);;N,INDF,GEN,PL
gebyr;gebyrers;gebyrINS(ers);INS(ers);;N,INDF,GEN,PL
ildflue;ildflues;ildflueINS(s);INS(s);;N,INDF,GEN,SG
graviditet;graviditets;graviditetINS(s);INS(s);;N,INDF,GEN,SG
tirsdag;tirsdag;tirsdag;;;N,INDF,NOM,SG
laste;lastedes;lasteINS(d)INS(es);INS(d),INS(es);;V,PASS,IND,PST
palindrom;palindromer;palindromINS(er);INS(er);;N,INDF,NOM,PL
folkehøjskole;folkehøjskolen;folkehøjskoleINS(n);INS(n);;N,DEF,NOM,SG
metier;metierer;metiINS(er)er;INS(er);;N,INDF,NOM,PL
spindelvæv;spindelvævs;spindelvævINS(s);INS(s);;N,INDF,GEN,PL
batteri;batteriet;batteriINS(et);INS(et);;N,DEF,NOM,SG
dåne;dåne;dåne;;;V,ACT,NFIN
kile;kilerne;kilINS(ern)e;INS(ern);;N,DEF,NOM,PL
hængebro;hængebros;hængebroINS(s);INS(s);;N,INDF,GEN,SG
immigration;immigrationerne;immigrationINS(erne);INS(erne);;N,DEF,NOM,PL
knalde;knalde;knalde;;;V,ACT,NFIN
agronom;agronoms;agronomINS(s);INS(s);;N,INDF,GEN,SG
synd;synden;syndINS(en);INS(en);;N,DEF,NOM,SG
mentor;mentor;mentor;;;N,INDF,NOM,SG
længdebølge;længdebølges;længdebølgeINS(s);INS(s);;N,INDF,GEN,SG
næs;næsset;næsINS(s)INS(e)INS(t);INS(s),INS(e),INS(t);;N,DEF,NOM,SG
bryn;bryns;brynINS(s);INS(s);;N,INDF,GEN,PL
medalje;medaljers;medaljeINS(rs);INS(rs);;N,INDF,GEN,PL
anæstesi;anæstesier;anæstesiINS(er);INS(er);;N,INDF,NOM,PL
buket;buketterne;buketINS(t)INS(e)INS(r)INS(n)INS(e);INS(t),INS(e),INS(r),INS(n),INS(e);;N,DEF,NOM,PL
fregne;fregnerne;fregINS(n)INS(er)ne;INS(n),INS(er);;N,DEF,NOM,PL
avokado;avokado;avokado;;;N,INDF,NOM,SG
rugemor;rugemødrene;rugemDEL(o)INS(ø)INS(d)rINS(ene);INS(ø),INS(d),INS(ene);DEL(o);N,DEF,NOM,PL
muffe;muffen;muffeINS(n);INS(n);;N,DEF,NOM,SG
palmesøndag;palmesøndages;palmesøndagINS(es);INS(es);;N,INDF,GEN,PL
despoti;despotiers;despotiINS(ers);INS(ers);;N,INDF,GEN,PL
opfostre;opfostres;opfostreINS(s);INS(s);;V,PASS,IND,PRS
legeme;legemerne;legemINS(ern)e;INS(ern);;N,DEF,NOM,PL
