Source;Target;Combined;Inserts;Deletes
észszerűsít;észszerűsítsd;észszerűsítINS(s)INS(d);INS(s),INS(d);
paradigmaváltás;paradigmaváltásban;paradigmaváltásINS(b)INS(a)INS(n);INS(b),INS(a),INS(n);
szúnyog;szúnyogon;szúnyogINS(o)INS(n);INS(o),INS(n);
felbujtó;felbujtókkal;felbujtóINS(k)INS(k)INS(a)INS(l);INS(k),INS(k),INS(a),INS(l);
semleges;semlegeseken;semlegesINS(e)INS(k)INS(e)INS(n);INS(e),INS(k),INS(e),INS(n);
ezüstlakodalom;ezüstlakodalmakra;ezüstlakodalDEL(o)mINS(a)INS(k)INS(r)INS(a);INS(a),INS(k),INS(r),INS(a);DEL(o)
tátog;tátogsz;tátogINS(s)INS(z);INS(s),INS(z);
megkövet;megkövetnie;megkövetINS(n)INS(i)INS(e);INS(n),INS(i),INS(e);
kilélegzik;kilélegzendő;kilélegzDEL(i)DEL(k)INS(e)INS(n)INS(d)INS(ő);INS(e),INS(n),INS(d),INS(ő);DEL(i),DEL(k)
fogas;fogasokban;fogasINS(o)INS(k)INS(b)INS(a)INS(n);INS(o),INS(k),INS(b),INS(a),INS(n);
fejfedő;fejfedőknek;fejfedőINS(k)INS(n)INS(e)INS(k);INS(k),INS(n),INS(e),INS(k);
útjuk;útjuktól;útjukINS(t)INS(ól);INS(t),INS(ól);
licenc;licencként;licencINS(ként);INS(ként);
zsizsik;zsizsikekről;zsizsikINS(e)INS(k)INS(r)INS(ő)INS(l);INS(e),INS(k),INS(r),INS(ő),INS(l);
csúnya;csúnyaként;csúnyaINS(ként);INS(ként);
álarcosbál;álarcosbálokba;álarcosbálINS(o)INS(k)INS(b)INS(a);INS(o),INS(k),INS(b),INS(a);
fertőzés;fertőzésbe;fertőzésINS(b)INS(e);INS(b),INS(e);
olló;ollóból;ollóINS(b)INS(ól);INS(b),INS(ól);
bűnbak;bűnbakkal;bűnbakINS(k)INS(a)INS(l);INS(k),INS(a),INS(l);
ítélet;ítéleteken;ítéletINS(e)INS(k)INS(e)INS(n);INS(e),INS(k),INS(e),INS(n);
totemoszlop;totemoszlopért;totemoszlopINS(ért);INS(ért);
bizottság;bizottsághoz;bizottságINS(h)INS(oz);INS(h),INS(oz);
tulajdon;tulajdonokig;tulajdonINS(o)INS(k)INS(i)INS(g);INS(o),INS(k),INS(i),INS(g);
helységnév;helységnevekért;helységnDEL(é)INS(e)vINS(e)INS(k)INS(é)INS(r)INS(t);INS(e),INS(e),INS(k),INS(é),INS(r),INS(t);DEL(é)
bőséges;bőségesből;bőségesINS(b)INS(ő)INS(l);INS(b),INS(ő),INS(l);
feszít;feszíteném;feszítINS(e)INS(n)INS(é)INS(m);INS(e),INS(n),INS(é),INS(m);
természet;természetekből;természetINS(e)INS(k)INS(b)INS(ő)INS(l);INS(e),INS(k),INS(b),INS(ő),INS(l);
mutáció;mutációért;mutációINS(ért);INS(ért);
pornó;pornókkal;pornóINS(k)INS(k)INS(a)INS(l);INS(k),INS(k),INS(a),INS(l);
előbőr;előbőrökön;előbőrINS(ö)INS(k)INS(ö)INS(n);INS(ö),INS(k),INS(ö),INS(n);
elektromosság;elektromosságról;elektromosságINS(r)INS(ól);INS(r),INS(ól);
távcső;távcsöveknek;távcsDEL(ő)INS(ö)INS(v)INS(e)INS(k)INS(n)INS(e)INS(k);INS(ö),INS(v),INS(e),INS(k),INS(n),INS(e),INS(k);DEL(ő)
nyúlvány;nyúlványra;nyúlványINS(r)INS(a);INS(r),INS(a);
néptánc;néptáncként;néptáncINS(ként);INS(ként);
meseország;meseországon;meseországINS(o)INS(n);INS(o),INS(n);
lerakódás;lerakódásokká;lerakódásINS(o)INS(k)INS(k)INS(á);INS(o),INS(k),INS(k),INS(á);
legfelső;legfelsőktől;legfelsőINS(k)INS(t)INS(ő)INS(l);INS(k),INS(t),INS(ő),INS(l);
felsőoktatás;felsőoktatás;felsőoktatás;;
