Source;Target;Combined;Inserts;Deletes;Grammar
íþróttahús;íþróttahúsum;íþróttahúsINS(um);INS(um);;N,INDF,DAT,PL
svengja;svengt;svengDEL(ja)INS(t);INS(t);DEL(ja);V.CVB
stuðull;stuðlarnir;stuðDEL(u)DEL(l)lINS(a)INS(r)INS(n)INS(i)INS(r);INS(a),INS(r),INS(n),INS(i),INS(r);DEL(u),DEL(l);N,DEF,NOM,PL
kýli;kýli;kýli;;;N,INDF,NOM,SG
glæpur gegn mannkyni;glæpanna;glæpDEL(u)DEL(r)DEL( )DEL(g)DEL(e)DEL(g)DEL(n)DEL( )DEL(m)annDEL(k)DEL(y)DEL(n)DEL(i)INS(a);INS(a);DEL(u),DEL(r),DEL( ),DEL(g),DEL(e),DEL(g),DEL(n),DEL( ),DEL(m),DEL(k),DEL(y),DEL(n),DEL(i);N,DEF,GEN,PL
möppudýr;möppudýrunum;möppudýrINS(unum);INS(unum);;N,DEF,DAT,PL
þórsdagur;þórsdaganna;þórsdagDEL(ur)INS(anna);INS(anna);DEL(ur);N,DEF,GEN,PL
þagga;þaggaði;þaggaINS(ði);INS(ði);;V,IND,PST,1,SG
breidd;breiddirnar;breiddINS(i)INS(r)INS(n)INS(a)INS(r);INS(i),INS(r),INS(n),INS(a),INS(r);;N,DEF,NOM,PL
finka;finkunum;finkDEL(a)INS(unum);INS(unum);DEL(a);N,DEF,DAT,PL
valtari;valtarann;valtarDEL(i)INS(a)INS(n)INS(n);INS(a),INS(n),INS(n);DEL(i);N,DEF,ACC,SG
hávaðamaður;hávaðamaður;hávaðamaður;;;N,INDF,NOM,SG
þrenna;þrennu;þrennDEL(a)INS(u);INS(u);DEL(a);N,INDF,DAT,SG
reim;reimar;reimINS(ar);INS(ar);;N,INDF,GEN,SG
versla;versluðuð;verslDEL(a)INS(u)INS(ð)INS(u)INS(ð);INS(u),INS(ð),INS(u),INS(ð);DEL(a);V,SBJV,PST,2,PL
skari;skarans;skarDEL(i)INS(an)INS(s);INS(an),INS(s);DEL(i);N,DEF,GEN,SG
svif;svif;svif;;;N,INDF,ACC,SG
margæs;margæs;margæs;;;N,INDF,NOM,SG
vegasalt;vegasalt;vegasalt;;;N,INDF,NOM,SG
bridds;briddsinu;briddsINS(i)INS(n)INS(u);INS(i),INS(n),INS(u);;N,DEF,DAT,SG
kennd;kenndina;kenndINS(in)INS(a);INS(in),INS(a);;N,DEF,ACC,SG
róður;róðranna;róðDEL(u)rINS(anna);INS(anna);DEL(u);N,DEF,GEN,PL
fróa;fróað;fróaINS(ð);INS(ð);;V.CVB
fýra;fýraði;fýraINS(ði);INS(ði);;V,SBJV,PST,1,SG
kameldýr;kameldýri;kameldýrINS(i);INS(i);;N,INDF,DAT,SG
bursta;burstið;burstDEL(a)INS(ið);INS(ið);DEL(a);V,IMP,2,PL
frændi;frænda;frændDEL(i)INS(a);INS(a);DEL(i);N,INDF,DAT,SG
páka;pákunnar;pákINS(u)INS(n)INS(n)aINS(r);INS(u),INS(n),INS(n),INS(r);;N,DEF,GEN,SG
leiðbeining;leiðbeiningu;leiðbeiningINS(u);INS(u);;N,INDF,ACC,SG
dótturdóttir;dótturdætur;dótturdDEL(ó)DEL(t)DEL(t)DEL(i)INS(æ)INS(t)INS(u)r;INS(æ),INS(t),INS(u);DEL(ó),DEL(t),DEL(t),DEL(i);N,INDF,NOM,PL
úthald;úthalds;úthaldINS(s);INS(s);;N,INDF,GEN,SG
pára;párar;páraINS(r);INS(r);;V,IND,PRS,2,SG
blokkflauta;blokkflautum;blokkflautDEL(a)INS(um);INS(um);DEL(a);N,INDF,DAT,PL
gröf;grafirnar;grDEL(ö)INS(a)fINS(i)INS(r)INS(n)INS(a)INS(r);INS(a),INS(i),INS(r),INS(n),INS(a),INS(r);DEL(ö);N,DEF,ACC,PL
þak;þakið;þakINS(ið);INS(ið);;N,DEF,ACC,SG
dekk;dekkin;dekkINS(in);INS(in);;N,DEF,ACC,PL
bóla;bólum;bólDEL(a)INS(um);INS(um);DEL(a);N,INDF,DAT,PL
verkstæði;verkstæðinu;verkstæðiINS(n)INS(u);INS(n),INS(u);;N,DEF,DAT,SG
partí;partíin;partíINS(in);INS(in);;N,DEF,NOM,PL
regnkápa;regnkápurnar;regnkápINS(ur)INS(n)aINS(r);INS(ur),INS(n),INS(r);;N,DEF,NOM,PL
markspyrna;markspyrna;markspyrna;;;N,INDF,NOM,SG
kóða;kóðuðum;kóðDEL(a)INS(u)INS(ð)INS(u)INS(m);INS(u),INS(ð),INS(u),INS(m);DEL(a);V,SBJV,PST,1,PL
atviksorð;atviksorð;atviksorð;;;N,INDF,NOM,SG
skel;skel;skel;;;N,INDF,DAT,SG
plægja;plægi;plægDEL(ja)INS(i);INS(i);DEL(ja);V,SBJV,PRS,3,SG
brandur;brandanna;brandDEL(ur)INS(anna);INS(anna);DEL(ur);N,DEF,GEN,PL
sunnudagur;sunnudaga;sunnudagDEL(ur)INS(a);INS(a);DEL(ur);N,INDF,GEN,PL
kantata;kantöturnar;kantDEL(a)INS(ö)tINS(ur)INS(n)aINS(r);INS(ö),INS(ur),INS(n),INS(r);DEL(a);N,DEF,ACC,PL
aðalbygging;aðalbyggingunum;aðalbyggingINS(unum);INS(unum);;N,DEF,DAT,PL
sýking;sýkingarnar;sýkingINS(a)INS(r)INS(n)INS(a)INS(r);INS(a),INS(r),INS(n),INS(a),INS(r);;N,DEF,NOM,PL
eiturlyfjanotandi;eiturlyfjanotandi;eiturlyfjanotandi;;;N,INDF,NOM,SG
skuggi;skuggarnir;skuggINS(a)INS(r)INS(n)iINS(r);INS(a),INS(r),INS(n),INS(r);;N,DEF,NOM,PL
kok;kok;kok;;;N,INDF,NOM,SG
massi;massans;masINS(s)INS(a)INS(n)sDEL(i);INS(s),INS(a),INS(n);DEL(i);N,DEF,GEN,SG
ferhyrningur;ferhyrningi;ferhyrningDEL(ur)INS(i);INS(i);DEL(ur);N,INDF,DAT,SG
nauðsyn;nauðsyninni;nauðsynINS(i)INS(n)INS(n)INS(i);INS(i),INS(n),INS(n),INS(i);;N,DEF,DAT,SG
afturbati;afturbata;afturbatDEL(i)INS(a);INS(a);DEL(i);N,INDF,DAT,SG
ávísun;ávísunar;ávísunINS(ar);INS(ar);;N,INDF,GEN,SG
söðull;söðlarnir;söðDEL(u)DEL(l)lINS(a)INS(r)INS(n)INS(i)INS(r);INS(a),INS(r),INS(n),INS(i),INS(r);DEL(u),DEL(l);N,DEF,NOM,PL
læra;lærum;lærDEL(a)INS(um);INS(um);DEL(a);V,IND,PRS,1,PL
ell;ellum;ellINS(um);INS(um);;N,INDF,DAT,PL
sess;sessinum;sessINS(i)INS(n)INS(u)INS(m);INS(i),INS(n),INS(u),INS(m);;N,DEF,DAT,SG
áhorfandi;áhorfandanum;áhorfandDEL(i)INS(a)INS(n)INS(u)INS(m);INS(a),INS(n),INS(u),INS(m);DEL(i);N,DEF,DAT,SG
laugardagur;laugardögunum;laugardDEL(a)INS(ö)guDEL(r)INS(n)INS(u)INS(m);INS(ö),INS(n),INS(u),INS(m);DEL(a),DEL(r);N,DEF,DAT,PL
api;apa;apDEL(i)INS(a);INS(a);DEL(i);N,INDF,ACC,PL
ymja;umið;DEL(y)DEL(m)DEL(j)DEL(a)INS(u)INS(m)INS(i)INS(ð);INS(u),INS(m),INS(i),INS(ð);DEL(y),DEL(m),DEL(j),DEL(a);V.CVB
vínandi;vínanda;vínandDEL(i)INS(a);INS(a);DEL(i);N,INDF,GEN,SG
bruggari;bruggarans;bruggarDEL(i)INS(an)INS(s);INS(an),INS(s);DEL(i);N,DEF,GEN,SG
spegill;spegla;spegDEL(i)DEL(l)lINS(a);INS(a);DEL(i),DEL(l);N,INDF,ACC,PL
væla;vælt;vælDEL(a)INS(t);INS(t);DEL(a);V.CVB
gista;gistu;gistDEL(a)INS(u);INS(u);DEL(a);V,IND,PST,3,PL
eldvarpa;eldvarpan;eldvarpaINS(n);INS(n);;N,DEF,NOM,SG
prins;prinsana;prinsINS(an)INS(a);INS(an),INS(a);;N,DEF,ACC,PL
vatnsmelóna;vatnsmelóna;vatnsmelóna;;;N,INDF,NOM,SG
hnésbót;hnésbótina;hnésbótINS(in)INS(a);INS(in),INS(a);;N,DEF,ACC,SG
munni;munnunum;munnDEL(i)INS(unum);INS(unum);DEL(i);N,DEF,DAT,PL
eining;eininganna;einingINS(anna);INS(anna);;N,DEF,GEN,PL
brandönd;brandanda;brandDEL(ö)INS(a)ndINS(a);INS(a),INS(a);DEL(ö);N,INDF,GEN,PL
brandur;brandinum;brandINS(in)uDEL(r)INS(m);INS(in),INS(m);DEL(r);N,DEF,DAT,SG
æpa;æpið;æpDEL(a)INS(ið);INS(ið);DEL(a);V,IND,PRS,2,PL
verslun;verslanirnar;verslDEL(u)INS(a)nINS(i)INS(r)INS(n)INS(a)INS(r);INS(a),INS(i),INS(r),INS(n),INS(a),INS(r);DEL(u);N,DEF,NOM,PL
loga;logið;logDEL(a)INS(ið);INS(ið);DEL(a);V,IMP,2,PL
niðurstaða;niðurstaðan;niðurstaðaINS(n);INS(n);;N,DEF,NOM,SG
etja;etjir;etjDEL(a)INS(i)INS(r);INS(i),INS(r);DEL(a);V,SBJV,PRS,2,SG
poka;poka;poka;;;V,NFIN
vögguvísa;vögguvísur;vögguvísDEL(a)INS(u)INS(r);INS(u),INS(r);DEL(a);N,INDF,NOM,PL
hlýri;hlýra;hlýrDEL(i)INS(a);INS(a);DEL(i);N,INDF,ACC,SG
áfrýjun;áfrýjun;áfrýjun;;;N,INDF,NOM,SG
kútur;kúta;kútDEL(ur)INS(a);INS(a);DEL(ur);N,INDF,GEN,PL
eiginmaður;eiginmenn;eiginmDEL(a)DEL(ður)INS(e)INS(n)INS(n);INS(e),INS(n),INS(n);DEL(a),DEL(ður);N,INDF,NOM,PL
bein;bein;bein;;;N,INDF,ACC,SG
votta;vottið;vottDEL(a)INS(ið);INS(ið);DEL(a);V,IMP,2,PL
amöba;amöbunnar;amöbINS(u)INS(n)INS(n)aINS(r);INS(u),INS(n),INS(n),INS(r);;N,DEF,GEN,SG
hjartastillir;hjartastilla;hjartastillDEL(i)DEL(r)INS(a);INS(a);DEL(i),DEL(r);N,INDF,ACC,PL
færa;færa;færa;;;V,IND,PRS,3,PL
píka;píku;píkDEL(a)INS(u);INS(u);DEL(a);N,INDF,ACC,SG
forðafræði;forðafræðinni;forðafræðINS(inn)i;INS(inn);;N,DEF,DAT,SG
svefnherbergi;svefnherbergisins;svefnherbergiINS(sins);INS(sins);;N,DEF,GEN,SG
eldspýta;eldspýta;eldspýta;;;N,INDF,NOM,SG
körfuknattleikur;körfuknattleiks;körfuknattleikDEL(ur)INS(s);INS(s);DEL(ur);N,INDF,GEN,SG
minni;minnis;minniINS(s);INS(s);;N,INDF,GEN,SG
yfirmaður;yfirmaðurinn;yfirmaðurINS(inn);INS(inn);;N,DEF,NOM,SG
tenór;tenórunum;tenórINS(unum);INS(unum);;N,DEF,DAT,PL
búðarborð;búðarborð;búðarborð;;;N,INDF,NOM,PL
viðburður;viðburðir;viðburðDEL(u)INS(i)r;INS(i);DEL(u);N,INDF,NOM,PL
vanræksla;vanrækslu;vanrækslDEL(a)INS(u);INS(u);DEL(a);N,INDF,GEN,SG
væl;væls;vælINS(s);INS(s);;N,INDF,GEN,SG
ungverska;ungversku;ungverskDEL(a)INS(u);INS(u);DEL(a);N,INDF,ACC,SG
tíkarsonur;tíkarsoninn;tíkarsoINS(n)INS(i)INS(n)nDEL(ur);INS(n),INS(i),INS(n);DEL(ur);N,DEF,ACC,SG
yfirtónn;yfirtóninum;yfirtónINS(i)nINS(um);INS(i),INS(um);;N,DEF,DAT,SG
berkelín;berkelín;berkelín;;;N,INDF,ACC,SG
síld;síldum;síldINS(um);INS(um);;N,INDF,DAT,PL
hvína;hvín;hvínDEL(a);;DEL(a);V,IMP,2,SG
fallbeyging;fallbeygingar;fallbeygingINS(ar);INS(ar);;N,INDF,NOM,PL
samlandi;samlöndunum;samlDEL(a)INS(ö)ndDEL(i)INS(unum);INS(ö),INS(unum);DEL(a),DEL(i);N,DEF,DAT,PL
kajak;kajak;kajak;;;N,INDF,ACC,SG
fjallgarður;fjallgarðar;fjallgarðDEL(u)INS(a)r;INS(a);DEL(u);N,INDF,NOM,PL
lesbía;lesbíunni;lesbíDEL(a)INS(u)INS(n)INS(n)INS(i);INS(u),INS(n),INS(n),INS(i);DEL(a);N,DEF,DAT,SG
afburður;afburðunum;afburðuDEL(r)INS(n)INS(u)INS(m);INS(n),INS(u),INS(m);DEL(r);N,DEF,DAT,PL
afsökun;afsökun;afsökun;;;N,INDF,DAT,SG
belgja;belgdi;belgDEL(ja)INS(d)INS(i);INS(d),INS(i);DEL(ja);V,SBJV,PST,1,SG
skjalla;skjallar;skjallaINS(r);INS(r);;V,IND,PRS,3,SG
blálanga;blálöngurnar;blálDEL(a)INS(ö)ngINS(ur)INS(n)aINS(r);INS(ö),INS(ur),INS(n),INS(r);DEL(a);N,DEF,ACC,PL
turn;turna;turnINS(a);INS(a);;N,INDF,GEN,PL
málmur;málminum;málmINS(in)uDEL(r)INS(m);INS(in),INS(m);DEL(r);N,DEF,DAT,SG
undantaka;undantæki;undantDEL(a)DEL(ka)INS(æ)INS(k)INS(i);INS(æ),INS(k),INS(i);DEL(a),DEL(ka);V,SBJV,PST,3,SG
haf;hafa;hafINS(a);INS(a);;N,INDF,GEN,PL
gáfa;gáfurnar;gáfINS(ur)INS(n)aINS(r);INS(ur),INS(n),INS(r);;N,DEF,ACC,PL
hertogadæmi;hertogadæma;hertogadæmDEL(i)INS(a);INS(a);DEL(i);N,INDF,GEN,PL
forsíða;forsíðan;forsíðaINS(n);INS(n);;N,DEF,NOM,SG
efla;efldir;eflDEL(a)INS(d)INS(i)INS(r);INS(d),INS(i),INS(r);DEL(a);V,IND,PST,2,SG
brekkusnigill;brekkusniglum;brekkusnigDEL(i)DEL(l)lINS(um);INS(um);DEL(i),DEL(l);N,INDF,DAT,PL
saltkjöt;saltkjötið;saltkjötINS(ið);INS(ið);;N,DEF,ACC,SG
kjarkur;kjarksins;kjarkDEL(ur)INS(sins);INS(sins);DEL(ur);N,DEF,GEN,SG
brandari;brandaranum;brandarDEL(i)INS(a)INS(n)INS(u)INS(m);INS(a),INS(n),INS(u),INS(m);DEL(i);N,DEF,DAT,SG
skækja;skækju;skækjDEL(a)INS(u);INS(u);DEL(a);N,INDF,GEN,SG
drasl;drasli;draslINS(i);INS(i);;N,INDF,DAT,SG
æðarfugl;æðarfuglsins;æðarfuglINS(sins);INS(sins);;N,DEF,GEN,SG
leiðbeining;leiðbeiningar;leiðbeiningINS(ar);INS(ar);;N,INDF,GEN,SG
lakka;lakkaðir;lakkaINS(ð)INS(ir);INS(ð),INS(ir);;V,IND,PST,2,SG
platína;platínan;platínaINS(n);INS(n);;N,DEF,NOM,SG
yfirheiti;yfirheitis;yfirheitiINS(s);INS(s);;N,INDF,GEN,SG
majór;majóra;majórINS(a);INS(a);;N,INDF,GEN,PL
hnoð;hnoðið;hnoINS(ði)ð;INS(ði);;N,DEF,NOM,SG
flass;flöss;flDEL(a)INS(ö)ss;INS(ö);DEL(a);N,INDF,NOM,PL
hnýta;hnýttir;hnýtDEL(a)INS(t)INS(i)INS(r);INS(t),INS(i),INS(r);DEL(a);V,SBJV,PST,2,SG
hóll;hól;hóDEL(l)l;;DEL(l);N,INDF,ACC,SG
gróðurhús;gróðurhúsið;gróðurhúsINS(ið);INS(ið);;N,DEF,NOM,SG
gönguleið;gönguleiðin;gönguleiðINS(in);INS(in);;N,DEF,NOM,SG
salta;söltuðu;sDEL(a)INS(ö)ltDEL(a)INS(u)INS(ð)INS(u);INS(ö),INS(u),INS(ð),INS(u);DEL(a),DEL(a);V,IND,PST,3,PL
raust;raust;raust;;;N,INDF,DAT,SG
broddsúla;broddsúlur;broddsúlDEL(a)INS(u)INS(r);INS(u),INS(r);DEL(a);N,INDF,NOM,PL
veraldarvefur;veraldarvefjar;veraldarvefDEL(u)INS(j)INS(a)r;INS(j),INS(a);DEL(u);N,INDF,GEN,SG
æðakerfi;æðakerfin;æðakerfiINS(n);INS(n);;N,DEF,ACC,PL
hófur;hófur;hófur;;;N,INDF,NOM,SG
platína;platínunnar;platíINS(n)INS(u)INS(n)naINS(r);INS(n),INS(u),INS(n),INS(r);;N,DEF,GEN,SG
milta;miltað;miltaINS(ð);INS(ð);;N,DEF,ACC,SG
kokkteill;kokkteils;kokkteiDEL(l)lINS(s);INS(s);DEL(l);N,INDF,GEN,SG
vottorð;vottorðunum;vottorðINS(unum);INS(unum);;N,DEF,DAT,PL
kalla;köllum;kDEL(a)INS(ö)llDEL(a)INS(um);INS(ö),INS(um);DEL(a),DEL(a);V,SBJV,PRS,1,PL
kufl;kufl;kufl;;;N,INDF,NOM,SG
græða;græddum;græDEL(ð)DEL(a)INS(d)INS(d)INS(u)INS(m);INS(d),INS(d),INS(u),INS(m);DEL(ð),DEL(a);V,SBJV,PST,1,PL
samlandi;samlandar;samlandDEL(i)INS(ar);INS(ar);DEL(i);N,INDF,NOM,PL
sonur;syni;sDEL(o)DEL(n)DEL(u)DEL(r)INS(y)INS(n)INS(i);INS(y),INS(n),INS(i);DEL(o),DEL(n),DEL(u),DEL(r);N,INDF,DAT,SG
hengja;hengduð;hengDEL(ja)INS(d)INS(u)INS(ð);INS(d),INS(u),INS(ð);DEL(ja);V,IND,PST,2,PL
kínasi;kínasana;kínasDEL(i)INS(an)INS(a);INS(an),INS(a);DEL(i);N,DEF,ACC,PL
sópur;sóp;sópDEL(ur);;DEL(ur);N,INDF,ACC,SG
frumvarp;frumvörpunum;frumvDEL(a)INS(ö)rpINS(unum);INS(ö),INS(unum);DEL(a);N,DEF,DAT,PL
framleiðsla;framleiðslu;framleiðslDEL(a)INS(u);INS(u);DEL(a);N,INDF,ACC,SG
fuglakjöt;fuglakjöts;fuglakjötINS(s);INS(s);;N,INDF,GEN,SG
strik;strikum;strikINS(um);INS(um);;N,INDF,DAT,PL
klína;klínið;klínDEL(a)INS(ið);INS(ið);DEL(a);V,SBJV,PRS,2,PL
angi;angar;angDEL(i)INS(ar);INS(ar);DEL(i);N,INDF,NOM,PL
augntönn;augntannar;augntDEL(ö)INS(a)nnINS(ar);INS(a),INS(ar);DEL(ö);N,INDF,GEN,SG
stjörnuspekingur;stjörnuspeking;stjörnuspekingDEL(ur);;DEL(ur);N,INDF,NOM,SG
afi;afa;afDEL(i)INS(a);INS(a);DEL(i);N,INDF,GEN,SG
