Source;Target;Combined;Inserts;Deletes;Grammar
variz;variksen;variDEL(z)INS(k)INS(s)INS(e)INS(n);INS(k),INS(s),INS(e),INS(n);DEL(z);N,SG,GEN
velli;vellilöil;velliINS(l)INS(ö)INS(i)INS(l);INS(l),INS(ö),INS(i),INS(l);;N,PL,AT+ESS
järvi;järvilöist;järviINS(l)INS(ö)INS(i)INS(s)INS(t);INS(l),INS(ö),INS(i),INS(s),INS(t);;N,PL,IN+ABL
ikkuna;ikkunoiks;ikkunDEL(a)INS(o)INS(i)INS(k)INS(s);INS(o),INS(i),INS(k),INS(s);DEL(a);N,PL,TRANS
kassen;kastmiin;kasDEL(s)DEL(e)INS(t)INS(m)INS(i)INS(i)n;INS(t),INS(m),INS(i),INS(i);DEL(s),DEL(e);N,PL,ESS
joki;jokkeen;jokDEL(i)INS(k)INS(e)INS(e)INS(n);INS(k),INS(e),INS(e),INS(n);DEL(i);N,SG,ESS
variz;variksist;variDEL(z)INS(k)INS(s)INS(i)INS(s)INS(t);INS(k),INS(s),INS(i),INS(s),INS(t);DEL(z);N,PL,IN+ABL
olut;oluiziil;oluDEL(t)INS(i)INS(z)INS(i)INS(i)INS(l);INS(i),INS(z),INS(i),INS(i),INS(l);DEL(t);N,PL,AT+ESS
pökköiheinä;pökköiheinääl;pökköiheinäINS(ä)INS(l);INS(ä),INS(l);;N,SG,AT+ESS
velli;velleez;vellDEL(i)INS(e)INS(ez);INS(e),INS(ez);DEL(i);N,SG,IN+ESS
süän;süämeez;süäDEL(n)INS(m)INS(e)INS(e)INS(z);INS(m),INS(e),INS(e),INS(z);DEL(n);N,SG,IN+ESS
kevät;keväiks;keväDEL(t)INS(i)INS(ks);INS(i),INS(ks);DEL(t);N,PL,TRANS
nain;naizilt;naiDEL(n)INS(z)INS(i)INS(l)INS(t);INS(z),INS(i),INS(l),INS(t);DEL(n);N,PL,AT+ABL
lammaz;lampahaal;lamDEL(m)DEL(a)DEL(z)INS(p)INS(a)INS(h)INS(a)INS(a)INS(l);INS(p),INS(a),INS(h),INS(a),INS(a),INS(l);DEL(m),DEL(a),DEL(z);N,SG,AT+ESS
jää;jäälle;jääINS(ll)INS(e);INS(ll),INS(e);;N,SG,AT+ALL
variz;variksiil;variDEL(z)INS(k)INS(s)INS(i)INS(i)INS(l);INS(k),INS(s),INS(i),INS(i),INS(l);DEL(z);N,PL,AT+ESS
kuu;kuuz;kuuINS(z);INS(z);;N,SG,IN+ESS
meez;meehiin;meeDEL(z)INS(h)INS(i)INS(i)INS(n);INS(h),INS(i),INS(i),INS(n);DEL(z);N,PL,ESS
nain;naisee;naiDEL(n)INS(s)INS(e)INS(e);INS(s),INS(e),INS(e);DEL(n);N,SG,IN+ALL
olut;olutta;olutINS(t)INS(a);INS(t),INS(a);;N,SG,PRT
pää;pääks;pääINS(k)INS(s);INS(k),INS(s);;N,SG,TRANS
kevät;keväiin;keväDEL(t)INS(ii)INS(n);INS(ii),INS(n);DEL(t);N,PL,GEN
silmä;silmiiz;silmDEL(ä)INS(i)INS(i)INS(z);INS(i),INS(i),INS(z);DEL(ä);N,PL,IN+ESS
säkki;säkkilöin;säkkiINS(löi)INS(n);INS(löi),INS(n);;N,PL,GEN
järvi;järvilöin;järviINS(löi)INS(n);INS(löi),INS(n);;N,PL,GEN
hüvä;hüvviiä;hüvINS(v)INS(i)INS(i)ä;INS(v),INS(i),INS(i);;ADJ,PL,PRT
käzi;käzille;käziINS(ll)INS(e);INS(ll),INS(e);;N,PL,AT+ALL
joki;jokiloihe;jokiINS(l)INS(o)INS(i)INS(h)INS(e);INS(l),INS(o),INS(i),INS(h),INS(e);;N,PL,IN+ALL
juusso;juussoilt;juussoINS(i)INS(lt);INS(i),INS(lt);;N,PL,AT+ABL
jalka;jalaal;jalDEL(k)aINS(a)INS(l);INS(a),INS(l);DEL(k);N,SG,AT+ESS
vezi;veest;veDEL(z)DEL(i)INS(e)INS(s)INS(t);INS(e),INS(s),INS(t);DEL(z),DEL(i);N,SG,IN+ABL
jalka;jalalle;jalDEL(k)aINS(ll)INS(e);INS(ll),INS(e);DEL(k);N,SG,AT+ALL
aika;aijjan;aiDEL(k)INS(j)INS(j)aINS(n);INS(j),INS(j),INS(n);DEL(k);N,SG,GEN
päivä;päiviz;päivDEL(ä)INS(i)INS(z);INS(i),INS(z);DEL(ä);N,PL,IN+ESS
käzi;kättee;käDEL(z)DEL(i)INS(t)INS(t)INS(e)INS(e);INS(t),INS(t),INS(e),INS(e);DEL(z),DEL(i);N,SG,IN+ALL
tähti;tähest;tähINS(e)INS(s)tDEL(i);INS(e),INS(s);DEL(i);N,SG,IN+ABL
järvi;järven;järvDEL(i)INS(e)INS(n);INS(e),INS(n);DEL(i);N,SG,ESS
kala;kalalle;kalaINS(ll)INS(e);INS(ll),INS(e);;N,SG,AT+ALL
