Source;Target;Combined;Inserts;Deletes;Grammar
bris;present;DEL(b)DEL(r)DEL(i)INS(p)INS(r)INS(e)sINS(e)INS(n)INS(t);INS(p),INS(r),INS(e),INS(e),INS(n),INS(t);DEL(b),DEL(r),DEL(i);N,NOM,SG
anagram;a anagraim;INS(a )anagraINS(i)m;INS(a ),INS(i);;N,VOC,SG
seun;seun;seun;;;N,NOM,SG
gaiscíoch;a ghaiscíocha;INS(a )gINS(h)aiscíochINS(a);INS(a ),INS(h),INS(a);;N,VOC,PL
voltas;an voltas;INS(an )voltas;INS(an );;N,NOM,SG,DEF
hormón;leis an hormón;INS(leis an )hormón;INS(leis an );;N,DAT,SG,DEF
bliosán;an bliosán;INS(an )bliosán;INS(an );;N,NOM,SG,DEF
fabht;fabhtanna;fabhtINS(anna);INS(anna);;N,GEN,PL
valbaí;na valbaithe;INS(na )valbaDEL(í)INS(i)INS(the);INS(na ),INS(i),INS(the);DEL(í);N,NOM,PL,DEF
áthas;leis an áthas;INS(leis an )áthas;INS(leis an );;N,DAT,SG,DEF
foclóirín;foclóirín;foclóirín;;;N,GEN,SG
suíomh;an suíomh;INS(an )suíomh;INS(an );;N,NOM,SG,DEF
fochonradh;fochonradh;fochonradh;;;N,DAT,SG
colúnra;an cholúnra;INS(an )cINS(h)olúnra;INS(an ),INS(h);;N,GEN,SG,DEF
dear;dhearamar;dINS(h)eINS(a)INS(r)INS(a)INS(m)ar;INS(h),INS(a),INS(r),INS(a),INS(m);;V,1,PL,PST,IND
aonréadaí;aonréadaithe;aonréadaDEL(í)INS(i)INS(the);INS(i),INS(the);DEL(í);N,NOM,PL
feasacht;feasacht;feasacht;;;N,NOM,SG
meicnic;meicnic;meicnic;;;N,DAT,SG
homafóibe;a homafóibe;INS(a )homafóibe;INS(a );;N,VOC,SG
fothionóntacht;fothionóntacht;fothionóntacht;;;N,DAT,SG
greannaigh;greannófar;greannINS(ó)INS(f)aDEL(igh)INS(r);INS(ó),INS(f),INS(r);DEL(igh);V,AUTO,FUT,IND
síofra;leis an síofra;INS(leis an )síofra;INS(leis an );;N,DAT,SG,DEF
réamaiteolaí;na réamaiteolaithe;INS(na )réamaiteolaDEL(í)INS(i)INS(the);INS(na ),INS(i),INS(the);DEL(í);N,NOM,PL,DEF
dún;a dhúin;INS(a )dINS(h)úINS(i)n;INS(a ),INS(h),INS(i);;N,VOC,SG
ainmhidhe;an t-ainmhidhe;INS(a)INS(n)INS( )INS(t)INS(-)ainmhidhe;INS(a),INS(n),INS( ),INS(t),INS(-);;N,NOM,SG,DEF
dáileog;dáileoga;dáileogINS(a);INS(a);;N,NOM,PL
tionónta;tionónta;tionónta;;;N,GEN,SG
ursa;ursanacha;ursINS(a)INS(n)INS(a)INS(c)INS(h)a;INS(a),INS(n),INS(a),INS(c),INS(h);;N,GEN,PL
micreathonn;leis an micreathonn;INS(leis an )micreathonn;INS(leis an );;N,DAT,SG,DEF
móráil;móráil;móráil;;;N,DAT,SG
vardrús;vardrús;vardrús;;;N,GEN,PL
iascaireacht;iascaireachta;iascaireachtINS(a);INS(a);;N,GEN,SG
crónaluadar;crónaluadar;crónaluadar;;;N,GEN,PL
fuaraigh;d'fhuaraigh mé;INS(d')fINS(h)uaraighINS( )INS(m)INS(é);INS(d'),INS(h),INS( ),INS(m),INS(é);;V,1,SG,PST,IND
sliogánach;na sliogánaigh;INS(na )sliogánaDEL(c)INS(ig)h;INS(na ),INS(ig);DEL(c);N,NOM,PL,DEF
spéirghealach;spéirghealaí;spéirghealaDEL(c)DEL(h)INS(í);INS(í);DEL(c),DEL(h);N,GEN,SG
géinitic;géinitic;géinitic;;;N,NOM,SG
urraigh;go n-urraí siad;INS(g)INS(o)INS( )INS(n)INS(-)urraINS(í)INS( )INS(s)iDEL(gh)INS(a)INS(d);INS(g),INS(o),INS( ),INS(n),INS(-),INS(í),INS( ),INS(s),INS(a),INS(d);DEL(gh);V,3,PL,SBJV,PRS
aisbhreathnú;aisbhreathnú;aisbhreathnú;;;N,NOM,SG
leictreacardagram;an leictreacardagram;INS(an )leictreacardagram;INS(an );;N,NOM,SG,DEF
óglach;a óglacha;INS(a )óglachINS(a);INS(a ),INS(a);;N,VOC,PL
breabaireacht;breabaireachta;breabaireachtINS(a);INS(a);;N,GEN,SG
