Source;Target;Combined;Inserts;Deletes
intorpidire;intorpidirebbe;intorpidirINS(ebb)e;INS(ebb);
triangolare;triangoleranno;triangolDEL(ar)eINS(r)INS(a)INS(n)INS(n)INS(o);INS(r),INS(a),INS(n),INS(n),INS(o);DEL(ar)
limare;limammo;limaDEL(re)INS(mmo);INS(mmo);DEL(re)
restare;restai;restaDEL(re)INS(i);INS(i);DEL(re)
comburere;comburi;comburDEL(ere)INS(i);INS(i);DEL(ere)
autoeccitarsi;si autoeccita;INS(si )autoeccitaDEL(rsi);INS(si );DEL(rsi)
sciacquare;sciacquante;sciacquaDEL(r)INS(n)INS(t)e;INS(n),INS(t);DEL(r)
ufficiare;uffici;ufficiDEL(are);;DEL(are)
rattristire;rattristisca;rattristiDEL(re)INS(s)INS(c)INS(a);INS(s),INS(c),INS(a);DEL(re)
avvoltolarsi;si avvoltolava;INS(si )avvoltolINS(a)INS(v)aDEL(rsi);INS(si ),INS(a),INS(v);DEL(rsi)
gemicare;gemicai;gemicaDEL(re)INS(i);INS(i);DEL(re)
nereggiare;nereggeremmo;nereggDEL(i)DEL(a)INS(e)reINS(mmo);INS(e),INS(mmo);DEL(i),DEL(a)
ninfeggiare;ninfeggiavi;ninfeggiaDEL(re)INS(v)INS(i);INS(v),INS(i);DEL(re)
ottenere;ottenevate;otteneDEL(r)INS(v)INS(a)INS(t)e;INS(v),INS(a),INS(t);DEL(r)
disabituarsi;ci disabituammo;INS(ci )disabituaDEL(rsi)INS(mmo);INS(ci ),INS(mmo);DEL(rsi)
stordirsi;stordentesi;stordDEL(i)DEL(r)INS(e)INS(n)INS(t)INS(e)si;INS(e),INS(n),INS(t),INS(e);DEL(i),DEL(r)
ancheggiare;ancheggia;ancheggiaDEL(re);;DEL(re)
dolersi;ti dorrai;INS(ti )doDEL(l)DEL(e)rDEL(s)INS(r)INS(a)i;INS(ti ),INS(r),INS(a);DEL(l),DEL(e),DEL(s)
intelaiare;intelaino;intelaiDEL(are)INS(no);INS(no);DEL(are)
infocare;infocato;infocaDEL(re)INS(t)INS(o);INS(t),INS(o);DEL(re)
radiodiffondere;radiodiffondevamo;radiodiffondDEL(er)eINS(va)INS(mo);INS(va),INS(mo);DEL(er)
abborrare;abborrerete;abborrDEL(a)INS(e)rINS(et)e;INS(e),INS(et);DEL(a)
esumare;esumi;esumDEL(are)INS(i);INS(i);DEL(are)
frenarsi;si frenino;INS(si )frenDEL(ars)iINS(no);INS(si ),INS(no);DEL(ars)
canneggiare;canneggiai;canneggiaDEL(re)INS(i);INS(i);DEL(re)
colluttarsi;colluttarsi;colluttarsi;;
incacchiarsi;vi incacchiavate;INS(vi )incacchiaDEL(rsi)INS(v)INS(a)INS(t)INS(e);INS(vi ),INS(v),INS(a),INS(t),INS(e);DEL(rsi)
confessare;confessai;confessaDEL(re)INS(i);INS(i);DEL(re)
settorializzare;settorializziamo;settorializzINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re)
maritare;mariteremo;maritDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a)
annottolare;annottolante;annottolaDEL(r)INS(n)INS(t)e;INS(n),INS(t);DEL(r)
vendicarsi;ci vendichiamo;INS(ci )vendicDEL(ars)INS(h)iINS(a)INS(mo);INS(ci ),INS(h),INS(a),INS(mo);DEL(ars)
pervertire;pervertisti;perverINS(t)INS(i)INS(s)tiDEL(re);INS(t),INS(i),INS(s);DEL(re)
scucire;scucirete;scucirINS(et)e;INS(et);
sussumere;sussumiamo;sussumDEL(ere)INS(i)INS(a)INS(m)INS(o);INS(i),INS(a),INS(m),INS(o);DEL(ere)
commensurare;commensurerebbero;commensurDEL(a)INS(e)reINS(b)INS(b)INS(e)INS(r)INS(o);INS(e),INS(b),INS(b),INS(e),INS(r),INS(o);DEL(a)
ricontrarre;ricontraevamo;ricontraDEL(r)DEL(r)eINS(va)INS(mo);INS(va),INS(mo);DEL(r),DEL(r)
insterilirsi;ti insterilivi;INS(ti )insteriliDEL(r)DEL(s)INS(v)i;INS(ti ),INS(v);DEL(r),DEL(s)
antropomorfizzare;antropomorfizzi;antropomorfizzDEL(are)INS(i);INS(i);DEL(are)
