Source;Target;Combined;Inserts;Deletes;Grammar
kulm;kulmine;kulmINS(ine);INS(ine);;INDF,LGSPEC1,N,PL
"avrêjen ; meylbûna xanî ji bo ku av li ser xanî nemîne";"avrêjen ; meylbûna xanî ji bo ku av li ser xanî nemînean";"avrêjen ; meylbûna xanî ji bo ku av li ser xanî nemîneINS(an)";INS(an);;DEF,N,PL,ACC,LGSPEC2
etab;etabno;etabINS(no);INS(no);;DEF,N,PL,VOC
moþene;moþeneên;moþeneINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
hel-bijartin;nahel-bijaryî;INS(na)hel-bijarDEL(t)DEL(in)INS(y)INS(î);INS(na),INS(y),INS(î);DEL(t),DEL(in);2,IND,NEG,PRS,SG,V,IPFV
þîþika pehn;þîþika pehnno;þîþika pehnINS(no);INS(no);;DEF,N,PL,VOC
berdarî;berdarîinan;berdarîINS(inan);INS(inan);;INDF,N,PL,ACC
cerr;cerrê;cerrINS(ê);INS(ê);;DEF,LGSPEC1,N,SG
qarîn;qarîî;qarîDEL(n)INS(î);INS(î);DEL(n);2,IND,PFV,POS,PST,SG,V,V.PTCP
sewq;sewqek;sewqINS(ek);INS(ek);;INDF,N,NOM,SG
etûd;etûdên;etûdINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
samagri;samagrinan;samagriINS(n)INS(a)INS(n);INS(n),INS(a),INS(n);;INDF,N,PL,ACC
qesabe;qesabeine;qesabINS(e)INS(in)e;INS(e),INS(in);;INDF,LGSPEC1,N,PL
ozbekî;ozbekîê;ozbekîINS(ê);INS(ê);;DEF,LGSPEC1,N,SG,VOC,ACC,LGSPEC2
daring;daringekî;daringINS(ekî);INS(ekî);;INDF,LGSPEC1,N,SG,ACC
ihtiram;ihtiramê;ihtiramINS(ê);INS(ê);;DEF,N,SG,VOC,ACC,LGSPEC2
navmemik;navmemikan;navmemikINS(an);INS(an);;DEF,N,PL,ACC,LGSPEC2
gulbijêrk;gulbijêrk;gulbijêrk;;;DEF,N,NOM,PL,SG
beiti;beitian;beitiINS(an);INS(an);;DEF,N,PL,ACC,LGSPEC2
geþtyar;geþtyarin;geþtyarINS(in);INS(in);;INDF,N,NOM,PL
da-xistin;neda-xistin;INS(ne)da-xistin;INS(ne);;1,2,3,IND,NEG,PFV,PL,PST,V,V.MSDR
ra-kirin;dira-kirin;INS(di)ra-kirin;INS(di);;1,2,3,IND,PL,POS,PST,V,PROG
kosmos;kosmosan;kosmosINS(an);INS(an);;DEF,N,PL,ACC,LGSPEC2
telefona bêtêl;telefona bêtêlên;telefona bêtêlINS(ên);INS(ên);;DEF,LGSPEC1,N,PL,VOC
cils;cilsan;cilsINS(an);INS(an);;DEF,N,PL,ACC,LGSPEC2
