Source;Target;Combined;Inserts;Deletes;Grammar
redujer;redujoves;redujINS(o)INS(v)eDEL(r)INS(s);INS(o),INS(v),INS(s);DEL(r);V,IND,PST,2,SG,IPFV
numiner;numineies;numineDEL(r)INS(ie)INS(s);INS(ie),INS(s);DEL(r);V,2,SG,SBJV,PRS,LGSPEC2
podei;posse;poDEL(d)INS(s)INS(s)eDEL(i);INS(s),INS(s);DEL(d),DEL(i);V,3,PL,SBJV,PRS
avei;ombe;DEL(a)DEL(v)INS(o)INS(m)INS(b)eDEL(i);INS(o),INS(m),INS(b);DEL(a),DEL(v),DEL(i);V,1,PL,SBJV,PRS,LGSPEC2
populer;populovais;populDEL(er)INS(ov)INS(ais);INS(ov),INS(ais);DEL(er);V,IND,PST,2,PL,IPFV
revucher;revuchon;revuchDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,IND,PRS,1,PL
usserver;usservan;usservDEL(er)INS(a)INS(n);INS(a),INS(n);DEL(er);V.CVB,PRS
porter;portasse;portINS(a)INS(ss)eDEL(r);INS(a),INS(ss);DEL(r);V,1,SG,SBJV,PST,IPFV
limiter;limitasse;limitINS(a)INS(ss)eDEL(r);INS(a),INS(ss);DEL(r);V,1,SG,SBJV,PST,IPFV
assegurer;asseguron;asseguDEL(r)DEL(e)rINS(o)INS(n);INS(o),INS(n);DEL(r),DEL(e);V,IND,PRS,1,PL
urganiser;urganisasse;urganiINS(s)INS(as)seDEL(r);INS(s),INS(as);DEL(r);V,1,SG,SBJV,PST,IPFV
usserver;usservasses;usservINS(a)INS(ss)eDEL(r)INS(s);INS(a),INS(ss),INS(s);DEL(r);V,2,SG,SBJV,PST,IPFV
entenjer;entenjon;entenjDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,IND,PRS,1,PL
nascer;nascovais;nascDEL(er)INS(ov)INS(ais);INS(ov),INS(ais);DEL(er);V,IND,PST,2,PL,IPFV
messei;messe;messeDEL(i);;DEL(i);V,3,PL,SBJV,PRS
reguler;regulareis;regulDEL(e)INS(a)rINS(e)INS(is);INS(a),INS(e),INS(is);DEL(e);V,2,PL,IND,FUT
entenjer;entenje;entenjeDEL(r);;DEL(r);V,1,SG,SBJV,PRS
secuestrer;secuestrova;secuestDEL(r)DEL(e)rINS(ov)INS(a);INS(ov),INS(a);DEL(r),DEL(e);V,IND,PST,3,SG,IPFV
mener;menareis;menDEL(e)INS(a)rINS(e)INS(is);INS(a),INS(e),INS(is);DEL(e);V,2,PL,IND,FUT
slunger;slungede;slungINS(e)INS(d)eDEL(r);INS(e),INS(d);DEL(r);V,2,PL,NFIN
porter;portassa;portDEL(er)INS(a)INS(ssa);INS(a),INS(ssa);DEL(er);V,3,PL,SBJV,PST,IPFV
cumander;cumandovan;cumandDEL(er)INS(ov)INS(an);INS(ov),INS(an);DEL(er);V,IND,PST,1,PL,IPFV
vegnì;vegnivan;vegINS(n)INS(i)INS(v)INS(a)nDEL(ì);INS(n),INS(i),INS(v),INS(a);DEL(ì);V,IND,PST,1,PL,IPFV
corompe;corompesse;corompINS(e)INS(s)INS(s)e;INS(e),INS(s),INS(s);;V,1,SG,SBJV,PST,IPFV
coordiner;coordineia;coordineDEL(r)INS(i)INS(a);INS(i),INS(a);DEL(r);V,2,SG,NFIN,LGSPEC2
terjer;terjeis;terjeDEL(r)INS(i)INS(s);INS(i),INS(s);DEL(r);V,2,PL,SBJV,PRS
sotscriver;sotscriv;sotscrivDEL(er);;DEL(er);V,2,SG,NFIN
desgorjer;desgorjove;desgorjINS(o)INS(v)eDEL(r);INS(o),INS(v);DEL(r);V,IND,PST,1,SG,IPFV
ester;ester;ester;;;V,NFIN
manifester;manifestasse;manifestINS(a)INS(ss)eDEL(r);INS(a),INS(ss);DEL(r);V,1,SG,SBJV,PST,IPFV
cumporter;cumportes;cumporteDEL(r)INS(s);INS(s);DEL(r);V,IND,PRS,2,SG,LGSPEC1
reurganiser;reurganisarà;reurganisDEL(e)INS(a)rINS(à);INS(a),INS(à);DEL(e);V,3,PL,IND,FUT
defrenzier;defrenziarà;defrenziDEL(e)INS(a)rINS(à);INS(a),INS(à);DEL(e);V,3,PL,IND,FUT
coster;coston;costDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,1,PL,SBJV,PRS
ressolver;ressolvé;ressolvDEL(er)INS(é);INS(é);DEL(er);V,NFIN,LGSPEC2
marider;maridassa;maridDEL(er)INS(a)INS(ssa);INS(a),INS(ssa);DEL(er);V,3,PL,SBJV,PST,IPFV
porter;portede;portINS(e)INS(d)eDEL(r);INS(e),INS(d);DEL(r);V,2,PL,NFIN
reurganiser;reurganisasses;reurganiINS(s)INS(as)seDEL(r)INS(s);INS(s),INS(as),INS(s);DEL(r);V,2,SG,SBJV,PST,IPFV
cherder;cherdassa;cherdDEL(er)INS(a)INS(ssa);INS(a),INS(ssa);DEL(er);V,3,SG,SBJV,PST,IPFV
comunicher;comunicharas;comunichDEL(e)INS(a)rINS(a)INS(s);INS(a),INS(a),INS(s);DEL(e);V,2,SG,IND,FUT
tramuder;tramudaras;tramudDEL(e)INS(a)rINS(a)INS(s);INS(a),INS(a),INS(s);DEL(e);V,2,SG,IND,FUT
cruzier;cruzieis;cruzieDEL(r)INS(i)INS(s);INS(i),INS(s);DEL(r);V,2,PL,SBJV,PRS
spartir;spart;spartDEL(i)DEL(r);;DEL(i),DEL(r);V,IND,PRS,3,PL,LGSPEC1
parteziper;parteziparé;partezipDEL(e)INS(a)rINS(é);INS(a),INS(é);DEL(e);V,1,SG,IND,FUT
azerter;azerté;azertDEL(er)INS(é);INS(é);DEL(er);V,NFIN,LGSPEC2
aussei;aussesse;auINS(s)INS(s)INS(e)sseDEL(i);INS(s),INS(s),INS(e);DEL(i);V,1,SG,SBJV,PST,IPFV
danejer;danejon;danejDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,1,PL,SBJV,PRS
comunicher;comunicher;comunicher;;;V,NFIN,LGSPEC1
renunzier;renunzieies;renunzieDEL(r)INS(ie)INS(s);INS(ie),INS(s);DEL(r);V,IND,PRS,2,SG,LGSPEC2
ndrezer;ndrezassa;ndrezDEL(er)INS(a)INS(ssa);INS(a),INS(ssa);DEL(er);V,3,PL,SBJV,PST,IPFV
cuntroler;cuntrolé;cuntrolDEL(er)INS(é);INS(é);DEL(er);V,NFIN,LGSPEC2
cherder;cherdaron;cherdDEL(e)INS(a)rINS(o)INS(n);INS(a),INS(o),INS(n);DEL(e);V,1,PL,IND,FUT
capir;capide;capiDEL(r)INS(d)INS(e);INS(d),INS(e);DEL(r);V,2,PL,NFIN
vedei;vedessan;vedeDEL(i)INS(ss)INS(an);INS(ss),INS(an);DEL(i);V,1,PL,SBJV,PST,IPFV
entenjer;entenj;entenjDEL(er);;DEL(er);V,IND,PRS,3,SG
seurander;seurande;seurandeDEL(r);;DEL(r);V,1,SG,SBJV,PRS,LGSPEC1
muder;mudede;muINS(d)INS(e)deDEL(r);INS(d),INS(e);DEL(r);V,2,PL,NFIN
adurver;adurvova;adurvDEL(er)INS(ov)INS(a);INS(ov),INS(a);DEL(er);V,IND,PST,3,PL,IPFV
udir;udivais;udiDEL(r)INS(v)INS(a)INS(i)INS(s);INS(v),INS(a),INS(i),INS(s);DEL(r);V,IND,PST,2,PL,IPFV
populer;popule;populeDEL(r);;DEL(r);V,1,SG,SBJV,PRS,LGSPEC1
meter;metove;metINS(o)INS(v)eDEL(r);INS(o),INS(v);DEL(r);V,IND,PST,1,SG,IPFV
manifester;manifesteis;manifesteDEL(r)INS(i)INS(s);INS(i),INS(s);DEL(r);V,IND,PRS,2,PL
dovei;dovessa;doveDEL(i)INS(ss)INS(a);INS(ss),INS(a);DEL(i);V,3,SG,SBJV,PST,IPFV,LGSPEC2
cogner;cogneies;cogneDEL(r)INS(ie)INS(s);INS(ie),INS(s);DEL(r);V,IND,PRS,2,SG,LGSPEC2
dejeujer;dejëujassa;dejDEL(e)INS(ë)ujDEL(er)INS(a)INS(ssa);INS(ë),INS(a),INS(ssa);DEL(e),DEL(er);V,3,PL,SBJV,PST,IPFV
autoriser;autorise;autoriseDEL(r);;DEL(r);V,3,SG,SBJV,PRS,LGSPEC1
scuter;scouteia;scINS(o)uteDEL(r)INS(i)INS(a);INS(o),INS(i),INS(a);DEL(r);V,IND,PRS,3,SG,LGSPEC2
corompe;coromp;corompDEL(e);;DEL(e);V,IND,PRS,3,PL
prejenter;prejentaras;prejentDEL(e)INS(a)rINS(a)INS(s);INS(a),INS(a),INS(s);DEL(e);V,2,SG,IND,FUT
cundaner;cundane;cundaneDEL(r);;DEL(r);V,3,SG,SBJV,PRS,LGSPEC1
viuler;viuleia;viuleDEL(r)INS(i)INS(a);INS(i),INS(a);DEL(r);V,IND,PRS,3,PL,LGSPEC2
publicher;publichassa;publichDEL(er)INS(a)INS(ssa);INS(a),INS(ssa);DEL(er);V,3,SG,SBJV,PST,IPFV
registrer;registreia;registreDEL(r)INS(i)INS(a);INS(i),INS(a);DEL(r);V,IND,PRS,3,SG,LGSPEC2
eserziter;eserziton;eserzitDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,IND,PRS,1,PL
rester;restassa;restDEL(er)INS(a)INS(ssa);INS(a),INS(ssa);DEL(er);V,3,SG,SBJV,PST,IPFV
arjonjer;arjonjova;arjonjDEL(er)INS(ov)INS(a);INS(ov),INS(a);DEL(er);V,IND,PST,3,SG,IPFV
gaujer;gaujovan;gaujDEL(er)INS(ov)INS(an);INS(ov),INS(an);DEL(er);V,IND,PST,1,PL,IPFV
furmer;furmes;furmeDEL(r)INS(s);INS(s);DEL(r);V,IND,PRS,2,SG,LGSPEC1
azerter;azerte;azerteDEL(r);;DEL(r);V,IND,PRS,1,SG,LGSPEC1
adoter;adoteie;adotINS(e)INS(i)eDEL(r);INS(e),INS(i);DEL(r);V,3,SG,SBJV,PRS,LGSPEC2
spartir;spartesce;spartDEL(i)DEL(r)INS(e)INS(sce);INS(e),INS(sce);DEL(i),DEL(r);V,3,PL,SBJV,PRS,LGSPEC2
rejoner;rejoneies;rejoneDEL(r)INS(ie)INS(s);INS(ie),INS(s);DEL(r);V,2,SG,SBJV,PRS,LGSPEC2
renunzier;renunziova;renunziDEL(er)INS(ov)INS(a);INS(ov),INS(a);DEL(er);V,IND,PST,3,SG,IPFV
reverir;reverirà;reverirINS(à);INS(à);;V,3,SG,IND,FUT
danejer;daneja;danejDEL(er)INS(a);INS(a);DEL(er);V,IND,PRS,3,SG,LGSPEC1
fisser;fissa;fissDEL(er)INS(a);INS(a);DEL(er);V,IND,PRS,3,SG,LGSPEC1
delibrer;delibrove;delibrINS(o)INS(v)eDEL(r);INS(o),INS(v);DEL(r);V,IND,PST,1,SG,IPFV
coster;costeie;costINS(e)INS(i)eDEL(r);INS(e),INS(i);DEL(r);V,1,SG,SBJV,PRS,LGSPEC2
rater;raton;ratDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,1,PL,SBJV,PRS
respuender;respuendaras;respuendDEL(e)INS(a)rINS(a)INS(s);INS(a),INS(a),INS(s);DEL(e);V,2,SG,IND,FUT
delibrer;delibron;delibDEL(r)DEL(e)rINS(o)INS(n);INS(o),INS(n);DEL(r),DEL(e);V,1,PL,SBJV,PRS
coordener;coordene;coordeneDEL(r);;DEL(r);V,IND,PRS,1,SG,LGSPEC1
fé;fajede;fDEL(é)INS(a)INS(j)INS(e)INS(d)INS(e);INS(a),INS(j),INS(e),INS(d),INS(e);DEL(é);V,2,PL,NFIN
sponjer;sponjessan;sponjeDEL(r)INS(ss)INS(an);INS(ss),INS(an);DEL(r);V,1,PL,SBJV,PST,IPFV
determiner;determiné;determinDEL(er)INS(é);INS(é);DEL(er);V.PTCP,PST
autoriser;autorise;autoriseDEL(r);;DEL(r);V,1,SG,SBJV,PRS,LGSPEC1
dormir;dormesce;dormDEL(i)DEL(r)INS(e)INS(sce);INS(e),INS(sce);DEL(i),DEL(r);V,1,SG,SBJV,PRS,LGSPEC2
revucher;revucheie;revuchINS(e)INS(i)eDEL(r);INS(e),INS(i);DEL(r);V,IND,PRS,1,SG,LGSPEC2
atuer;atuon;atuDEL(er)INS(o)INS(n);INS(o),INS(n);DEL(er);V,IND,PRS,1,PL
garantir;garantiré;garantirINS(é);INS(é);;V,1,SG,IND,FUT
