Source;Target;Combined;Inserts;Deletes;Grammar
ovillus;ovillī;ovillDEL(us)INS(ī);INS(ī);DEL(us);ADJ,VOC,MASC,PL
trygon;trȳgōnibus;trDEL(y)DEL(g)DEL(o)INS(ȳ)INS(g)INS(ō)nINS(i)INS(b)INS(u)INS(s);INS(ȳ),INS(g),INS(ō),INS(i),INS(b),INS(u),INS(s);DEL(y),DEL(g),DEL(o);N,ABL,PL
largio;largīvissētis;largINS(ī)INS(v)INS(i)INS(s)INS(s)INS(ē)INS(t)iDEL(o)INS(s);INS(ī),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(s);DEL(o);V,SBJV,PST,2,PL,PRF
compenso;compensāverit;compensDEL(o)INS(ā)INS(v)INS(e)INS(r)INS(i)INS(t);INS(ā),INS(v),INS(e),INS(r),INS(i),INS(t);DEL(o);V,SBJV,PST,3,SG,PFV
comperio;comperīrer;compINS(e)INS(r)INS(ī)INS(r)erDEL(i)DEL(o);INS(e),INS(r),INS(ī),INS(r);DEL(i),DEL(o);V,SBJV,PASS,PST,1,SG,IPFV
praeservio;praeserviēminī;praeserviDEL(o)INS(ē)INS(m)INS(i)INS(n)INS(ī);INS(ē),INS(m),INS(i),INS(n),INS(ī);DEL(o);V,IND,PASS,FUT,2,PL
undivagus;undivagō;undivagDEL(us)INS(ō);INS(ō);DEL(us);ADJ,DAT,MASC,SG
immitto;immittēbāmus;immittDEL(o)INS(ē)INS(b)INS(ā)INS(m)INS(u)INS(s);INS(ē),INS(b),INS(ā),INS(m),INS(u),INS(s);DEL(o);V,IND,PST,1,PL,IPFV
abbacino;abbacināveram;abbacinDEL(o)INS(ā)INS(v)INS(e)INS(r)INS(a)INS(m);INS(ā),INS(v),INS(e),INS(r),INS(a),INS(m);DEL(o);V,IND,PST,1,SG,PRF
obsigno;obsignem;obsignDEL(o)INS(e)INS(m);INS(e),INS(m);DEL(o);V,SBJV,PRS,1,SG
fraeno;fraenāverim;fraenDEL(o)INS(ā)INS(v)INS(e)INS(r)INS(i)INS(m);INS(ā),INS(v),INS(e),INS(r),INS(i),INS(m);DEL(o);V,SBJV,PST,1,SG,PFV
subiungo;subiungitō;subiungDEL(o)INS(i)INS(t)INS(ō);INS(i),INS(t),INS(ō);DEL(o);V,IMP,FUT,3,SG
antepono;antepōnēs;antepDEL(o)DEL(no)INS(ōnēs);INS(ōnēs);DEL(o),DEL(no);V,IND,FUT,2,SG
laquear;laqueāria;laqueINS(ā)INS(r)INS(i)aDEL(r);INS(ā),INS(r),INS(i);DEL(r);N,NOM,PL
exacerbo;exacerbet;exacerbDEL(o)INS(e)INS(t);INS(e),INS(t);DEL(o);V,SBJV,PRS,3,SG
hibrida;hibridae;hibridaINS(e);INS(e);;N,VOC,PL
incipio;incipiēbat;incipiDEL(o)INS(ē)INS(b)INS(a)INS(t);INS(ē),INS(b),INS(a),INS(t);DEL(o);V,IND,PST,3,SG,IPFV
nostraticus;nostraticōs;nostraticDEL(u)INS(ō)s;INS(ō);DEL(u);ADJ,ACC,MASC,PL
acrodontus;acrodontīs;acrodontDEL(u)INS(ī)s;INS(ī);DEL(u);ADJ,DAT,NEUT,SG
interemo;interemerēminī;interemDEL(o)INS(e)INS(r)INS(ē)INS(m)INS(i)INS(n)INS(ī);INS(e),INS(r),INS(ē),INS(m),INS(i),INS(n),INS(ī);DEL(o);V,SBJV,PASS,PST,2,PL,IPFV
