Source;Target;Combined;Inserts;Deletes;Grammar
pīt;pinam;pDEL(ī)DEL(t)INS(i)INS(n)INS(a)INS(m);INS(i),INS(n),INS(a),INS(m);DEL(ī),DEL(t);V,V.PTCP,PRS,LGSPEC6
topoloģisks;topoloģiskos;topoloģiskINS(o)s;INS(o);;ADJ,INST,PL,MASC
vieglais;vieglie;vieglDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s);ADJ,LOC,PL,MASC
visbaltkrieviskākais;visbaltkrieviskākajiem;visbaltkrieviskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
nacionālistiskais;nacionālistiskos;nacionālistiskDEL(ai)INS(o)s;INS(o);DEL(ai);ADJ,NOM,PL,MASC
dārzkopis;dārzkopi;dārzkopiDEL(s);;DEL(s);N,ACC,SG
apbrīnot;apbrīnošu;apbrīnoDEL(t)INS(š)INS(u);INS(š),INS(u);DEL(t);V,1,SG,FUT,IND
nebēdnīgākais;nebēdnīgākās;nebēdnīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
raupjāks;raupjāku;raupjākDEL(s)INS(u);INS(u);DEL(s);ADJ,ACC,PL,MASC
nevārīt;nevārījām;nevārīDEL(t)INS(jām);INS(jām);DEL(t);V,1,PL,PST,IND
gubumākonis;gubumākoņos;gubumākINS(o)INS(ņ)oDEL(n)DEL(i)s;INS(o),INS(ņ);DEL(n),DEL(i);N,LOC,PL
nespodrais;nespodro;nespodrDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
uzbekiskākais;uzbekiskākajiem;uzbekiskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
vissātaniskākais;vissātaniskākajā;vissātaniskākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
vistaizemiskākais;vistaizemiskākā;vistaizemiskākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
uzbekiskākais;uzbekiskākajā;uzbekiskākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,FEM
ūsains;ūsainu;ūsainDEL(s)INS(u);INS(u);DEL(s);ADJ,NOM,SG,MASC
latīnis;latīņos;latīDEL(n)DEL(i)INS(ņ)INS(o)s;INS(ņ),INS(o);DEL(n),DEL(i);N,LOC,PL
ziņkārais;ziņkārajiem;ziņkāraINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
nezīdīt;nezīda;nezīdDEL(ī)DEL(t)INS(a);INS(a);DEL(ī),DEL(t);V,3,SG,PRS,IND
duraks;durakiem;durakDEL(s)INS(iem);INS(iem);DEL(s);N,INST,PL
zaudēt;zaudējot;zaudēINS(jo)t;INS(jo);;V,V.PTCP,PRS,LGSPEC5
aktīvāks;aktīvāku;aktīvākDEL(s)INS(u);INS(u);DEL(s);ADJ,DAT,SG,MASC
vārtsargs;vārtsargs;vārtsargs;;;N,NOM,SG
bālums;bālumam;bāluINS(m)INS(a)mDEL(s);INS(m),INS(a);DEL(s);N,DAT,SG
visdziļākais;visdziļākā;visdziļākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
miesīgais;miesīgās;miesīgDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
bezjēdzīgāks;bezjēdzīgāku;bezjēdzīgākDEL(s)INS(u);INS(u);DEL(s);ADJ,ACC,PL,MASC
baznedce;baznedces;baznedceINS(s);INS(s);;N,VOC,PL
pieart;pieartu;pieartINS(u);INS(u);;V,COND,PRS
nejokot;neesot jājoko;neINS(e)INS(s)INS(o)INS(t)INS( )INS(j)INS(ā)jokoDEL(t);INS(e),INS(s),INS(o),INS(t),INS( ),INS(j),INS(ā);DEL(t);V,LGSPEC2,LGSPEC7
kārpa;kārpā;kārpDEL(a)INS(ā);INS(ā);DEL(a);N,LOC,SG
estētiskais;estētiskajiem;estētiskaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
svainis;svaiņus;svaDEL(i)DEL(n)iINS(ņ)INS(u)s;INS(ņ),INS(u);DEL(i),DEL(n);N,ACC,PL
smukāks;smukākas;smukākINS(a)s;INS(a);;ADJ,NOM,PL,FEM
dievišķais;dievišķās;dievišķDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,LOC,PL,FEM
krāsns;krāšņu;krāDEL(s)DEL(n)DEL(s)INS(š)INS(ņ)INS(u);INS(š),INS(ņ),INS(u);DEL(s),DEL(n),DEL(s);N,GEN,PL
spannis;spannis;spannis;;;N,NOM,SG
anormālākais;anormālākajām;anormālākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,DAT,PL,FEM
visdīvainākais;visdīvaināko;visdīvainākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,MASC
visslaikākais;visslaikākās;visslaikākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,ACC,SG,FEM
kosoviskāks;kosoviskākās;kosoviskākINS(ā)s;INS(ā);;ADJ,INST,PL,FEM
helikopters;helikopters;helikopters;;;N,NOM,SG
statistika;statistiku;statistikDEL(a)INS(u);INS(u);DEL(a);N,ACC,SG
svešādāks;svešādākās;svešādākINS(ā)s;INS(ā);;ADJ,INST,PL,FEM
vismuļķīgākais;vismuļķīgākās;vismuļķīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,ACC,SG,FEM
slimnieks;slimnieka;slimniekDEL(s)INS(a);INS(a);DEL(s);N,GEN,SG
nepateicīgāks;nepateicīgākos;nepateicīgākINS(o)s;INS(o);;ADJ,INST,PL,MASC
raupjš;raupju;raupjDEL(š)INS(u);INS(u);DEL(š);ADJ,ACC,PL,FEM
nespriest;nespriedīsim;nesprieINS(d)INS(ī)sDEL(t)INS(i)INS(m);INS(d),INS(ī),INS(i),INS(m);DEL(t);V,1,PL,IMP
filtrs;filtrā;filtrDEL(s)INS(ā);INS(ā);DEL(s);N,LOC,SG
visciešākais;visciešākā;visciešākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
izraēliskāks;izraēliskākos;izraēliskākINS(o)s;INS(o);;ADJ,INST,PL,MASC
alata;alata;alata;;;N,NOM,SG
visslaidākais;visslaidākajām;visslaidākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,GEN,PL,FEM
kauls;kauls;kauls;;;N,NOM,SG
mākoņainība;mākoņainībai;mākoņainībaINS(i);INS(i);;N,DAT,SG
ugunīgs;ugunīgiem;ugunīgDEL(s)INS(iem);INS(iem);DEL(s);ADJ,DAT,PL,MASC
starptautisks;starptautiskas;starptautiskINS(a)s;INS(a);;ADJ,NOM,PL,FEM
neglītāks;neglītākiem;neglītākDEL(s)INS(iem);INS(iem);DEL(s);ADJ,DAT,PL,MASC
lauve;lauvju;lauvDEL(e)INS(j)INS(u);INS(j),INS(u);DEL(e);N,GEN,PL
caurākais;caurākais;caurākais;;;ADJ,LOC,SG,MASC
piektdaļa;piektdaļas;piektdaļaINS(s);INS(s);;N,VOC,PL
gārša;gāršai;gāršaINS(i);INS(i);;N,DAT,SG
starptautiskais;starptautiskajā;starptautiskaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,FEM
epistemoloģisks;epistemoloģisku;epistemoloģiskDEL(s)INS(u);INS(u);DEL(s);ADJ,DAT,SG,FEM
dīvainākais;dīvainākās;dīvainākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,ACC,SG,FEM
āboliņš;āboliņos;āboliņDEL(š)INS(o)INS(s);INS(o),INS(s);DEL(š);N,LOC,PL
