Source;Target;Combined;Inserts;Deletes;Grammar
perkalbėti;perkalbėjęs;perkalbėDEL(ti)INS(j)INS(ę)INS(s);INS(j),INS(ę),INS(s);DEL(ti);V,V.PTCP,PST,ACT
fundamentalioji jėga;fundamentaliąja jėga;fundamentalDEL(i)DEL(o)DEL(j)iINS(ą)INS(j)INS(a) jėga;INS(ą),INS(j),INS(a);DEL(i),DEL(o),DEL(j);N,INST,SG
ungurys;uñgurius;uDEL(n)INS(ñ)gurDEL(y)INS(i)INS(u)s;INS(ñ),INS(i),INS(u);DEL(n),DEL(y);N,ACC,PL
perdalijimas;pérdalijimo;pDEL(e)INS(é)rdalijimDEL(as)INS(o);INS(é),INS(o);DEL(e),DEL(as);N,GEN,SG
abejoti;abejojo;abeINS(j)INS(o)joDEL(ti);INS(j),INS(o);DEL(ti);V,3,SG,PST,IND
talentas;talente;talentDEL(as)INS(e);INS(e);DEL(as);N,VOC,SG
pralaukti;pralauktum;pralauktDEL(i)INS(u)INS(m);INS(u),INS(m);DEL(i);V,2,SG,SBJV
keistas;keistesnė;keistDEL(a)INS(e)sINS(n)INS(ė);INS(e),INS(n),INS(ė);DEL(a);ADJ,NOM,SG,FEM,CMPR
bijoti;bijodavęs;bijoDEL(ti)INS(davęs);INS(davęs);DEL(ti);V,V.PTCP,PST,FREQ,ACT
tankus;tankiausiems;tankINS(ia)uINS(s)INS(i)INS(e)INS(m)s;INS(ia),INS(s),INS(i),INS(e),INS(m);;ADJ,DAT,PL,MASC,SPRL
užmigti;užmiegi;užmiINS(e)gDEL(t)i;INS(e);DEL(t);V,2,SG,PRS,IND
pjaustymas;pjáustymais;pjDEL(a)INS(á)ustymaINS(i)s;INS(á),INS(i);DEL(a);N,INST,PL
adyti;adýsiant;adDEL(y)INS(ý)INS(s)INS(i)INS(a)INS(n)tDEL(i);INS(ý),INS(s),INS(i),INS(a),INS(n);DEL(y),DEL(i);V,V.PTCP,ADV,FUT,ACT
