Source;Target;Combined;Inserts;Deletes
kuolmtuoistõnz;kuolmtuoistõnd;kuolmtuoistõnDEL(z)INS(d);INS(d);DEL(z)
seistuoistõnz;seistuoistõndt;seistuoistõnDEL(z)INS(d)INS(t);INS(d),INS(t);DEL(z)
pȯis;pūošõdõks;pDEL(ȯ)DEL(i)INS(ū)INS(o)INS(š)INS(õ)INS(d)INS(õ)INS(k)s;INS(ū),INS(o),INS(š),INS(õ),INS(d),INS(õ),INS(k);DEL(ȯ),DEL(i)
nūoŗim;nūoŗim;nūoŗim;;
rōntõz;rōntiž;rōntDEL(õ)DEL(z)INS(i)INS(ž);INS(i),INS(ž);DEL(õ),DEL(z)
lešknai;lešknai;lešknai;;
kalā;kalāks;kalāINS(k)INS(s);INS(k),INS(s);
analōg;analōgõd;analōgINS(õ)INS(d);INS(õ),INS(d);
äbknaš;äbknašīs;äbknašINS(ī)INS(s);INS(ī),INS(s);
īdtuoistõnz;īdtuoistõndõs;īdtuoistõnDEL(z)INS(d)INS(õ)INS(s);INS(d),INS(õ),INS(s);DEL(z)
mīez;mīekõks;mīeDEL(z)INS(k)INS(õks);INS(k),INS(õks);DEL(z)
ab;abbõ;abINS(b)INS(õ);INS(b),INS(õ);
allitas;alīzõstassõs;alDEL(l)DEL(i)INS(ī)INS(z)INS(õ)INS(s)taINS(s)INS(s)INS(õ)s;INS(ī),INS(z),INS(õ),INS(s),INS(s),INS(s),INS(õ);DEL(l),DEL(i)
līdõ;līmõt;līDEL(d)INS(m)õINS(t);INS(m),INS(t);DEL(d)
āmbaz;āmbaz;āmbaz;;
kȭļimkū;kȭļimkū;kȭļimkū;;
pǟgiņlug;pǟgiņlug;pǟgiņlug;;
tūlda;um tulmõst;INS(u)INS(m)INS( )INS(t)INS(u)INS(l)INS(m)INS(õ)INS(s)tDEL(ūl)DEL(da);INS(u),INS(m),INS( ),INS(t),INS(u),INS(l),INS(m),INS(õ),INS(s);DEL(ūl),DEL(da)
nūoŗmīez;nūoŗmīeztõ;nūoŗmīezINS(t)INS(õ);INS(t),INS(õ);
läpš;lapstā;lDEL(ä)DEL(p)DEL(š)INS(a)INS(p)INS(s)INS(t)INS(ā);INS(a),INS(p),INS(s),INS(t),INS(ā);DEL(ä),DEL(p),DEL(š)
kūlõ;äb kūl;INS(ä)INS(b)INS( )kūlDEL(õ);INS(ä),INS(b),INS( );DEL(õ)
jellõ;jelāb;jelDEL(l)DEL(õ)INS(ā)INS(b);INS(ā),INS(b);DEL(l),DEL(õ)
sȭira;sȭiradõn;sȭiraINS(dõ)INS(n);INS(dõ),INS(n);
tint;tīntidi;tDEL(i)INS(ī)ntINS(i)INS(d)INS(i);INS(ī),INS(i),INS(d),INS(i);DEL(i)
inesīv;inesīv;inesīv;;
nǟdõ;algõd nǟgõd;INS(a)INS(l)INS(g)INS(õ)INS(d)INS( )nǟINS(g)INS(õ)dDEL(õ);INS(a),INS(l),INS(g),INS(õ),INS(d),INS( ),INS(g),INS(õ);DEL(õ)
kōdõkstuoistõnz;kōdõkstuoistõndõn;kōdõkstuoistINS(õ)INS(n)INS(d)õnDEL(z);INS(õ),INS(n),INS(d);DEL(z)
ab;abūdõn;abINS(ū)INS(d)INS(õ)INS(n);INS(ū),INS(d),INS(õ),INS(n);
likkõ;likkõt;likkõINS(t);INS(t);
inesīv;inesīvõ;inesīvINS(õ);INS(õ);
vȱlda;vȯl!;vDEL(ȱ)DEL(l)DEL(d)DEL(a)INS(ȯl)INS(!);INS(ȯl),INS(!);DEL(ȱ),DEL(l),DEL(d),DEL(a)
alīz;alīzt;alīzINS(t);INS(t);
