String;Operation type;Occurences
‎;INS;9
ého;INS;35
lo bych;INS;4
byla by ;INS;4
al;INS;18
li;INS;15
m;INS;31
bylo by ;INS;2
lo;INS;14
i;INS;22
é;INS;98
uj;INS;7
e;INS;75
án;INS;8
y;INS;62
ému;INS;20
ám;INS;8
a;INS;8
mu;INS;2
ou;INS;18
ém;INS;17
byla bych ;INS;2
budeš ;INS;2
ech;INS;4
íš;INS;1
bylo bych ;INS;3
í;INS;22
mi;INS;32
uji;INS;3
ách;INS;6
ány;INS;7
ce;INS;4
em;INS;13
ů;INS;12
ho;INS;9
lo by;INS;3
byly by ;INS;7
ly;INS;28
l;INS;13
la jsi;INS;6
at;INS;1
ch;INS;20
budu ;INS;3
u;INS;26
li by;INS;4
á;INS;37
l js;INS;4
ovi;INS;3
ové;INS;4
il;INS;2
ům;INS;13
vše;INS;3
la js;INS;9
byli bychom ;INS;3
ím;INS;6
lo bys;INS;8
la bys;INS;3
li jsme;INS;5
ře;INS;1
ejme;INS;1
bylo bys ;INS;2
ích;INS;2
byl byste ;INS;1
cích;INS;4
l by;INS;3
ují;INS;4
byly bychom ;INS;4
ly jsme;INS;1
uje;INS;3
čtí;INS;3
bude ;INS;3
ující;INS;3
o;INS;5
budou ;INS;2
ání;INS;2
ly by;INS;5
la by;INS;2
v;INS;4
lo js;INS;2
ujíc;INS;2
ala bych;INS;1
ly bychom;INS;1
li bys;INS;4
li js;INS;4
aly;INS;1
ůvěř;INS;2
ali;INS;1
budete ;INS;4
byl bych ;INS;2
yjí;INS;1
byli byste ;INS;3
rientovala by;INS;1
ři;INS;1
byli by ;INS;3
ly js;INS;3
byla bychom ;INS;2
ě;INS;6
vši;INS;4
ujme;INS;2
la bych;INS;2
s;INS;1
byla byste ;INS;1
l jsem;INS;4
ujeme;INS;2
l bys;INS;8
byl bys ;INS;1
lo jsi;INS;5
byl by ;INS;3
ujíce;INS;7
ouc;INS;1
tům;INS;1
ajíc;INS;1
edly;INS;1
emi;INS;1
al js;INS;1
ští;INS;2
byly byste ;INS;5
ti;INS;2
l jsi;INS;3
la jsem;INS;1
něm;INS;1
bylo byste ;INS;2
byla bys ;INS;2
la bychom;INS;3
doucí;INS;1
alo jsem;INS;1
cí;INS;1
ovaly;INS;1
uješ;INS;1
edly by;INS;1
je;INS;2
ni;INS;1
ic;INS;1
li bychom;INS;3
jí;INS;1
ních;INS;1
áš;INS;1
budeme ;INS;1
yla bys;INS;1
áno;INS;1
ň;INS;1
ří;INS;1
la jsme;INS;1
la;INS;1
eďm;INS;1
tí;INS;1
ý;DEL;225
t;DEL;175
ova;DEL;8
e;DEL;32
a;DEL;82
á;DEL;3
et;DEL;1
ovat;DEL;22
at;DEL;16
ka;DEL;4
o;DEL;9
ra;DEL;1
ta;DEL;2
ek;DEL;3
u;DEL;1
cký;DEL;3
át;DEL;5
ikt;DEL;2
ýt;DEL;1
p;DEL;1
odovat;DEL;1
r;DEL;1
přechytrač;DEL;1
s;DEL;1
ě;DEL;4
i;DEL;2
tova;DEL;3
ís;DEL;2
íst;DEL;2
ský;DEL;2
atov;DEL;1
ť;DEL;3
ň;DEL;1
ký;DEL;1
it;DEL;3
aň;DEL;1
k;DEL;2
eň;DEL;1
ně;DEL;1
rý;DEL;1
l;DEL;1
m;DEL;1
