String;Operation type;Occurrences
s;INS;215
de;INS;1
n;INS;31
ters;INS;2
ers;INS;45
des;INS;8
er;INS;69
et;INS;27
ern;INS;32
erne;INS;57
en;INS;51
set;INS;1
rs;INS;41
terne;INS;1
ner;INS;6
ød;INS;1
ene;INS;36
es;INS;21
aene;INS;1
r;INS;47
pen;INS;1
';INS;6
ne;INS;15
me;INS;1
e;INS;33
ferne;INS;2
end;INS;9
bers;INS;1
ren;INS;2
nse;INS;1
ed;INS;6
t;INS;8
ser;INS;4
æ;INS;5
re;INS;4
mers;INS;2
ø;INS;2
eshamres;INS;1
kerne;INS;2
ken;INS;2
len;INS;1
lern;INS;4
mes;INS;1
det;INS;3
fer;INS;2
te;INS;2
met;INS;3
ben;INS;1
ke;INS;1
sen;INS;1
den;INS;3
ter;INS;2
ler;INS;1
'erne;INS;1
perne;INS;1
ge;INS;1
kers;INS;1
tene;INS;1
ket;INS;1
ten;INS;3
biblen;INS;1
let;INS;1
sene;INS;1
pene;INS;1
merne;INS;1
zer;INS;1
lene;INS;1
lerne;INS;1
æerne;INS;1
ett;INS;1
enenørkn;INS;1
rse;INS;1
o;DEL;1
um;DEL;4
r;DEL;2
e;DEL;22
a;DEL;6
l;DEL;4
at;DEL;1
tage;DEL;1
de;DEL;1
fe;DEL;2
å;DEL;1
