String;Operation type;Occurrences
sin;INS;8
dele;INS;4
teks;INS;5
s;INS;29
d;INS;32
telt;INS;3
n;INS;7
aden;INS;2
deks;INS;9
el;INS;3
se;INS;8
t;INS;52
i;INS;21
v;INS;22
olid ;INS;6
nud;INS;118
ei ;INS;36
ks;INS;22
ei olnud ;INS;13
tudp;INS;20
na;INS;4
ärgu ;INS;17
ku;INS;8
sid;INS;21
olin ;INS;7
oleksin ;INS;7
ksid;INS;9
iteni;INS;2
gu;INS;20
dest;INS;4
dud;INS;7
ei ole ;INS;17
nudp;INS;21
olen ;INS;7
ed;INS;7
atele;INS;2
on ;INS;18
nitu;INS;1
teta;INS;2
oleksime ;INS;12
delt;INS;5
ärgem ;INS;6
ke;INS;4
ute;INS;2
l;INS;6
ei oleks ;INS;8
tele;INS;4
stek;INS;3
del;INS;6
ärgu olgu ;INS;17
di;INS;1
deni;INS;5
site;INS;10
tel;INS;9
te;INS;18
iteks;INS;5
iks;INS;7
an;INS;2
adet;INS;1
etud;INS;6
olete ;INS;5
elnu;INS;3
p;INS;1
aten;INS;2
ei olevat ;INS;9
ita;INS;4
ilt;INS;10
ste;INS;2
lt;INS;9
is;INS;8
e;INS;31
oleks ;INS;4
olite ;INS;5
olgu ;INS;28
atest;INS;2
st;INS;14
desse;INS;5
ge;INS;10
ga;INS;4
tud;INS;25
id;INS;16
dav;INS;1
ut;INS;2
il;INS;5
des;INS;5
nanu;INS;4
ate;INS;2
olevat lä;INS;1
ud;INS;6
b;INS;5
sek;INS;3
u;INS;2
ag;INS;2
as;INS;1
atega;INS;2
ini;INS;6
uteta;INS;1
ta;INS;6
oleksite ;INS;8
oled ;INS;7
ena;INS;4
olevat ;INS;9
de;INS;12
vat;INS;1
tev;INS;1
ina;INS;8
ule;INS;3
itele;INS;2
oli ;INS;7
eksit;INS;1
esse;INS;2
uid;INS;4
ret;INS;1
ega;INS;1
dega;INS;4
etess;INS;1
kse;INS;5
si;INS;6
teni;INS;5
ale;INS;1
uteks;INS;1
j;INS;1
oeksid;INS;1
eid;INS;2
ava;INS;1
tav;INS;10
dena;INS;4
ärge ;INS;3
oleme ;INS;2
inud;INS;3
utesse;INS;1
aid;INS;2
sed;INS;1
ite;INS;3
le;INS;6
dal;INS;1
dnu;INS;3
metelt;INS;1
it;INS;4
deltöil;INS;1
itega;INS;3
pnud;INS;1
eta;INS;4
atesse;INS;4
edass;INS;1
adeg;INS;2
natu;INS;1
al;INS;1
lit;INS;3
tesse;INS;2
eni;INS;1
gitav;INS;1
haks;INS;1
a;INS;4
elt;INS;1
dite;INS;1
itena;INS;2
asse;INS;1
takse;INS;1
oleksid ;INS;8
deta;INS;7
ateks;INS;1
ksin;INS;8
sse;INS;3
tes;INS;1
ist;INS;6
ele;INS;2
ni;INS;4
õid;INS;2
ritess;INS;2
eti;INS;2
testaapeist;INS;1
ites;INS;4
atena;INS;1
eome;INS;1
neksi;INS;1
ti;INS;3
ug;INS;2
tek;INS;2
datena;INS;1
uta;INS;2
deksvöiks;INS;1
uks;INS;2
gi;INS;2
ksite;INS;3
kätes;INS;1
ära ;INS;11
ana;INS;2
isse;INS;2
dril;INS;1
oli;INS;1
 teinud;INS;1
ateg;INS;1
etu;INS;1
utes;INS;1
lähe;INS;1
aks;INS;2
ril;INS;3
tavat;INS;1
eks;INS;1
at;INS;2
rega;INS;1
gitudp;INS;1
li;INS;3
utest;INS;2
dudp;INS;2
iteta;INS;1
itel;INS;2
ile;INS;2
iga;INS;3
atet;INS;1
g;INS;2
ad;INS;3
riss;INS;2
destavust;INS;1
eg;INS;1
tena;INS;1
gib;INS;1
alt;INS;1
ateni;INS;2
meks;INS;1
aga;INS;2
o;INS;2
ata;INS;2
test;INS;1
est;INS;2
edega;INS;1
ete;INS;1
uet;INS;2
eden;INS;1
tre;INS;1
ksime;INS;1
netu;INS;1
sel;INS;1
gita;INS;1
nra;INS;1
emet;INS;1
ast;INS;1
et;INS;2
itesse;INS;1
k;INS;1
es;INS;1
olgu lä;INS;1
tega;INS;1
udn;INS;1
vetele;INS;1
edelt;INS;1
da;INS;1
selt;INS;1
etudp;INS;1
usse;INS;1
atel;INS;1
edeta;INS;1
esit;INS;1
am;DEL;142
n;DEL;23
s;DEL;13
ma;DEL;193
d;DEL;3
e;DEL;30
m;DEL;61
g;DEL;6
p;DEL;3
i;DEL;4
ima;DEL;2
a;DEL;30
lema;DEL;3
kam;DEL;6
ama;DEL;5
si;DEL;3
ema;DEL;7
dm;DEL;5
k;DEL;6
ne;DEL;2
ugema;DEL;1
gema;DEL;4
tam;DEL;7
kim;DEL;1
dam;DEL;1
u;DEL;2
ooma;DEL;2
r;DEL;10
tm;DEL;3
iduma;DEL;1
gam;DEL;3
em;DEL;1
mi;DEL;1
pam;DEL;2
kima;DEL;2
ke;DEL;2
adm;DEL;2
ub;DEL;2
ba;DEL;1
pe;DEL;1
