String;Operation type;Occurrences
sd;INS;1
ban;INS;11
on;INS;4
kkal;INS;4
eken;INS;13
akra;INS;2
sz;INS;3
nie;INS;1
endő;INS;2
okban;INS;5
knek;INS;2
tól;INS;14
ként;INS;22
ekről;INS;7
okba;INS;7
be;INS;5
ból;INS;11
kal;INS;1
ért;INS;28
hoz;INS;7
okig;INS;9
e;INS;5
ekért;INS;6
ből;INS;8
eném;INS;2
ekből;INS;10
ökön;INS;1
ról;INS;12
öveknek;INS;1
ra;INS;10
okká;INS;8
ktől;INS;1
tad;INS;1
tetek;INS;3
ákb;INS;10
n;INS;18
nának;INS;3
nak;INS;16
mel;INS;2
val;INS;4
akhoz;INS;8
kre;INS;2
dal;INS;3
gi;INS;1
ben;INS;11
üveknek;INS;1
éb;INS;6
ig;INS;13
ja;INS;2
ket;INS;2
t;INS;23
ni;INS;3
eknél;INS;7
ákká;INS;2
tuk;INS;1
ékb;INS;2
król;INS;2
te;INS;1
ér;INS;1
nátok;INS;1
nák;INS;2
ek;INS;8
ákért;INS;3
nád;INS;1
tet;INS;2
unk;INS;3
ává;INS;2
pé;INS;3
któl;INS;4
ok;INS;13
okhoz;INS;7
áktól;INS;3
en;INS;9
tünk;INS;3
ékért;INS;1
ekbe;INS;5
okkal;INS;7
kna;INS;1
anál;INS;2
kért;INS;5
okból;INS;5
erek;INS;1
-nek;INS;1
ettél;INS;1
ához;INS;2
okat;INS;6
akban;INS;4
gal;INS;1
lró;INS;1
aknál;INS;1
ak;INS;4
ekben;INS;8
okon;INS;2
oknak;INS;9
ekhez;INS;7
akból;INS;2
ánál;INS;4
ákk;INS;6
l;INS;8
singula;INS;2
okként;INS;6
ektől;INS;9
ze;INS;1
nék;INS;1
ák;INS;4
-ek;INS;1
tokér;INS;2
ákból;INS;3
tatok;INS;2
áról;INS;5
öket;INS;1
et;INS;1
okról;INS;9
k;INS;12
setek;INS;1
nél;INS;12
at;INS;6
októl;INS;7
ákon;INS;3
aknak;INS;3
noko;INS;1
tér;INS;1
ss;INS;1
kként;INS;4
lrő;INS;1
bá;INS;1
eniük;INS;2
knál;INS;4
kat;INS;3
eknek;INS;4
oknál;INS;9
től;INS;8
kon;INS;2
akért;INS;6
öknél;INS;1
ákn;INS;2
ba;INS;7
ó;INS;2
ekig;INS;6
kjü;INS;1
áb;INS;2
akká;INS;8
tek;INS;1
andó;INS;1
ett;INS;1
játok;INS;2
áv;INS;2
ottak;INS;2
otok;INS;2
ről;INS;5
d;INS;6
va;INS;2
ökről;INS;1
nek;INS;9
ot;INS;3
sel;INS;3
étől;INS;2
anának;INS;1
ár;INS;2
tal;INS;1
nál;INS;8
al;INS;5
éért;INS;2
re;INS;5
öttél;INS;1
i;INS;1
nom;INS;3
ottátok;INS;1
-ot;INS;1
s;INS;1
tam;INS;2
etek;INS;1
öt;INS;1
ákig;INS;3
akig;INS;3
ekkel;INS;7
jek;INS;1
ékből;INS;1
án;INS;5
ákr;INS;2
kről;INS;2
áig;INS;2
nia;INS;2
okért;INS;8
netek;INS;2
udná;INS;1
ökért;INS;1
ná;INS;1
ették;INS;1
ákhoz;INS;3
éből;INS;3
ed;INS;1
sen;INS;1
öd;INS;1
hez;INS;3
ékig;INS;2
dano;INS;1
sal;INS;2
ttek;INS;1
táér;INS;3
mé;INS;2
nánk;INS;5
kig;INS;4
okra;INS;8
kból;INS;1
éktől;INS;1
khöz;INS;2
át;INS;1
ákként;INS;3
ökig;INS;1
jon;INS;1
gái;INS;1
onok;INS;1
avakba;INS;1
tok;INS;1
ingular;INS;1
kkel;INS;3
tátok;INS;3
ától;INS;2
tot;INS;2
évé;INS;1
né;INS;5
ekre;INS;4
ék;INS;1
éra;INS;1
-ről;INS;1
ából;INS;3
kké;INS;1
jak;INS;1
ékn;INS;1
éknak;INS;1
ekké;INS;2
hekbe;INS;1
anokb;INS;1
zho;INS;1
jük;INS;1
eket;INS;3
ték;INS;1
sá;INS;2
akként;INS;1
vá;INS;2
ét;INS;1
höz;INS;1
akat;INS;2
lné;INS;1
zatok;INS;1
akon;INS;3
knél;INS;1
tákkén;INS;1
gá;INS;2
lekrő;INS;1
na;INS;2
kká;INS;1
u;INS;2
j;INS;3
lokka;INS;1
ökké;INS;1
ken;INS;1
om;INS;2
áért;INS;1
elekk;INS;1
öktől;INS;1
anotok;INS;1
ják;INS;3
anánk;INS;1
nokba;INS;1
sem;INS;2
éh;INS;1
z;INS;1
elekrő;INS;1
ták;INS;1
ünk;INS;1
tem;INS;2
kba;INS;1
akról;INS;2
akkal;INS;2
ökre;INS;1
é;INS;2
niük;INS;1
ell;INS;1
akba;INS;2
ettünk;INS;2
éknél;INS;1
ő;INS;1
notok;INS;1
kön;INS;1
ottuk;INS;1
zetek;INS;1
jatok;INS;1
zunk;INS;2
ökhöz;INS;1
ne;INS;2
o;INS;1
zanak;INS;1
ssé;INS;1
tétek;INS;1
-okba;INS;1
el;INS;1
jam;INS;1
ném;INS;1
kban;INS;2
c;INS;1
cel;INS;1
jem;INS;1
ekként;INS;1
sse;INS;1
én;INS;1
láró;INS;1
nod;INS;1
ált;INS;1
anád;INS;1
lná;INS;1
tá;INS;1
té;INS;1
itek;INS;2
anák;INS;1
o;DEL;7
ik;DEL;1
é;DEL;6
ő;DEL;1
ű;DEL;1
a;DEL;56
e;DEL;19
bejá;DEL;1
at;DEL;1
t;DEL;2
szik;DEL;1
ö;DEL;1
sz;DEL;1
ó;DEL;1
how;DEL;1
eh;DEL;1
k;DEL;1
i;DEL;1
ú;DEL;1
óna;DEL;1
