String;Operation type;Occurrences
um;INS;56
t;INS;4
arnir;INS;6
a;INS;90
unum;INS;32
anna;INS;32
ði;INS;24
irnar;INS;3
ann;INS;5
u;INS;33
ar;INS;24
uðuð;INS;6
ans;INS;10
inu;INS;9
ina;INS;11
ð;INS;10
i;INS;53
ið;INS;46
unn;INS;8
r;INS;45
ætu;INS;1
s;INS;26
in;INS;21
nu;INS;2
urn;INS;14
uðum;INS;5
ö;INS;37
arnar;INS;6
arn;INS;5
san;INS;1
inni;INS;8
inum;INS;2
anum;INS;6
num;INS;4
umið;INS;1
n;INS;19
ana;INS;12
m;INS;14
ir;INS;14
ur;INS;9
enn;INS;2
inn;INS;24
sins;INS;24
nin;INS;1
unni;INS;8
di;INS;3
æki;INS;1
dir;INS;1
ðir;INS;10
tir;INS;5
uðu;INS;7
ja;INS;6
nun;INS;1
ddum;INS;1
yni;INS;1
duð;INS;2
ölunum;INS;1
nn;INS;8
e;INS;3
yti;INS;2
arinnar;INS;5
ytir;INS;1
na;INS;3
ögu;INS;1
junum;INS;2
tuð;INS;1
ari;INS;1
nni;INS;1
óku;INS;1
ti;INS;2
æðu;INS;1
iðu;INS;1
un;INS;9
öfu;INS;1
anan;INS;1
ndi;INS;7
end;INS;3
nann;INS;1
arni;INS;2
ökunum;INS;1
dum;INS;1
rnar;INS;1
ins;INS;3
nnsins;INS;2
ra;INS;1
ikir;INS;1
öðuðu;INS;1
nna;INS;1
una;INS;1
rni;INS;1
rirni;INS;1
mönnu;INS;1
ssin;INS;1
rinnar;INS;1
ni;INS;4
tt;INS;1
möbunu;INS;1
janna;INS;1
ennirni;INS;2
fði;INS;1
ennin;INS;1
ötur;INS;1
murunu;INS;1
æði;INS;1
irni;INS;3
nninum;INS;1
ðu;INS;1
ns;INS;1
nan;INS;1
mu;INS;1
ölu;INS;1
rarni;INS;1
ifi;INS;1
j;INS;1
ækjum;INS;1
nnar;INS;2
jarn;INS;1
öðum;INS;1
jum;INS;1
aða;INS;1
ri;INS;1
du;INS;1
öluðuð;INS;1
usu;INS;1
öðu;INS;1
nur;INS;1
ddu;INS;1
jana;INS;1
ja;DEL;21
ul;DEL;3
ur gegn m;DEL;1
kyni;DEL;1
ur;DEL;59
a;DEL;196
i;DEL;90
u;DEL;21
ótti;DEL;1
ö;DEL;15
r;DEL;21
ymja;DEL;1
il;DEL;9
aður;DEL;3
ir;DEL;3
aka;DEL;4
l;DEL;12
ða;DEL;3
onur;DEL;1
ala;DEL;3
jóta;DEL;3
aga;DEL;1
ður;DEL;6
óði;DEL;1
íða;DEL;1
ar;DEL;1
afa;DEL;1
di;DEL;1
fit;DEL;1
íkja;DEL;1
aba;DEL;1
aðu;DEL;2
efj;DEL;1
ata;DEL;1
ari;DEL;1
jö;DEL;1
eða;DEL;1
ndi;DEL;2
ífa;DEL;1
aða;DEL;2
n;DEL;1
E;DEL;1
öðu;DEL;1
jósa;DEL;1
