String;Operation type;Occurrences
ksen;INS;1
löil;INS;1
löist;INS;1
oiks;INS;1
tmii;INS;1
keen;INS;1
ksist;INS;1
iziil;INS;1
äl;INS;1
eez;INS;1
meez;INS;1
iks;INS;2
zilt;INS;1
pahaal;INS;1
lle;INS;4
ksiil;INS;1
z;INS;1
hiin;INS;1
see;INS;1
ta;INS;1
ks;INS;1
iin;INS;1
iiz;INS;1
löin;INS;2
vii;INS;1
loihe;INS;1
ilt;INS;1
al;INS;1
est;INS;1
jj;INS;1
n;INS;2
iz;INS;2
ttee;INS;1
es;INS;1
en;INS;1
vist;INS;1
ille;INS;1
l;INS;1
helt;INS;1
iil;INS;1
eks;INS;1
löilt;INS;1
et;INS;1
z;DEL;5
a;DEL;1
se;DEL;1
i;DEL;5
t;DEL;3
n;DEL;3
maz;DEL;1
ä;DEL;5
k;DEL;3
zi;DEL;3
pa;DEL;1
u;DEL;1
