String;Operation type;Occurences
pre;INS;1
ent;INS;1
a ;INS;141
i;INS;99
h;INS;176
a;INS;81
an ;INS;96
leis an ;INS;38
anna;INS;13
na ;INS;60
ithe;INS;9
aram;INS;1
óf;INS;2
r;INS;2
an t-;INS;9
anach;INS;1
d';INS;27
 mé;INS;7
ig;INS;19
í;INS;88
go n-;INS;9
í s;INS;5
ad;INS;4
leis an m;INS;10
óinn;INS;1
adh;INS;3
nna;INS;5
ím;INS;19
s;INS;8
leis na ;INS;32
aí;INS;12
ód;INS;4
e;INS;23
acha;INS;7
faidh mé;INS;2
t;INS;9
go d;INS;9
e mé;INS;1
ítear;INS;6
íod;INS;10
mis;INS;1
aithe;INS;4
idís;INS;4
leis an b;INS;4
ann;INS;5
a mé;INS;2
ídís;INS;8
dá m;INS;3
 sé;INS;16
faí;INS;1
a d';INS;1
go ;INS;5
d;INS;14
dá ;INS;7
íteá;INS;5
go m;INS;3
aímid;INS;1
aidís;INS;1
hfadh sib;INS;1
feadh sé;INS;1
dá g;INS;4
inn;INS;2
eanna;INS;7
leis an bh;INS;8
 tú;INS;10
h sib;INS;4
dá n-;INS;3
adh sibh;INS;3
 siad;INS;6
ítí;INS;3
go g;INS;2
e sibh;INS;1
í sé;INS;4
í tú;INS;3
faidís;INS;1
íonn;INS;3
na h;INS;12
nín;INS;2
íodh s;INS;4
b;INS;11
ódh sib;INS;1
fa;INS;1
eo;INS;2
leis an g;INS;7
imeo;INS;1
o;INS;2
óimis;INS;1
leis na h;INS;8
faidh;INS;1
ta;INS;3
ha sib;INS;1
aim;INS;2
go n;INS;4
a siad;INS;3
eofá;INS;2
faidh tú;INS;1
eodh s;INS;1
íodh sé;INS;1
dá bh;INS;2
óid;INS;3
leis an n;INS;2
ea;INS;3
aí tú;INS;1
dhea;INS;1
is;INS;1
hreac;INS;1
faidh siad;INS;1
eacha;INS;3
uithe;INS;2
ígí;INS;3
adh sé;INS;4
ann tú;INS;2
e tú;INS;1
go b;INS;2
íonn s;INS;2
imid;INS;1
far;INS;2
e s;INS;1
bh;INS;1
an t;INS;4
síonn ;INS;1
n ;INS;1
ll;INS;1
é;INS;1
fimid;INS;1
raíte;INS;1
head;INS;1
e siad;INS;1
ífear;INS;1
fainn;INS;2
dá b;INS;1
íomar;INS;3
dóimi;INS;1
íonn sé;INS;3
ínn;INS;1
the;INS;1
hi;INS;1
dá d;INS;2
te;INS;3
go bh;INS;1
tar;INS;3
faim;INS;1
dói;INS;1
eod;INS;2
ann sé;INS;1
nn tú;INS;1
is ;INS;2
aídís;INS;1
th;INS;2
aethanta;INS;1
aíodh sé;INS;1
ófar;INS;1
fadh sé;INS;1
amar;INS;2
óidh si;INS;1
fadh;INS;1
dá n;INS;1
aíodh sibh;INS;1
a sibh;INS;1
faidh s;INS;2
ainn;INS;1
aím;INS;1
hc;INS;1
tá;INS;1
eofaí;INS;1
faimid;INS;1
fidh tú;INS;2
teá;INS;1
feadh sibh;INS;1
ach;INS;1
fidh siad;INS;1
n;INS;1
ear;INS;1
ha;INS;1
bri;DEL;1
í;DEL;9
igh;DEL;50
c;DEL;16
ch;DEL;4
gh;DEL;23
ai;DEL;7
a;DEL;12
aig;DEL;9
i;DEL;30
dh;DEL;6
hig;DEL;2
gi;DEL;1
h;DEL;3
ú;DEL;7
ig;DEL;12
e;DEL;15
ea;DEL;11
g;DEL;19
aigh;DEL;2
io;DEL;1
ir;DEL;1
m;DEL;1
le;DEL;1
ia;DEL;1
eac;DEL;3
á;DEL;1
