String;Operation type;Occurrences
ine;INS;62
an;INS;68
no;INS;76
ên;INS;64
na;INS;12
yî;INS;8
inan;INS;66
ê;INS;87
î;INS;37
ek;INS;71
nan;INS;1
ein;INS;5
ekî;INS;19
in;INS;58
ne;INS;38
di;INS;16
o;INS;36
i;INS;8
a;INS;93
eke;INS;44
ni;INS;4
me;INS;2
m;INS;13
nê;INS;10
bi;INS;21
ba;INS;3
bûya;INS;3
im;INS;4
yabû;INS;1
asîne;INS;1
nedi;INS;7
bûma;INS;1
îibûy;INS;1
anin;INS;4
ke;INS;4
eek;INS;6
bûyî;INS;1
îibay;INS;2
on;INS;1
îbay;INS;1
iye;INS;1
nina;INS;8
bûi;INS;1
ya;INS;3
ayî;INS;3
ime;INS;1
ama;INS;2
îyî;INS;1
bû;INS;4
ibû;INS;2
ibam;INS;1
e;INS;2
îek;INS;2
ibûyî;INS;2
iû;INS;1
nei;INS;1
îay;INS;1
ma;INS;1
y;INS;1
ay;INS;1
tin;DEL;2
n;DEL;55
tî, zaro;DEL;1
in;DEL;1
î;DEL;3
andi;DEL;5
sandi;DEL;1
rin;DEL;3
istin;DEL;2
a;DEL;3
d;DEL;2
ist;DEL;1
an;DEL;1
iyan;DEL;1
ti;DEL;1
i;DEL;1
(ji hesin);DEL;1
în;DEL;1
stin;DEL;1
