String;Operation type;Occurrences
ī;INS;107
ȳgō;INS;1
ibus;INS;4
īvissēt;INS;1
s;INS;11
āverit;INS;4
erīr;INS;1
ēminī;INS;3
ō;INS;158
ēbāmus;INS;2
āveram;INS;3
em;INS;7
āverim;INS;2
itō;INS;1
ōnēs;INS;13
āri;INS;4
et;INS;6
e;INS;37
ēbat;INS;1
erēminī;INS;1
ā;INS;97
ū;INS;36
ārentur;INS;3
ībimus;INS;1
īnī;INS;2
ae;INS;20
a;INS;58
īs;INS;15
āverāmus;INS;5
ār;INS;5
m;INS;71
ātur;INS;4
ābāmur;INS;2
ērēdābant;INS;1
entur;INS;4
unt;INS;7
r;INS;16
ētis;INS;5
ūrā;INS;3
īlāverāt;INS;1
ūrāverim;INS;1
us;INS;4
ē;INS;100
ārēris;INS;2
ēdātur;INS;1
ātōrēs;INS;1
ōcāvistis;INS;1
ītā;INS;1
ēn;INS;1
ūrābāt;INS;1
īta;INS;2
ēdit;INS;1
rō;INS;2
ārētis;INS;4
ūrrīrent;INS;1
ātīve;INS;1
ānī;INS;4
erēmus;INS;3
rāmu;INS;1
ent;INS;4
ābimur;INS;1
ōnum;INS;4
bu;INS;2
ōrum;INS;2
ōrātis;INS;1
erimus;INS;1
ūdō;INS;1
āciōr;INS;1
ātī;INS;7
āre;INS;3
um;INS;8
iāl;INS;1
īvā;INS;1
ātem;INS;1
ābimus;INS;3
ātūriōr;INS;1
ētur;INS;3
āvōrum;INS;1
īm;INS;2
nī;INS;7
erēm;INS;1
āverat;INS;2
īvō;INS;1
īcē;INS;1
ēgerat;INS;1
ērī;INS;1
ātibu;INS;3
ūtāre;INS;1
ātīvī;INS;1
ābās;INS;3
ābitur;INS;4
ūsū;INS;1
ās;INS;8
āvissētis;INS;2
āverant;INS;1
ēbāminī;INS;1
āmus;INS;6
ōcāre;INS;1
ūrāvisset;INS;1
ōrābitis;INS;1
ōrō;INS;1
ōne;INS;2
ōcēditis;INS;1
it;INS;3
īret;INS;1
ūcō;INS;2
icēs;INS;2
ūra;INS;2
ātōrum;INS;2
ēmān;INS;1
tur;INS;1
ābis;INS;3
u;INS;4
rītis;INS;1
untō;INS;3
ūdinib;INS;1
eram;INS;1
āvit;INS;2
īce;INS;1
ītī;INS;1
erem;INS;2
ar;INS;3
sīvissēmu;INS;1
seram;INS;1
ābitis;INS;2
ten;INS;1
sāverāmu;INS;1
rint;INS;2
ābunt;INS;3
ānōrum;INS;1
māru;INS;1
sistī;INS;1
xērunt;INS;1
ma;INS;2
ōr;INS;16
erit;INS;2
antō;INS;1
erim;INS;1
ōnātā;INS;1
ēris;INS;2
īgātur;INS;1
ōnibus;INS;6
āvissem;INS;3
ādīcēris;INS;1
īnāle;INS;1
am;INS;5
ēbātur;INS;3
ābit;INS;2
āderentur;INS;1
ōnās;INS;1
ūdinēs;INS;1
ātō;INS;13
āminī;INS;3
ēbātis;INS;2
ābātis;INS;2
īrēt;INS;1
ēnā;INS;1
rābuntu;INS;4
ābāris;INS;1
īrent;INS;2
ūriminī;INS;1
ōnem;INS;4
rībē;INS;1
iminī;INS;7
rēpantu;INS;1
ūpās;INS;1
imus;INS;2
er;INS;3
āverās;INS;4
ābant;INS;2
ātōri;INS;1
ārent;INS;3
īnō;INS;2
ōmā;INS;1
ātārum;INS;1
ūrābam;INS;1
cu;INS;1
ēperāt;INS;1
āvissēmus;INS;4
īgām;INS;1
īdat;INS;1
rībentu;INS;1
sist;INS;1
rīdērē;INS;1
ārētur;INS;3
āb;INS;1
āverīmus;INS;3
uerint;INS;1
āt;INS;3
ēvissēti;INS;1
ētī;INS;1
īnā;INS;1
ēnābitur;INS;1
sse;INS;1
itis;INS;1
īcī;INS;1
ēiūrāv;INS;1
int;INS;1
ōnī;INS;2
ūtārēt;INS;1
ātē;INS;1
ābiminī;INS;1
ōrāvissēs;INS;1
īv;INS;2
stī;INS;2
xerāmus;INS;1
sit;INS;1
rārēmu;INS;1
ōrentu;INS;1
ēns;INS;1
tāvērun;INS;1
īna;INS;1
ērēmur;INS;1
āgē;INS;1
ēmus;INS;4
tīveran;INS;1
ēs;INS;5
ēfīnītī;INS;1
ōrīcāvistis;INS;1
ōnentur;INS;1
ānāret;INS;1
ēbant;INS;3
ōdāvissēs;INS;1
ūderis;INS;1
issēmus;INS;1
ēbantur;INS;1
āverō;INS;1
ābuntur;INS;1
ēbar;INS;1
imur;INS;3
serit;INS;1
ābāmus;INS;3
ēbāmur;INS;2
ārē;INS;1
