String;Operation type;Occurrences
inam;INS;1
o;INS;129
e;INS;17
j;INS;35
em;INS;29
šu;INS;10
ā;INS;114
u;INS;113
jām;INS;33
oņ;INS;2
jā;INS;45
ņo;INS;1
a;INS;35
iem;INS;26
jo;INS;27
ma;INS;4
s;INS;54
esot jā;INS;5
ņu;INS;3
šņu;INS;1
dī;INS;4
im;INS;1
i;INS;27
ju;INS;3
os;INS;3
am;INS;10
ām;INS;30
oj;INS;3
jam;INS;14
ē;INS;5
š;INS;3
ed;INS;1
ņ;INS;1
šņ;INS;1
ī;INS;3
ai;INS;11
op;INS;1
m;INS;5
īt;INS;1
evā;INS;1
aj;INS;14
ēm;INS;10
lai ;INS;10
esot ;INS;5
jis;INS;8
mie;INS;5
ja;INS;3
šiem;INS;5
ļiem;INS;3
msi;INS;1
sim;INS;13
si;INS;9
zdam;INS;1
d;INS;1
šo;INS;2
ņņo;INS;1
is;INS;4
ās;INS;3
dzam;INS;1
da;INS;1
ca;INS;1
sto;INS;1
ēs;INS;2
ļu;INS;1
āj;INS;1
ošs;INS;1
dīšo;INS;1
būt jā;INS;2
būtu ;INS;2
jams;INS;2
c;INS;1
ļa;INS;2
ie;INS;2
īm;INS;1
šņo;INS;1
ij;INS;1
uļ;INS;1
dz;INS;1
ji;INS;1
šana;INS;1
ēlām;INS;1
ļo;INS;1
ņiem;INS;1
us;INS;1
sām;INS;1
dams;INS;1
cu;INS;1
ša;INS;1
ko;INS;1
ne;INS;1
oš;INS;1
žo;INS;1
evis;INS;1
gāj;INS;1
īt;DEL;6
a;DEL;62
s;DEL;268
ai;DEL;59
t;DEL;98
ni;DEL;3
ais;DEL;118
is;DEL;64
in;DEL;1
sns;DEL;1
š;DEL;8
e;DEL;25
ti;DEL;2
i;DEL;39
st;DEL;3
n;DEL;1
sn;DEL;1
ī;DEL;6
pt;DEL;1
o;DEL;1
ē;DEL;3
ēt;DEL;3
āt;DEL;1
tis;DEL;3
lis;DEL;5
en;DEL;2
tī;DEL;4
nni;DEL;1
gt;DEL;2
kt;DEL;3
es;DEL;1
ā;DEL;3
si;DEL;2
sni;DEL;1
sis;DEL;3
le;DEL;1
tie;DEL;1
l;DEL;1
elt;DEL;1
li;DEL;1
nis;DEL;1
cī;DEL;1
ot;DEL;1
et;DEL;1
