String;Operation type;Occurences
jęs;INS;1
ąja;INS;1
ñ;INS;4
iu;INS;5
é;INS;5
o;INS;43
jo;INS;5
e;INS;119
um;INS;9
nė;INS;5
davęs;INS;11
ia;INS;29
siem;INS;3
á;INS;21
i;INS;92
ýsian;INS;1
am;INS;4
ù;INS;40
te;INS;20
a;INS;22
s;INS;53
ąs;INS;14
ì;INS;12
oje;INS;9
jus;INS;1
ą;INS;19
me;INS;23
uo;INS;14
è;INS;24
im;INS;1
davus;INS;3
ų;INS;37
̃;INS;29
sian;INS;4
davo;INS;16
io;INS;7
nį;INS;3
u;INS;53
ỹ;INS;4
ĩ;INS;11
esni;INS;10
k;INS;14
dava;INS;9
umėte;INS;9
iomì;INS;1
ki;INS;9
usio;INS;5
nei;INS;1
m;INS;13
čių;INS;1
mė;INS;1
ė;INS;13
nėje;INS;1
ate;INS;2
jè;INS;2
iem;INS;2
à;INS;4
́;INS;18
ẽ;INS;7
žiam;INS;1
ų̃;INS;6
ūręs;INS;1
nių;INS;6
esnėm;INS;4
ú;INS;2
ote;INS;4
sùk;INS;1
ùkdava;INS;2
ui;INS;14
íem;INS;1
ã;INS;18
ęs;INS;5
ioje;INS;2
os;INS;13
iai;INS;3
ią;INS;3
as;INS;9
óbe;INS;1
óks;INS;1
ìmu;INS;1
či;INS;4
ame;INS;2
ìma;INS;1
čia;INS;3
jame;INS;2
uvate;INS;1
es;INS;3
uv;INS;1
davau;INS;5
ių;INS;8
ó;INS;12
usiom;INS;3
ìką;INS;2
ian;INS;5
esnėmi;INS;4
mis;INS;7
žia;INS;2
jome;INS;1
ne;INS;3
ìmè;INS;1
ei;INS;2
si;INS;7
vo;INS;1
siai;INS;2
į;INS;6
nas;INS;4
dėme;INS;1
sdama;INS;1
úok;INS;1
õ;INS;1
amas;INS;4
ome;INS;2
iuo;INS;6
iaĩ;INS;3
óms;INS;1
ãtuo;INS;1
vęs;INS;1
ùmą;INS;1
ès;INS;2
se;INS;2
davome;INS;11
ja;INS;6
aũ;INS;1
õžei;INS;1
ni;INS;1
siomi;INS;1
órą;INS;1
ìną;INS;1
jąs;INS;1
ám;INS;1
damas;INS;8
ìne;INS;1
č;INS;4
au;INS;7
esniuo;INS;1
nę;INS;4
ū;INS;3
ę;INS;1
odav;INS;2
omi;INS;1
esniai;INS;1
ojè;INS;1
jau;INS;2
̃s;INS;2
je;INS;4
av;INS;5
omas;INS;2
ìmą;INS;1
ýnui;INS;1
oms;INS;6
niu;INS;1
esnė;INS;6
ò;INS;9
iausi;INS;1
y;INS;2
esiai;INS;1
us;INS;1
mas;INS;5
ióm;INS;1
óve;INS;1
ž;INS;1
iame;INS;4
ìko;INS;1
ių̃;INS;2
ms;INS;4
an;INS;5
ùkome;INS;1
ýdų;INS;1
sia;INS;1
ùkate;INS;1
às;INS;3
usiuo;INS;3
ẽvo;INS;1
jan;INS;2
umėme;INS;8
ós;INS;1
ĩč;INS;1
esniem;INS;2
mi;INS;1
ose;INS;5
uva;INS;1
ý;INS;2
ìme;INS;1
sè;INS;1
esne;INS;1
ùkame;INS;1
iam;INS;1
ãre;INS;1
sio;INS;1
enims;INS;1
ýtum;INS;1
yjè;INS;2
žiám;INS;1
avė;INS;1
ýs;INS;1
í;INS;4
usiu;INS;2
ètui;INS;1
ýto;INS;1
š;INS;1
iá;INS;3
ič;INS;1
žiù;INS;1
ẽtą;INS;1
ìnoms;INS;1
om;INS;3
nąs;INS;1
dž;INS;1
usiem;INS;1
ìm;INS;1
omis;INS;2
enate;INS;1
ùša;INS;1
óbdav;INS;1
ìnuo;INS;2
aĩsi;INS;1
ẽst;INS;1
ju;INS;1
ónu;INS;1
žių̃;INS;1
j;INS;1
ūrote;INS;1
ìnį;INS;1
sę;INS;1
ãke;INS;1
esnėmì;INS;1
ntu;INS;1
sį;INS;1
ėrėt;INS;1
ýlų;INS;1
ndame;INS;1
õdį;INS;1
ąjį;INS;1
úost;INS;1
avia;INS;1
niame;INS;1
ìka;INS;1
́jo;INS;1
enimìs;INS;1
enis;INS;1
ñko;INS;1
éil;INS;1
ėm;INS;1
ėte;INS;1
čiausi;INS;1
iù;INS;1
avome;INS;1
òge;INS;1
ñtui;INS;1
õtei;INS;1
uje;INS;1
avėme;INS;1
óžiu;INS;1
uvąs;INS;1
ýdoje;INS;1
ti;DEL;94
ioj;DEL;1
n;DEL;4
y;DEL;20
e;DEL;13
as;DEL;92
i;DEL;125
a;DEL;172
t;DEL;89
s;DEL;82
ė;DEL;22
u;DEL;47
nis;DEL;1
sti;DEL;4
yti;DEL;27
urti;DEL;2
ukt;DEL;2
obt;DEL;1
ės;DEL;1
okt;DEL;1
mas;DEL;2
iūt;DEL;3
ū;DEL;1
ūt;DEL;1
o;DEL;25
ikas;DEL;2
sis;DEL;1
ai;DEL;1
ėti;DEL;8
imas;DEL;3
uti;DEL;2
is;DEL;12
oka;DEL;1
ys;DEL;10
ata;DEL;1
umas;DEL;1
ėt;DEL;6
ožė;DEL;1
sa;DEL;4
oras;DEL;1
inas;DEL;1
inė;DEL;1
tu;DEL;1
oj;DEL;2
ut;DEL;2
ynas;DEL;1
uo;DEL;4
ovė;DEL;1
us;DEL;4
ika;DEL;1
ukti;DEL;3
yda;DEL;2
evas;DEL;1
oti;DEL;3
tė;DEL;1
aras;DEL;1
uoti;DEL;3
gt;DEL;1
etas;DEL;2
ytas;DEL;1
j;DEL;1
igt;DEL;1
ina;DEL;3
it;DEL;1
st;DEL;1
inti;DEL;1
ušti;DEL;1
bti;DEL;1
sius;DEL;1
stas;DEL;1
onas;DEL;1
kti;DEL;1
inis;DEL;1
akė;DEL;1
rti;DEL;1
yla;DEL;1
odis;DEL;1
asis;DEL;1
sta;DEL;1
yt;DEL;2
kas;DEL;1
nkas;DEL;1
lė;DEL;1
ogas;DEL;1
ntas;DEL;1
otė;DEL;1
ožy;DEL;1
