String;Operation type;Occurences
d;INS;3
dt;INS;1
ūošõdõk;INS;1
iž;INS;2
ks;INS;2
õd;INS;1
īs;INS;2
dõs;INS;1
kõks;INS;2
bõ;INS;2
īzõs;INS;1
ssõ;INS;1
m;INS;1
t;INS;4
um tulmõs;INS;1
tõ;INS;1
apstā;INS;1
äb ;INS;3
āb;INS;1
dõn;INS;2
ī;INS;1
idi;INS;1
algõd ;INS;1
gõ;INS;2
õnd;INS;1
ūdõn;INS;1
õ;INS;2
ȯl!;INS;1
dkõks;INS;1
ndidi;INS;1
zõs;INS;1
ūom;INS;1
ssõdõk;INS;2
eizm;INS;1
sõ;INS;1
ndõd;INS;1
um ;INS;1
mõst;INS;1
õdõks;INS;2
n;INS;2
dis;INS;1
s;INS;2
zõst;INS;1
izt ;INS;2
āt;INS;1
õst;INS;1
štõ;INS;1
īm tunnõ;INS;1
st;INS;2
zõn;INS;1
ndõs;INS;1
äuvḑi;INS;1
ņņid;INS;1
u;INS;1
dõ;INS;1
āks;INS;1
õn;INS;3
stõ;INS;1
is;INS;2
ndist;INS;1
zt;INS;1
dū;INS;1
ndtõ;INS;1
ulks;INS;1
ȯļ;INS;1
žis;INS;1
īztõks;INS;1
lā vȯl!;INS;1
tis;INS;1
īztõn;INS;1
sõn;INS;1
ssõk;INS;1
līt ;INS;1
nd;INS;1
līb ;INS;1
a;INS;2
äb līmõ ;INS;1
nnõd;INS;1
gõ läkk;INS;1
z;DEL;11
ȯi;DEL;1
õz;DEL;1
li;DEL;3
d;DEL;1
ūlda;DEL;2
äpš;DEL;1
õ;DEL;2
lõ;DEL;3
i;DEL;1
ȱlda;DEL;1
vȱlda;DEL;1
ǟd;DEL;2
tū;DEL;1
a;DEL;4
ā;DEL;2
vȱld;DEL;2
ǟva;DEL;1
ānd;DEL;2
ū;DEL;1
ņtš;DEL;1
ȱl;DEL;1
õd;DEL;1
e;DEL;1
dõ;DEL;1
