String;Operation type;Occurrences
‎;INS;9
ého;INS;35
l;INS;179
o;INS;76
 ;INS;226
b;INS;176
y;INS;262
c;INS;72
h;INS;56
a;INS;59
al;INS;18
li;INS;15
m;INS;86
lo;INS;14
i;INS;85
é;INS;102
u;INS;84
j;INS;90
e;INS;153
á;INS;70
n;INS;22
ému;INS;20
ou;INS;18
ém;INS;17
d;INS;18
š;INS;14
í;INS;69
mi;INS;32
em;INS;13
ů;INS;15
ly;INS;28
s;INS;92
t;INS;27
ch;INS;20
v;INS;22
ům;INS;13
ř;INS;5
č;INS;3
ě;INS;9
r;INS;1
ň;INS;1
ď;INS;1
ý;DEL;228
t;DEL;195
ov;DEL;8
a;DEL;101
e;DEL;38
á;DEL;8
ovat;DEL;22
at;DEL;16
k;DEL;10
o;DEL;12
r;DEL;4
u;DEL;1
c;DEL;4
ký;DEL;5
i;DEL;7
kt;DEL;2
p;DEL;2
d;DEL;1
v;DEL;2
ř;DEL;1
h;DEL;1
y;DEL;1
č;DEL;1
s;DEL;5
ě;DEL;5
ova;DEL;3
í;DEL;2
ís;DEL;2
ť;DEL;3
ň;DEL;3
n;DEL;1
l;DEL;1
m;DEL;1
