String;Operation type;Occurrences
s;INS;301
i;INS;354
n;INS;159
d;INS;244
e;INS;597
l;INS;273
t;INS;398
k;INS;136
a;INS;197
v;INS;60
o;INS;183
 ;INS;280
nud;INS;118
ei ;INS;36
ks;INS;22
u;INS;165
udp;INS;20
ä;INS;58
r;INS;66
g;INS;129
sid;INS;21
nudp;INS;21
m;INS;25
p;INS;7
olgu ;INS;28
tud;INS;25
b;INS;6
j;INS;1
te;INS;3
ö;INS;2
h;INS;2
õ;INS;2
am;DEL;160
n;DEL;25
s;DEL;16
ma;DEL;209
d;DEL;10
e;DEL;44
m;DEL;75
g;DEL;14
p;DEL;6
i;DEL;12
a;DEL;41
l;DEL;3
ema;DEL;7
k;DEL;17
u;DEL;6
t;DEL;10
oo;DEL;2
r;DEL;10
ima;DEL;2
dm;DEL;2
b;DEL;3
