String;Operation type;Occurrences
s;INS;24
d;INS;21
b;INS;141
a;INS;218
n;INS;286
o;INS;209
k;INS;613
l;INS;222
e;INS;289
r;INS;130
z;INS;45
i;INS;60
ő;INS;58
t;INS;244
ól;INS;37
ként;INS;22
ért;INS;28
h;INS;44
oz;INS;7
g;INS;51
é;INS;124
m;INS;20
ö;INS;20
v;INS;16
á;INS;165
ak;INS;16
ü;INS;12
j;INS;18
u;INS;13
ó;INS;53
p;INS;3
-;INS;5
né;INS;12
ől;INS;8
ná;INS;8
c;INS;2
o;DEL;8
i;DEL;3
k;DEL;3
é;DEL;6
ő;DEL;1
ű;DEL;1
a;DEL;58
e;DEL;21
b;DEL;1
j;DEL;1
á;DEL;1
t;DEL;3
s;DEL;2
z;DEL;2
ö;DEL;1
ó;DEL;2
h;DEL;2
w;DEL;1
ú;DEL;1
n;DEL;1
