String;Operation type;Occurrences
p;INS;1
r;INS;25
e;INS;122
n;INS;166
t;INS;80
a ;INS;141
i;INS;246
h;INS;283
a;INS;312
an ;INS;96
leis an ;INS;38
an;INS;13
na;INS;13
na ;INS;60
the;INS;9
m;INS;65
ó;INS;16
f;INS;32
 ;INS;273
-;INS;21
c;INS;14
d';INS;27
é;INS;45
g;INS;70
í;INS;217
o;INS;75
s;INS;142
d;INS;142
l;INS;41
leis na ;INS;32
b;INS;44
á;INS;32
';INS;1
ú;INS;21
u;INS;2
th;INS;1
b;DEL;1
r;DEL;2
i;DEL;54
í;DEL;9
igh;DEL;52
c;DEL;23
h;DEL;15
gh;DEL;23
a;DEL;42
ig;DEL;11
d;DEL;6
g;DEL;32
ú;DEL;7
e;DEL;27
o;DEL;1
m;DEL;1
l;DEL;1
ea;DEL;3
á;DEL;1
