String;Operation type;Occurrences
ebb;INS;24
r;INS;109
a;INS;127
n;INS;127
o;INS;222
mmo;INS;31
i;INS;192
si ;INS;71
t;INS;159
s;INS;157
c;INS;28
v;INS;89
e;INS;286
ci ;INS;32
ti ;INS;29
no;INS;32
va;INS;20
mo;INS;87
et;INS;21
vi ;INS;26
h;INS;42
m;INS;32
b;INS;44
sti;INS;31
mi ;INS;37
ò;INS;28
st;INS;28
à;INS;27
ssi;INS;32
vano;INS;26
g;INS;9
l;INS;2
 ;INS;3
d;INS;10
u;INS;2
é;INS;1
ì;INS;2
ar;DEL;45
re;DEL;262
ere;DEL;23
rsi;DEL;56
r;DEL;210
are;DEL;96
i;DEL;72
a;DEL;121
l;DEL;3
e;DEL;53
s;DEL;41
er;DEL;23
ars;DEL;45
arsi;DEL;23
rs;DEL;5
v;DEL;2
d;DEL;2
n;DEL;2
m;DEL;2
g;DEL;1
u;DEL;1
