String;Operation type;Occurrences
ine;INS;62.0
an;INS;68.0
no;INS;76.0
ên;INS;64.0
n;INS;37.0
a;INS;143.0
y;INS;30.0
î;INS;80.0
inan;INS;66.0
ê;INS;97.0
ek;INS;96.0
;INS;
e;INS;25.0
in;INS;63.0
ne;INS;45.0
d;INS;16.0
i;INS;49.0
o;INS;37.0
eke;INS;44.0
m;INS;25.0
bi;INS;21.0
b;INS;23.0
û;INS;17.0
s;INS;1.0
di;INS;7.0
k;INS;6.0
nin;INS;8.0
t;DEL;5.0
in;DEL;5.0
n;DEL;61.0
î;DEL;5.0
tî, zaro;DEL;2.0
 ;DEL;2.0
z;DEL;1.0
a;DEL;12.0
r;DEL;4.0
o;DEL;1.0
i;DEL;10.0
ndi;DEL;5.0
s;DEL;4.0
d;DEL;3.0
stin;DEL;2.0
y;DEL;1.0
(;DEL;1.0
j;DEL;1.0
h;DEL;1.0
e;DEL;1.0
(ji hesin);DEL;1.0
tin;DEL;1.0
