String;Operation type;Occurrences
ī;INS;267
ȳ;INS;2
g;INS;10
ō;INS;249
i;INS;210
b;INS;99
u;INS;199
s;INS;253
v;INS;87
ē;INS;256
t;INS;269
ā;INS;453
e;INS;225
r;INS;321
m;INS;247
n;INS;186
a;INS;128
ōnēs;INS;13
ū;INS;76
ae;INS;20
īs;INS;15
d;INS;27
l;INS;13
c;INS;22
mus;INS;6
x;INS;7
ōr;INS;16
ātō;INS;13
p;INS;5
f;INS;1
mu;INS;3
j;INS;2
z;INS;1
us;DEL;133
y;DEL;2
g;DEL;16
o;DEL;600
i;DEL;164
no;DEL;5
r;DEL;37
u;DEL;147
a;DEL;155
s;DEL;143
e;DEL;133
um;DEL;22
in;DEL;5
d;DEL;19
l;DEL;11
t;DEL;38
c;DEL;23
v;DEL;7
n;DEL;36
osu;DEL;11
or;DEL;5
do;DEL;6
is;DEL;1
x;DEL;3
atus;DEL;14
m;DEL;11
b;DEL;4
p;DEL;5
f;DEL;1
at;DEL;2
j;DEL;2
lis;DEL;2
z;DEL;1
