String;Operation type;Occurrences
i;INS;73
n;INS;3
a;INS;100
m;INS;49
o;INS;160
e;INS;37
j;INS;93
em;INS;29
š;INS;28
u;INS;136
ā;INS;129
jām;INS;33
ņ;INS;13
jā;INS;45
iem;INS;31
jo;INS;27
s;INS;107
t;INS;16
 ;INS;24
d;INS;12
ī;INS;10
ām;INS;30
am;INS;14
ē;INS;18
p;INS;1
v;INS;2
l;INS;11
is;INS;8
ie;INS;5
ļ;INS;8
im;INS;13
z;INS;3
c;INS;3
b;INS;4
ū;INS;4
k;INS;1
ž;INS;1
g;INS;1
ī;DEL;17
t;DEL;130
a;DEL;62
s;DEL;282
ai;DEL;59
n;DEL;13
i;DEL;52
ais;DEL;118
is;DEL;75
š;DEL;8
e;DEL;32
p;DEL;1
o;DEL;2
ē;DEL;6
ā;DEL;4
l;DEL;9
g;DEL;2
k;DEL;3
c;DEL;1
