String;Operation type;Occurrences
j;INS;40
ę;INS;14
s;INS;215
ą;INS;34
a;INS;181
ñ;INS;6
i;INS;274
u;INS;149
é;INS;6
o;INS;132
e;INS;242
m;INS;154
n;INS;92
ė;INS;59
davęs;INS;11
ia;INS;29
á;INS;26
ý;INS;10
ù;INS;50
te;INS;20
ąs;INS;14
ì;INS;31
je;INS;9
me;INS;25
uo;INS;14
è;INS;34
d;INS;28
v;INS;30
ų;INS;63
̃;INS;40
davo;INS;16
į;INS;13
ỹ;INS;4
ĩ;INS;16
k;INS;37
dav;INS;9
t;INS;31
č;INS;15
à;INS;7
́;INS;19
ẽ;INS;10
ž;INS;10
ū;INS;5
r;INS;5
ú;INS;4
ui;INS;14
í;INS;5
ã;INS;21
os;INS;13
ó;INS;22
b;INS;2
õ;INS;4
davome;INS;11
ũ;INS;1
ò;INS;10
y;INS;4
as;INS;5
š;INS;2
l;INS;2
g;INS;1
ti;DEL;115
i;DEL;154
o;DEL;46
j;DEL;4
n;DEL;13
y;DEL;36
e;DEL;16
as;DEL;95
a;DEL;207
t;DEL;124
s;DEL;133
ė;DEL;44
u;DEL;68
yti;DEL;27
r;DEL;5
uk;DEL;5
b;DEL;2
k;DEL;9
m;DEL;3
ūt;DEL;3
ū;DEL;2
mas;DEL;3
is;DEL;12
ž;DEL;2
v;DEL;2
yd;DEL;2
oti;DEL;3
g;DEL;3
in;DEL;3
š;DEL;1
l;DEL;2
d;DEL;1
