String;Operation type;Occurrences
d;INS;25
t;INS;25
ū;INS;4
o;INS;2
š;INS;2
õ;INS;41
k;INS;13
i;INS;17
ž;INS;3
s;INS;33
ī;INS;10
õks;INS;2
b;INS;8
z;INS;10
m;INS;9
u;INS;7
 ;INS;15
l;INS;9
a;INS;4
p;INS;1
ā;INS;5
ä;INS;6
dõ;INS;2
n;INS;22
g;INS;4
ȯl;INS;1
!;INS;2
ss;INS;2
õdõk;INS;2
e;INS;1
õdõ;INS;2
ks;INS;2
st;INS;1
v;INS;2
ḑ;INS;1
ņ;INS;2
ȯ;INS;2
ļ;INS;1
z;DEL;12
ȯ;DEL;1
i;DEL;5
õ;DEL;8
l;DEL;9
d;DEL;11
ūl;DEL;2
da;DEL;2
ä;DEL;1
p;DEL;1
š;DEL;2
ȱ;DEL;3
a;DEL;7
v;DEL;2
ǟ;DEL;3
t;DEL;2
ū;DEL;2
ā;DEL;2
vȱl;DEL;2
ān;DEL;2
ņ;DEL;1
e;DEL;1
