Original;Split
INS(‎);INS(‎)
INS(lo bych);INS(l),INS(o),INS( ),INS(b),INS(y),INS(c),INS(h)
INS(byla by );INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS( )
INS(al);INS(a),INS(l)
INS(li);INS(l),INS(i)
INS(bylo by );INS(b),INS(y),INS(l),INS(o),INS( ),INS(b),INS(y),INS( )
INS(lo);INS(l),INS(o)
INS(uj);INS(u),INS(j)
INS(án);INS(á),INS(n)
INS(ému);INS(é),INS(mu)
INS(ám);INS(á),INS(m)
INS(a);INS(a)
INS(mu);INS(m),INS(u)
INS(ou);INS(o),INS(u)
INS(ém);INS(é),INS(m)
INS(byla bych );INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h),INS( )
INS(budeš );INS(b),INS(u),INS(d),INS(e),INS(š),INS( )
INS(ech);INS(e),INS(c),INS(h)
INS(íš);INS(í),INS(š)
INS(bylo bych );INS(b),INS(y),INS(l),INS(o),INS( ),INS(b),INS(y),INS(c),INS(h),INS( )
INS(uji);INS(u),INS(j),INS(i)
INS(ách);INS(á),INS(c),INS(h)
INS(ány);INS(á),INS(n),INS(y)
INS(ce);INS(c),INS(e)
INS(em);INS(e),INS(m)
INS(ů);INS(ů)
INS(ho);INS(h),INS(o)
INS(lo by);INS(l),INS(o),INS( ),INS(b),INS(y)
INS(byly by );INS(b),INS(y),INS(l),INS(y),INS( ),INS(b),INS(y),INS( )
INS(l);INS(l)
INS(la jsi);INS(l),INS(a),INS( ),INS(j),INS(s),INS(i)
INS(at);INS(a),INS(t)
INS(ch);INS(c),INS(h)
INS(budu );INS(b),INS(u),INS(d),INS(u),INS( )
INS(li by);INS(l),INS(i),INS( ),INS(b),INS(y)
INS(l js);INS(l),INS( ),INS(j),INS(s)
INS(ovi);INS(o),INS(v),INS(i)
INS(ové);INS(o),INS(v),INS(é)
INS(il);INS(i),INS(l)
INS(ům);INS(ů),INS(m)
INS(vše);INS(v),INS(š),INS(e)
INS(la js);INS(l),INS(a),INS( ),INS(j),INS(s)
INS(byli bychom );INS(b),INS(y),INS(l),INS(i),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m),INS( )
INS(ím);INS(í),INS(m)
INS(lo bys);INS(l),INS(o),INS( ),INS(b),INS(y),INS(s)
INS(la bys);INS(l),INS(a),INS( ),INS(b),INS(y),INS(s)
INS(li jsme);INS(l),INS(i),INS( ),INS(j),INS(s),INS(m),INS(e)
INS(ře);INS(ř),INS(e)
INS(ejme);INS(e),INS(j),INS(m),INS(e)
INS(bylo bys );INS(b),INS(y),INS(l),INS(o),INS( ),INS(b),INS(y),INS(s),INS( )
INS(ích);INS(í),INS(c),INS(h)
INS(byl byste );INS(b),INS(y),INS(l),INS( ),INS(b),INS(y),INS(s),INS(t),INS(e),INS( )
INS(cích);INS(c),INS(í),INS(c),INS(h)
INS(l by);INS(l),INS( ),INS(b),INS(y)
INS(ují);INS(u),INS(j),INS(í)
INS(byly bychom );INS(b),INS(y),INS(l),INS(y),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m),INS( )
INS(ly jsme);INS(l),INS(y),INS( ),INS(j),INS(s),INS(m),INS(e)
INS(uje);INS(u),INS(j),INS(e)
INS(čtí);INS(č),INS(t),INS(í)
INS(bude );INS(b),INS(u),INS(d),INS(e),INS( )
