Original;Split
INS(de);INS(d),INS(e)
INS(ters);INS(t),INS(ers)
INS(des);INS(d),INS(es)
INS(set);INS(s),INS(e),INS(t)
INS(terne);INS(t),INS(e),INS(r),INS(n),INS(e)
INS(ner);INS(n),INS(er)
INS(ød);INS(ø),INS(d)
INS(aene);INS(a),INS(e),INS(n),INS(e)
INS(pen);INS(p),INS(e),INS(n)
INS(');INS(')
INS(me);INS(m),INS(e)
INS(ferne);INS(f),INS(e),INS(r),INS(n),INS(e)
INS(end);INS(en),INS(d)
INS(bers);INS(b),INS(e),INS(r),INS(s)
INS(ren);INS(r),INS(en)
INS(nse);INS(n),INS(s),INS(e)
INS(ed);INS(e),INS(d)
INS(t);INS(t)
INS(ser);INS(s),INS(er)
INS(æ);INS(æ)
INS(re);INS(r),INS(e)
INS(mers);INS(m),INS(ers)
INS(ø);INS(ø)
INS(eshamres);INS(e),INS(s),INS(h),INS(a),INS(m),INS(r),INS(e),INS(s)
INS(kerne);INS(k),INS(e),INS(r),INS(n),INS(e)
INS(ken);INS(k),INS(e),INS(n)
INS(len);INS(l),INS(en)
INS(lern);INS(l),INS(ern)
INS(mes);INS(m),INS(e),INS(s)
INS(det);INS(d),INS(et)
INS(fer);INS(f),INS(e),INS(r)
INS(te);INS(t),INS(e)
INS(met);INS(m),INS(et)
INS(ben);INS(b),INS(e),INS(n)
INS(ke);INS(k),INS(e)
INS(sen);INS(s),INS(e),INS(n)
INS(den);INS(d),INS(en)
INS(ter);INS(t),INS(er)
INS(ler);INS(l),INS(e),INS(r)
INS('erne);INS('),INS(e),INS(r),INS(n),INS(e)
INS(perne);INS(p),INS(e),INS(r),INS(n),INS(e)
INS(ge);INS(g),INS(e)
INS(kers);INS(k),INS(e),INS(r),INS(s)
INS(tene);INS(t),INS(e),INS(n),INS(e)
INS(ket);INS(k),INS(e),INS(t)
INS(ten);INS(t),INS(en)
INS(biblen);INS(b),INS(i),INS(b),INS(l),INS(e),INS(n)
INS(let);INS(l),INS(e),INS(t)
INS(sene);INS(s),INS(e),INS(n),INS(e)
INS(pene);INS(p),INS(e),INS(n),INS(e)
INS(merne);INS(m),INS(e),INS(r),INS(n),INS(e)
INS(zer);INS(z),INS(e),INS(r)
INS(lene);INS(l),INS(e),INS(n),INS(e)
INS(lerne);INS(l),INS(e),INS(r),INS(n),INS(e)
INS(æerne);INS(æ),INS(e),INS(r),INS(n),INS(e)
INS(ett);INS(e),INS(t),INS(t)
INS(enenørkn);INS(e),INS(n),INS(e),INS(n),INS(ø),INS(r),INS(k),INS(n)
INS(rse);INS(r),INS(s),INS(e)
DEL(o);DEL(o)
DEL(um);DEL(u),DEL(m)
DEL(r);DEL(r)
DEL(a);DEL(a)
DEL(l);DEL(l)
DEL(at);DEL(a),DEL(t)
DEL(tage);DEL(t),DEL(a),DEL(g),DEL(e)
DEL(de);DEL(d),DEL(e)
DEL(fe);DEL(f),DEL(e)
DEL(å);DEL(å)
