Original;Split
INS(sin);INS(s),INS(i),INS(n)
INS(dele);INS(d),INS(e),INS(l),INS(e)
INS(teks);INS(t),INS(e),INS(k),INS(s)
INS(telt);INS(t),INS(e),INS(l),INS(t)
INS(n);INS(n)
INS(aden);INS(a),INS(d),INS(e),INS(n)
INS(deks);INS(d),INS(e),INS(k),INS(s)
INS(el);INS(e),INS(l)
INS(se);INS(s),INS(e)
INS(olid );INS(o),INS(l),INS(i),INS(d),INS( )
INS(na);INS(n),INS(a)
INS(ku);INS(k),INS(u)
INS(olin );INS(o),INS(l),INS(i),INS(n),INS( )
INS(oleksin );INS(o),INS(l),INS(e),INS(k),INS(s),INS(i),INS(n),INS( )
INS(ksid);INS(k),INS(s),INS(i),INS(d)
INS(iteni);INS(i),INS(t),INS(e),INS(n),INS(i)
INS(dest);INS(d),INS(e),INS(s),INS(t)
INS(dud);INS(d),INS(u),INS(d)
INS(olen );INS(o),INS(l),INS(e),INS(n),INS( )
INS(ed);INS(e),INS(d)
INS(atele);INS(a),INS(t),INS(e),INS(l),INS(e)
INS(nitu);INS(n),INS(i),INS(t),INS(u)
INS(teta);INS(t),INS(e),INS(t),INS(a)
INS(delt);INS(d),INS(e),INS(l),INS(t)
INS(ärgem );INS(ä),INS(r),INS(g),INS(e),INS(m),INS( )
INS(ke);INS(k),INS(e)
INS(ute);INS(u),INS(t),INS(e)
INS(l);INS(l)
INS(ei oleks );INS(e),INS(i),INS( ),INS(o),INS(l),INS(e),INS(k),INS(s),INS( )
INS(tele);INS(t),INS(e),INS(l),INS(e)
INS(stek);INS(s),INS(t),INS(e),INS(k)
INS(del);INS(d),INS(e),INS(l)
INS(di);INS(d),INS(i)
INS(deni);INS(d),INS(e),INS(n),INS(i)
INS(site);INS(s),INS(i),INS(t),INS(e)
INS(tel);INS(t),INS(e),INS(l)
INS(iteks);INS(i),INS(t),INS(e),INS(k),INS(s)
INS(iks);INS(i),INS(k),INS(s)
INS(an);INS(a),INS(n)
INS(adet);INS(a),INS(d),INS(e),INS(t)
INS(etud);INS(e),INS(t),INS(u),INS(d)
INS(olete );INS(o),INS(l),INS(e),INS(t),INS(e),INS( )
INS(elnu);INS(e),INS(l),INS(n),INS(u)
INS(p);INS(p)
INS(aten);INS(a),INS(t),INS(e),INS(n)
INS(ei olevat );INS(e),INS(i),INS( ),INS(o),INS(l),INS(e),INS(v),INS(a),INS(t),INS( )
INS(ita);INS(i),INS(t),INS(a)
INS(ilt);INS(i),INS(l),INS(t)
INS(ste);INS(s),INS(t),INS(e)
INS(lt);INS(l),INS(t)
INS(is);INS(i),INS(s)
INS(oleks );INS(o),INS(l),INS(e),INS(k),INS(s),INS( )
INS(olite );INS(o),INS(l),INS(i),INS(t),INS(e),INS( )
INS(atest);INS(a),INS(t),INS(e),INS(s),INS(t)
INS(desse);INS(d),INS(e),INS(s),INS(s),INS(e)
INS(ge);INS(g),INS(e)
INS(ga);INS(g),INS(a)
INS(dav);INS(d),INS(a),INS(v)
INS(ut);INS(u),INS(t)
INS(il);INS(i),INS(l)
INS(des);INS(d),INS(e),INS(s)
INS(nanu);INS(n),INS(a),INS(n),INS(u)
INS(ate);INS(a),INS(t),INS(e)
INS(olevat lä);INS(o),INS(l),INS(e),INS(v),INS(a),INS(t),INS( ),INS(l),INS(ä)
INS(ud);INS(u),INS(d)
INS(b);INS(b)
INS(sek);INS(s),INS(e),INS(k)
INS(u);INS(u)
INS(ag);INS(a),INS(g)
INS(as);INS(a),INS(s)
INS(atega);INS(a),INS(t),INS(e),INS(g),INS(a)
INS(ini);INS(i),INS(n),INS(i)
INS(uteta);INS(u),INS(t),INS(e),INS(t),INS(a)
INS(ta);INS(t),INS(a)
INS(oleksite );INS(o),INS(l),INS(e),INS(k),INS(s),INS(i),INS(t),INS(e),INS( )
INS(oled );INS(o),INS(l),INS(e),INS(d),INS( )
