Original;Split
INS(sd);INS(s),INS(d)
INS(on);INS(o),INS(n)
INS(kkal);INS(k),INS(k),INS(a),INS(l)
INS(akra);INS(a),INS(k),INS(r),INS(a)
INS(sz);INS(s),INS(z)
INS(nie);INS(n),INS(i),INS(e)
INS(endő);INS(e),INS(n),INS(d),INS(ő)
INS(okban);INS(o),INS(k),INS(b),INS(a),INS(n)
INS(knek);INS(k),INS(n),INS(e),INS(k)
INS(ekről);INS(e),INS(k),INS(r),INS(ő),INS(l)
INS(okba);INS(o),INS(k),INS(b),INS(a)
INS(be);INS(b),INS(e)
INS(kal);INS(k),INS(a),INS(l)
INS(hoz);INS(h),INS(oz)
INS(okig);INS(o),INS(k),INS(i),INS(g)
INS(e);INS(e)
INS(ekért);INS(e),INS(k),INS(é),INS(r),INS(t)
INS(ből);INS(b),INS(ő),INS(l)
INS(eném);INS(e),INS(n),INS(é),INS(m)
INS(ekből);INS(e),INS(k),INS(b),INS(ő),INS(l)
INS(ökön);INS(ö),INS(k),INS(ö),INS(n)
INS(öveknek);INS(ö),INS(v),INS(e),INS(k),INS(n),INS(e),INS(k)
INS(ra);INS(r),INS(a)
INS(okká);INS(o),INS(k),INS(k),INS(á)
INS(ktől);INS(k),INS(t),INS(ő),INS(l)
INS(tad);INS(t),INS(a),INS(d)
INS(tetek);INS(t),INS(e),INS(t),INS(e),INS(k)
INS(ákb);INS(á),INS(k),INS(b)
INS(nának);INS(n),INS(á),INS(n),INS(a),INS(k)
INS(mel);INS(m),INS(e),INS(l)
INS(val);INS(v),INS(a),INS(l)
INS(akhoz);INS(a),INS(k),INS(h),INS(o),INS(z)
INS(kre);INS(k),INS(r),INS(e)
INS(dal);INS(d),INS(a),INS(l)
INS(gi);INS(g),INS(i)
INS(üveknek);INS(ü),INS(v),INS(e),INS(k),INS(n),INS(e),INS(k)
INS(éb);INS(é),INS(b)
INS(ja);INS(j),INS(a)
INS(ket);INS(k),INS(e),INS(t)
INS(ni);INS(n),INS(i)
INS(eknél);INS(e),INS(k),INS(n),INS(é),INS(l)
INS(ákká);INS(á),INS(k),INS(k),INS(á)
INS(tuk);INS(t),INS(u),INS(k)
INS(ékb);INS(é),INS(k),INS(b)
INS(król);INS(k),INS(r),INS(ó),INS(l)
INS(te);INS(t),INS(e)
INS(ér);INS(é),INS(r)
INS(nátok);INS(n),INS(á),INS(t),INS(o),INS(k)
INS(nák);INS(n),INS(á),INS(k)
INS(ek);INS(e),INS(k)
INS(ákért);INS(á),INS(k),INS(é),INS(r),INS(t)
INS(nád);INS(n),INS(á),INS(d)
INS(tet);INS(t),INS(e),INS(t)
INS(unk);INS(u),INS(n),INS(k)
INS(ává);INS(á),INS(v),INS(á)
INS(pé);INS(p),INS(é)
INS(któl);INS(k),INS(t),INS(ó),INS(l)
INS(okhoz);INS(o),INS(k),INS(h),INS(o),INS(z)
INS(áktól);INS(á),INS(k),INS(t),INS(ó),INS(l)
INS(en);INS(e),INS(n)
INS(tünk);INS(t),INS(ü),INS(n),INS(k)
INS(ékért);INS(é),INS(k),INS(é),INS(r),INS(t)
INS(ekbe);INS(e),INS(k),INS(b),INS(e)
INS(okkal);INS(o),INS(k),INS(k),INS(a),INS(l)
INS(kna);INS(k),INS(n),INS(a)
INS(anál);INS(a),INS(n),INS(á),INS(l)
INS(kért);INS(k),INS(é),INS(r),INS(t)
INS(okból);INS(o),INS(k),INS(b),INS(ó),INS(l)
INS(erek);INS(e),INS(r),INS(e),INS(k)
INS(-nek);INS(-),INS(n),INS(e),INS(k)
INS(ettél);INS(e),INS(t),INS(t),INS(é),INS(l)
INS(ához);INS(á),INS(h),INS(o),INS(z)
