Original;Split
INS(t);INS(t)
INS(arnir);INS(a),INS(r),INS(n),INS(i),INS(r)
INS(irnar);INS(i),INS(r),INS(n),INS(a),INS(r)
INS(ann);INS(a),INS(n),INS(n)
INS(uðuð);INS(u),INS(ð),INS(u),INS(ð)
INS(ans);INS(an),INS(s)
INS(inu);INS(i),INS(n),INS(u)
INS(ð);INS(ð)
INS(unn);INS(u),INS(n),INS(n)
INS(ætu);INS(æ),INS(t),INS(u)
INS(nu);INS(n),INS(u)
INS(uðum);INS(u),INS(ð),INS(u),INS(m)
INS(arnar);INS(a),INS(r),INS(n),INS(a),INS(r)
INS(arn);INS(a),INS(r),INS(n)
INS(san);INS(s),INS(a),INS(n)
INS(inni);INS(i),INS(n),INS(n),INS(i)
INS(inum);INS(i),INS(n),INS(u),INS(m)
INS(anum);INS(a),INS(n),INS(u),INS(m)
INS(num);INS(n),INS(u),INS(m)
INS(umið);INS(u),INS(m),INS(i),INS(ð)
INS(ur);INS(u),INS(r)
INS(enn);INS(e),INS(n),INS(n)
INS(nin);INS(n),INS(i),INS(n)
INS(unni);INS(u),INS(n),INS(n),INS(i)
INS(di);INS(d),INS(i)
INS(æki);INS(æ),INS(k),INS(i)
INS(dir);INS(d),INS(i),INS(r)
INS(ðir);INS(ð),INS(ir)
INS(tir);INS(t),INS(i),INS(r)
INS(uðu);INS(u),INS(ð),INS(u)
INS(ja);INS(j),INS(a)
INS(nun);INS(n),INS(u),INS(n)
INS(ddum);INS(d),INS(d),INS(u),INS(m)
INS(yni);INS(y),INS(n),INS(i)
INS(duð);INS(d),INS(u),INS(ð)
INS(ölunum);INS(ö),INS(l),INS(u),INS(n),INS(u),INS(m)
INS(nn);INS(n),INS(n)
INS(e);INS(e)
INS(yti);INS(y),INS(t),INS(i)
INS(arinnar);INS(a),INS(r),INS(i),INS(n),INS(n),INS(a),INS(r)
INS(ytir);INS(y),INS(t),INS(i),INS(r)
INS(na);INS(n),INS(a)
INS(ögu);INS(ö),INS(g),INS(u)
INS(junum);INS(j),INS(u),INS(n),INS(u),INS(m)
INS(tuð);INS(t),INS(u),INS(ð)
INS(ari);INS(a),INS(r),INS(i)
INS(nni);INS(n),INS(n),INS(i)
INS(óku);INS(ó),INS(k),INS(u)
INS(ti);INS(t),INS(i)
INS(æðu);INS(æ),INS(ð),INS(u)
INS(iðu);INS(i),INS(ð),INS(u)
INS(un);INS(u),INS(n)
INS(öfu);INS(ö),INS(f),INS(u)
INS(anan);INS(a),INS(n),INS(a),INS(n)
INS(ndi);INS(n),INS(d),INS(i)
INS(end);INS(e),INS(n),INS(d)
INS(nann);INS(n),INS(a),INS(n),INS(n)
INS(arni);INS(a),INS(r),INS(n),INS(i)
INS(ökunum);INS(ö),INS(k),INS(u),INS(n),INS(u),INS(m)
INS(dum);INS(d),INS(u),INS(m)
INS(rnar);INS(r),INS(n),INS(a),INS(r)
INS(ins);INS(in),INS(s)
INS(nnsins);INS(n),INS(n),INS(s),INS(i),INS(n),INS(s)
INS(ra);INS(r),INS(a)
INS(ikir);INS(i),INS(k),INS(i),INS(r)
INS(öðuðu);INS(ö),INS(ð),INS(u),INS(ð),INS(u)
INS(nna);INS(n),INS(n),INS(a)
INS(una);INS(u),INS(n),INS(a)
INS(rni);INS(r),INS(n),INS(i)
INS(rirni);INS(r),INS(i),INS(r),INS(n),INS(i)
INS(mönnu);INS(m),INS(ö),INS(n),INS(n),INS(u)
INS(ssin);INS(s),INS(s),INS(i),INS(n)
INS(rinnar);INS(r),INS(i),INS(n),INS(n),INS(a),INS(r)
INS(ni);INS(n),INS(i)
INS(tt);INS(t),INS(t)
INS(möbunu);INS(m),INS(ö),INS(b),INS(u),INS(n),INS(u)
INS(janna);INS(j),INS(a),INS(n),INS(n),INS(a)
INS(ennirni);INS(e),INS(n),INS(n),INS(i),INS(r),INS(n),INS(i)
INS(fði);INS(f),INS(ð),INS(i)
INS(ennin);INS(e),INS(n),INS(n),INS(i),INS(n)
INS(ötur);INS(ö),INS(t),INS(u),INS(r)
INS(murunu);INS(m),INS(u),INS(r),INS(u),INS(n),INS(u)
INS(æði);INS(æ),INS(ð),INS(i)
INS(irni);INS(i),INS(r),INS(n),INS(i)
INS(nninum);INS(n),INS(n),INS(i),INS(n),INS(u),INS(m)
INS(ðu);INS(ð),INS(u)
INS(ns);INS(n),INS(s)
INS(nan);INS(n),INS(a),INS(n)
INS(mu);INS(m),INS(u)
INS(ölu);INS(ö),INS(l),INS(u)
INS(rarni);INS(r),INS(a),INS(r),INS(n),INS(i)
INS(ifi);INS(i),INS(f),INS(i)
INS(j);INS(j)
INS(ækjum);INS(æ),INS(k),INS(j),INS(u),INS(m)
INS(nnar);INS(n),INS(n),INS(a),INS(r)
INS(jarn);INS(j),INS(a),INS(r),INS(n)
INS(öðum);INS(ö),INS(ð),INS(u),INS(m)
INS(jum);INS(j),INS(u),INS(m)
INS(aða);INS(a),INS(ð),INS(a)
INS(ri);INS(r),INS(i)
INS(du);INS(d),INS(u)
INS(öluðuð);INS(ö),INS(l),INS(u),INS(ð),INS(u),INS(ð)
INS(usu);INS(u),INS(s),INS(u)
INS(öðu);INS(ö),INS(ð),INS(u)
INS(nur);INS(n),INS(u),INS(r)
INS(ddu);INS(d),INS(d),INS(u)
INS(jana);INS(j),INS(a),INS(n),INS(a)
DEL(ul);DEL(u),DEL(l)
DEL(ur gegn m);DEL(u),DEL(r),DEL( ),DEL(g),DEL(e),DEL(g),DEL(n),DEL( ),DEL(m)
DEL(kyni);DEL(k),DEL(y),DEL(n),DEL(i)
DEL(ótti);DEL(ó),DEL(t),DEL(t),DEL(i)
DEL(ymja);DEL(y),DEL(m),DEL(j),DEL(a)
DEL(il);DEL(i),DEL(l)
DEL(aður);DEL(a),DEL(ður)
DEL(ir);DEL(i),DEL(r)
DEL(aka);DEL(a),DEL(ka)
DEL(ða);DEL(ð),DEL(a)
DEL(onur);DEL(o),DEL(n),DEL(u),DEL(r)
DEL(ala);DEL(a),DEL(la)
DEL(jóta);DEL(j),DEL(óta)
DEL(aga);DEL(a),DEL(g),DEL(a)
DEL(ður);DEL(ð),DEL(ur)
DEL(óði);DEL(ó),DEL(ð),DEL(i)
DEL(íða);DEL(í),DEL(ð),DEL(a)
DEL(ar);DEL(a),DEL(r)
DEL(afa);DEL(a),DEL(f),DEL(a)
DEL(di);DEL(d),DEL(i)
DEL(fit);DEL(f),DEL(i),DEL(t)
