Original;Split
INS(ksen);INS(k),INS(s),INS(e),INS(n)
INS(löil);INS(l),INS(ö),INS(i),INS(l)
INS(löist);INS(l),INS(ö),INS(i),INS(s),INS(t)
INS(oiks);INS(o),INS(i),INS(k),INS(s)
INS(tmii);INS(t),INS(m),INS(i),INS(i)
INS(keen);INS(k),INS(e),INS(e),INS(n)
INS(ksist);INS(k),INS(s),INS(i),INS(s),INS(t)
INS(iziil);INS(i),INS(z),INS(i),INS(i),INS(l)
INS(äl);INS(ä),INS(l)
INS(eez);INS(e),INS(ez)
INS(meez);INS(m),INS(e),INS(e),INS(z)
INS(iks);INS(i),INS(ks)
INS(zilt);INS(z),INS(i),INS(l),INS(t)
INS(pahaal);INS(p),INS(a),INS(h),INS(a),INS(a),INS(l)
INS(lle);INS(ll),INS(e)
INS(ksiil);INS(k),INS(s),INS(i),INS(i),INS(l)
INS(z);INS(z)
INS(hiin);INS(h),INS(i),INS(i),INS(n)
INS(see);INS(s),INS(e),INS(e)
INS(ta);INS(t),INS(a)
INS(ks);INS(k),INS(s)
INS(iin);INS(ii),INS(n)
INS(iiz);INS(i),INS(i),INS(z)
INS(löin);INS(löi),INS(n)
INS(vii);INS(v),INS(i),INS(i)
INS(loihe);INS(l),INS(o),INS(i),INS(h),INS(e)
INS(ilt);INS(i),INS(lt)
INS(al);INS(a),INS(l)
INS(est);INS(e),INS(s),INS(t)
INS(jj);INS(j),INS(j)
INS(n);INS(n)
INS(iz);INS(i),INS(z)
INS(ttee);INS(t),INS(t),INS(e),INS(e)
INS(es);INS(e),INS(s)
INS(en);INS(e),INS(n)
INS(vist);INS(v),INS(i),INS(s),INS(t)
INS(ille);INS(i),INS(l),INS(l),INS(e)
INS(l);INS(l)
INS(helt);INS(h),INS(e),INS(l),INS(t)
INS(iil);INS(ii),INS(l)
INS(eks);INS(e),INS(k),INS(s)
INS(löilt);INS(l),INS(ö),INS(i),INS(l),INS(t)
INS(et);INS(e),INS(t)
DEL(z);DEL(z)
DEL(a);DEL(a)
DEL(se);DEL(s),DEL(e)
DEL(i);DEL(i)
DEL(t);DEL(t)
DEL(n);DEL(n)
DEL(maz);DEL(m),DEL(a),DEL(z)
DEL(ä);DEL(ä)
DEL(k);DEL(k)
DEL(zi);DEL(z),DEL(i)
DEL(pa);DEL(p),DEL(a)
DEL(u);DEL(u)
