Original;Split
INS(pre);INS(p),INS(r),INS(e)
INS(ent);INS(e),INS(n),INS(t)
INS(anna);INS(an),INS(na)
INS(ithe);INS(i),INS(the)
INS(aram);INS(a),INS(r),INS(a),INS(m)
INS(óf);INS(ó),INS(f)
INS(r);INS(r)
INS(an t-);INS(a),INS(n),INS( ),INS(t),INS(-)
INS(anach);INS(a),INS(n),INS(a),INS(c),INS(h)
INS( mé);INS( ),INS(m),INS(é)
INS(ig);INS(i),INS(g)
INS(go n-);INS(g),INS(o),INS( ),INS(n),INS(-)
INS(í s);INS(í),INS( ),INS(s)
INS(ad);INS(a),INS(d)
INS(leis an m);INS(l),INS(e),INS(i),INS(s),INS( ),INS(a),INS(n),INS( ),INS(m)
INS(óinn);INS(ó),INS(i),INS(n),INS(n)
INS(adh);INS(a),INS(d),INS(h)
INS(nna);INS(n),INS(n),INS(a)
INS(ím);INS(í),INS(m)
INS(s);INS(s)
INS(aí);INS(a),INS(í)
INS(ód);INS(ó),INS(d)
INS(acha);INS(a),INS(c),INS(h),INS(a)
INS(faidh mé);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(m),INS(é)
INS(t);INS(t)
INS(go d);INS(g),INS(o),INS( ),INS(d)
INS(e mé);INS(e),INS( ),INS(m),INS(é)
INS(ítear);INS(í),INS(t),INS(e),INS(a),INS(r)
INS(íod);INS(í),INS(o),INS(d)
INS(mis);INS(m),INS(i),INS(s)
INS(aithe);INS(a),INS(i),INS(t),INS(h),INS(e)
INS(idís);INS(i),INS(d),INS(í),INS(s)
INS(leis an b);INS(l),INS(e),INS(i),INS(s),INS( ),INS(a),INS(n),INS( ),INS(b)
INS(ann);INS(a),INS(n),INS(n)
INS(a mé);INS(a),INS( ),INS(m),INS(é)
INS(ídís);INS(í),INS(d),INS(í),INS(s)
INS(dá m);INS(d),INS(á),INS( ),INS(m)
INS( sé);INS( ),INS(s),INS(é)
INS(faí);INS(f),INS(a),INS(í)
INS(a d');INS(a),INS( ),INS(d),INS(')
INS(go );INS(g),INS(o),INS( )
INS(d);INS(d)
INS(dá );INS(d),INS(á),INS( )
INS(íteá);INS(í),INS(t),INS(e),INS(á)
INS(go m);INS(g),INS(o),INS( ),INS(m)
INS(aímid);INS(a),INS(í),INS(m),INS(i),INS(d)
INS(aidís);INS(a),INS(i),INS(d),INS(í),INS(s)
INS(hfadh sib);INS(h),INS(f),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b)
INS(feadh sé);INS(f),INS(e),INS(a),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(dá g);INS(d),INS(á),INS( ),INS(g)
INS(inn);INS(i),INS(n),INS(n)
INS(eanna);INS(e),INS(a),INS(n),INS(n),INS(a)
INS(leis an bh);INS(l),INS(e),INS(i),INS(s),INS( ),INS(a),INS(n),INS( ),INS(b),INS(h)
INS( tú);INS( ),INS(t),INS(ú)
INS(h sib);INS(h),INS( ),INS(s),INS(i),INS(b)
INS(dá n-);INS(d),INS(á),INS( ),INS(n),INS(-)
INS(adh sibh);INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS( siad);INS( ),INS(s),INS(i),INS(a),INS(d)
INS(ítí);INS(í),INS(t),INS(í)
INS(go g);INS(g),INS(o),INS( ),INS(g)
INS(e sibh);INS(e),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(í sé);INS(í),INS( ),INS(s),INS(é)
INS(í tú);INS(í),INS( ),INS(t),INS(ú)
INS(faidís);INS(f),INS(a),INS(i),INS(d),INS(í),INS(s)
INS(íonn);INS(í),INS(o),INS(n),INS(n)
INS(na h);INS(n),INS(a),INS( ),INS(h)
INS(nín);INS(n),INS(í),INS(n)
INS(íodh s);INS(í),INS(o),INS(d),INS(h),INS( ),INS(s)
INS(b);INS(b)
INS(ódh sib);INS(ó),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b)
INS(fa);INS(f),INS(a)
INS(eo);INS(e),INS(o)
INS(leis an g);INS(l),INS(e),INS(i),INS(s),INS( ),INS(a),INS(n),INS( ),INS(g)
INS(imeo);INS(i),INS(m),INS(e),INS(o)
INS(o);INS(o)
INS(óimis);INS(ó),INS(i),INS(m),INS(i),INS(s)
INS(leis na h);INS(l),INS(e),INS(i),INS(s),INS( ),INS(n),INS(a),INS( ),INS(h)
INS(faidh);INS(f),INS(a),INS(i),INS(d),INS(h)
INS(ta);INS(t),INS(a)
INS(ha sib);INS(h),INS(a),INS( ),INS(s),INS(i),INS(b)
INS(aim);INS(a),INS(i),INS(m)
INS(go n);INS(g),INS(o),INS( ),INS(n)
INS(a siad);INS(a),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(eofá);INS(e),INS(o),INS(f),INS(á)
INS(faidh tú);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(t),INS(ú)
INS(eodh s);INS(e),INS(o),INS(d),INS(h),INS( ),INS(s)
INS(íodh sé);INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(dá bh);INS(d),INS(á),INS( ),INS(b),INS(h)
INS(óid);INS(ó),INS(i),INS(d)
INS(leis an n);INS(l),INS(e),INS(i),INS(s),INS( ),INS(a),INS(n),INS( ),INS(n)
INS(ea);INS(e),INS(a)
INS(aí tú);INS(a),INS(í),INS( ),INS(t),INS(ú)
INS(dhea);INS(d),INS(h),INS(e),INS(a)
INS(is);INS(i),INS(s)
INS(hreac);INS(h),INS(r),INS(e),INS(a),INS(c)
INS(faidh siad);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(eacha);INS(e),INS(a),INS(c),INS(h),INS(a)
INS(uithe);INS(u),INS(i),INS(t),INS(h),INS(e)
INS(ígí);INS(í),INS(g),INS(í)
INS(adh sé);INS(a),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(ann tú);INS(a),INS(n),INS(n),INS( ),INS(t),INS(ú)
INS(e tú);INS(e),INS( ),INS(t),INS(ú)
INS(go b);INS(g),INS(o),INS( ),INS(b)
INS(íonn s);INS(í),INS(o),INS(n),INS(n),INS( ),INS(s)
INS(imid);INS(i),INS(m),INS(i),INS(d)
INS(far);INS(f),INS(a),INS(r)
INS(e s);INS(e),INS( ),INS(s)
INS(bh);INS(b),INS(h)
INS(an t);INS(a),INS(n),INS( ),INS(t)
INS(síonn );INS(s),INS(í),INS(o),INS(n),INS(n),INS( )
INS(n );INS(n),INS( )
INS(ll);INS(l),INS(l)
INS(é);INS(é)
INS(fimid);INS(f),INS(i),INS(m),INS(i),INS(d)
INS(raíte);INS(r),INS(a),INS(í),INS(t),INS(e)
INS(head);INS(h),INS(e),INS(a),INS(d)
INS(e siad);INS(e),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(ífear);INS(í),INS(f),INS(e),INS(a),INS(r)
INS(fainn);INS(f),INS(a),INS(i),INS(n),INS(n)
INS(dá b);INS(d),INS(á),INS( ),INS(b)
INS(íomar);INS(í),INS(o),INS(m),INS(a),INS(r)
INS(dóimi);INS(d),INS(ó),INS(i),INS(m),INS(i)
INS(íonn sé);INS(í),INS(o),INS(n),INS(n),INS( ),INS(s),INS(é)
INS(ínn);INS(í),INS(n),INS(n)
INS(the);INS(th),INS(e)
INS(hi);INS(h),INS(i)
INS(dá d);INS(d),INS(á),INS( ),INS(d)
INS(te);INS(t),INS(e)
INS(go bh);INS(g),INS(o),INS( ),INS(b),INS(h)
INS(tar);INS(t),INS(a),INS(r)
INS(faim);INS(f),INS(a),INS(i),INS(m)
INS(dói);INS(d),INS(ó),INS(i)
INS(eod);INS(e),INS(o),INS(d)
INS(ann sé);INS(a),INS(n),INS(n),INS( ),INS(s),INS(é)
INS(nn tú);INS(n),INS(n),INS( ),INS(t),INS(ú)
INS(is );INS(i),INS(s),INS( )
INS(aídís);INS(a),INS(í),INS(d),INS(í),INS(s)
INS(th);INS(t),INS(h)
INS(aethanta);INS(a),INS(e),INS(t),INS(h),INS(a),INS(n),INS(t),INS(a)
INS(aíodh sé);INS(a),INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(ófar);INS(ó),INS(f),INS(a),INS(r)
INS(fadh sé);INS(f),INS(a),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(amar);INS(a),INS(m),INS(a),INS(r)
INS(óidh si);INS(ó),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i)
INS(fadh);INS(f),INS(a),INS(d),INS(h)
INS(dá n);INS(d),INS(á),INS( ),INS(n)
INS(aíodh sibh);INS(a),INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(a sibh);INS(a),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(faidh s);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s)
INS(ainn);INS(a),INS(i),INS(n),INS(n)
INS(aím);INS(a),INS(í),INS(m)
INS(hc);INS(h),INS(c)
INS(tá);INS(t),INS(á)
INS(eofaí);INS(e),INS(o),INS(f),INS(a),INS(í)
INS(faimid);INS(f),INS(a),INS(i),INS(m),INS(i),INS(d)
INS(fidh tú);INS(f),INS(i),INS(d),INS(h),INS( ),INS(t),INS(ú)
INS(teá);INS(t),INS(e),INS(á)
INS(feadh sibh);INS(f),INS(e),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(ach);INS(a),INS(c),INS(h)
