Original;Split
INS(yî);INS(y),INS(î)
INS(nan);INS(n),INS(a),INS(n)
INS(ein);INS(e),INS(in)
INS(i);INS(i)
INS(ni);INS(n),INS(i)
INS(me);INS(m),INS(e)
INS(nê);INS(n),INS(ê)
INS(ba);INS(b),INS(a)
INS(bûya);INS(b),INS(û),INS(y),INS(a)
INS(im);INS(i),INS(m)
INS(yabû);INS(y),INS(a),INS(b),INS(û)
INS(asîne);INS(a),INS(s),INS(î),INS(n),INS(e)
INS(nedi);INS(ne),INS(di)
INS(bûma);INS(b),INS(û),INS(m),INS(a)
INS(îibûy);INS(î),INS(i),INS(b),INS(û),INS(y)
INS(anin);INS(a),INS(n),INS(i),INS(n)
INS(ke);INS(k),INS(e)
INS(eek);INS(e),INS(ek)
INS(bûyî);INS(b),INS(û),INS(y),INS(î)
INS(îibay);INS(î),INS(i),INS(b),INS(a),INS(y)
INS(on);INS(o),INS(n)
INS(îbay);INS(î),INS(b),INS(a),INS(y)
INS(iye);INS(i),INS(y),INS(e)
INS(nina);INS(nin),INS(a)
INS(bûi);INS(b),INS(û),INS(i)
INS(ya);INS(y),INS(a)
INS(ayî);INS(a),INS(y),INS(î)
INS(ime);INS(i),INS(m),INS(e)
INS(ama);INS(a),INS(m),INS(a)
INS(îyî);INS(î),INS(y),INS(î)
INS(bû);INS(b),INS(û)
INS(ibû);INS(i),INS(b),INS(û)
INS(ibam);INS(i),INS(b),INS(a),INS(m)
INS(e);INS(e)
INS(îek);INS(î),INS(e),INS(k)
INS(ibûyî);INS(i),INS(b),INS(û),INS(y),INS(î)
INS(iû);INS(i),INS(û)
INS(nei);INS(n),INS(e),INS(i)
INS(îay);INS(î),INS(a),INS(y)
INS(ma);INS(m),INS(a)
INS(y);INS(y)
INS(ay);INS(a),INS(y)
DEL(tin);DEL(t),DEL(in)
DEL(tî, zaro);DEL(t),DEL(î),DEL(,),DEL( ),DEL(z),DEL(a),DEL(r),DEL(o)
DEL(in);DEL(i),DEL(n)
DEL(î);DEL(î)
DEL(andi);DEL(a),DEL(ndi)
DEL(sandi);DEL(s),DEL(a),DEL(n),DEL(d),DEL(i)
DEL(rin);DEL(r),DEL(in)
DEL(istin);DEL(i),DEL(stin)
DEL(a);DEL(a)
DEL(d);DEL(d)
DEL(ist);DEL(i),DEL(s),DEL(t)
DEL(an);DEL(a),DEL(n)
DEL(iyan);DEL(i),DEL(y),DEL(a),DEL(n)
DEL(ti);DEL(t),DEL(i)
DEL(i);DEL(i)
DEL((ji hesin));DEL((),DEL(j),DEL(i),DEL( ),DEL(h),DEL(e),DEL(s),DEL(i),DEL(n),DEL())
DEL(în);DEL(î),DEL(n)
DEL(stin);DEL(s),DEL(tin)
