Original;Split
INS(ov);INS(o),INS(v)
INS(s);INS(s)
INS(ies);INS(ie),INS(s)
INS(ss);INS(s),INS(s)
INS(omb);INS(o),INS(m),INS(b)
INS(ovais);INS(ov),INS(ais)
INS(on);INS(o),INS(n)
INS(an);INS(a),INS(n)
INS(ass);INS(a),INS(ss)
INS(sas);INS(s),INS(as)
INS(a);INS(a)
INS(eis);INS(e),INS(is)
INS(ova);INS(ov),INS(a)
INS(ed);INS(e),INS(d)
INS(assa);INS(a),INS(ssa)
INS(ovan);INS(ov),INS(an)
INS(niva);INS(n),INS(i),INS(v),INS(a)
INS(ess);INS(e),INS(s),INS(s)
INS(ia);INS(i),INS(a)
INS(is);INS(i),INS(s)
INS(à);INS(à)
INS(é);INS(é)
INS(as);INS(a),INS(s)
INS(sse);INS(s),INS(s),INS(e)
INS(de);INS(d),INS(e)
INS(ssan);INS(ss),INS(an)
INS(vais);INS(v),INS(a),INS(i),INS(s)
INS(ssa);INS(ss),INS(a)
INS(ë);INS(ë)
INS(o);INS(o)
INS(ei);INS(e),INS(i)
INS(esce);INS(e),INS(sce)
INS(ajede);INS(a),INS(j),INS(e),INS(d),INS(e)
DEL(d);DEL(d)
DEL(i);DEL(i)
DEL(av);DEL(a),DEL(v)
DEL(re);DEL(r),DEL(e)
DEL(e);DEL(e)
DEL(ì);DEL(ì)
DEL(ir);DEL(i),DEL(r)
DEL(é);DEL(é)
