Original;Split
INS(ȳgō);INS(ȳ),INS(g),INS(ō)
INS(ibus);INS(i),INS(b),INS(u),INS(s)
INS(īvissēt);INS(ī),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(t)
INS(āverit);INS(ā),INS(v),INS(e),INS(r),INS(i),INS(t)
INS(erīr);INS(e),INS(r),INS(ī),INS(r)
INS(ēminī);INS(ē),INS(m),INS(i),INS(n),INS(ī)
INS(ēbāmus);INS(ē),INS(b),INS(ā),INS(m),INS(u),INS(s)
INS(āveram);INS(ā),INS(v),INS(e),INS(r),INS(a),INS(m)
INS(em);INS(e),INS(m)
INS(āverim);INS(ā),INS(v),INS(e),INS(r),INS(i),INS(m)
INS(itō);INS(i),INS(t),INS(ō)
INS(āri);INS(ā),INS(r),INS(i)
INS(et);INS(e),INS(t)
INS(ēbat);INS(ē),INS(b),INS(a),INS(t)
INS(erēminī);INS(e),INS(r),INS(ē),INS(m),INS(i),INS(n),INS(ī)
INS(ārentur);INS(ā),INS(r),INS(e),INS(n),INS(t),INS(u),INS(r)
INS(ībimus);INS(ī),INS(b),INS(i),INS(m),INS(u),INS(s)
INS(īnī);INS(ī),INS(n),INS(ī)
INS(āverāmus);INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(ār);INS(ā),INS(r)
INS(ātur);INS(ā),INS(t),INS(u),INS(r)
INS(ābāmur);INS(ā),INS(b),INS(ā),INS(m),INS(u),INS(r)
INS(ērēdābant);INS(ē),INS(r),INS(ē),INS(d),INS(ā),INS(b),INS(a),INS(n),INS(t)
INS(entur);INS(e),INS(n),INS(t),INS(u),INS(r)
INS(unt);INS(u),INS(n),INS(t)
INS(ētis);INS(ē),INS(t),INS(i),INS(s)
INS(ūrā);INS(ū),INS(r),INS(ā)
INS(īlāverāt);INS(ī),INS(l),INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(t)
INS(ūrāverim);INS(ū),INS(r),INS(ā),INS(v),INS(e),INS(r),INS(i),INS(m)
