Original;Split
INS(jęs);INS(j),INS(ę),INS(s)
INS(ąja);INS(ą),INS(j),INS(a)
INS(ñ);INS(ñ)
INS(iu);INS(i),INS(u)
INS(é);INS(é)
INS(jo);INS(j),INS(o)
INS(um);INS(u),INS(m)
INS(nė);INS(n),INS(ė)
INS(davęs);INS(dav),INS(ęs)
INS(siem);INS(s),INS(i),INS(e),INS(m)
INS(ýsian);INS(ý),INS(s),INS(i),INS(a),INS(n)
INS(am);INS(a),INS(m)
INS(te);INS(t),INS(e)
INS(ąs);INS(ą),INS(s)
INS(ì);INS(ì)
INS(oje);INS(o),INS(je)
INS(jus);INS(j),INS(u),INS(s)
INS(ą);INS(ą)
INS(uo);INS(u),INS(o)
INS(im);INS(i),INS(m)
INS(davus);INS(d),INS(a),INS(v),INS(u),INS(s)
INS(sian);INS(s),INS(i),INS(a),INS(n)
INS(davo);INS(dav),INS(o)
INS(io);INS(i),INS(o)
INS(nį);INS(n),INS(į)
INS(ỹ);INS(ỹ)
INS(ĩ);INS(ĩ)
INS(esni);INS(e),INS(s),INS(n),INS(i)
INS(k);INS(k)
INS(dava);INS(dav),INS(a)
INS(umėte);INS(u),INS(m),INS(ė),INS(t),INS(e)
INS(iomì);INS(i),INS(o),INS(m),INS(ì)
INS(ki);INS(k),INS(i)
INS(usio);INS(u),INS(s),INS(i),INS(o)
INS(nei);INS(n),INS(e),INS(i)
INS(m);INS(m)
INS(čių);INS(č),INS(i),INS(ų)
INS(mė);INS(m),INS(ė)
INS(ė);INS(ė)
INS(nėje);INS(n),INS(ė),INS(j),INS(e)
INS(ate);INS(a),INS(t),INS(e)
INS(jè);INS(j),INS(è)
INS(iem);INS(i),INS(e),INS(m)
INS(à);INS(à)
INS(́);INS(́)
INS(ẽ);INS(ẽ)
INS(žiam);INS(ž),INS(i),INS(a),INS(m)
INS(ų̃);INS(ų),INS(̃)
INS(ūręs);INS(ū),INS(r),INS(ę),INS(s)
INS(nių);INS(n),INS(i),INS(ų)
INS(esnėm);INS(e),INS(s),INS(n),INS(ė),INS(m)
INS(ú);INS(ú)
INS(ote);INS(o),INS(t),INS(e)
INS(sùk);INS(s),INS(ù),INS(k)
INS(ùkdava);INS(ù),INS(k),INS(d),INS(a),INS(v),INS(a)
INS(ui);INS(u),INS(i)
INS(íem);INS(í),INS(e),INS(m)
INS(ã);INS(ã)
INS(ęs);INS(ę),INS(s)
INS(ioje);INS(i),INS(o),INS(j),INS(e)
INS(os);INS(o),INS(s)
INS(iai);INS(i),INS(a),INS(i)
INS(ią);INS(i),INS(ą)
INS(as);INS(a),INS(s)
INS(óbe);INS(ó),INS(b),INS(e)
INS(óks);INS(ó),INS(k),INS(s)
INS(ìmu);INS(ì),INS(m),INS(u)
INS(či);INS(č),INS(i)
INS(ame);INS(a),INS(m),INS(e)
INS(ìma);INS(ì),INS(m),INS(a)
INS(čia);INS(č),INS(i),INS(a)
INS(jame);INS(j),INS(a),INS(m),INS(e)
INS(uvate);INS(u),INS(v),INS(a),INS(t),INS(e)
INS(es);INS(e),INS(s)
INS(uv);INS(u),INS(v)
INS(davau);INS(d),INS(a),INS(v),INS(a),INS(u)
INS(ių);INS(i),INS(ų)
INS(ó);INS(ó)
INS(usiom);INS(u),INS(s),INS(i),INS(o),INS(m)
INS(ìką);INS(ì),INS(k),INS(ą)
INS(ian);INS(i),INS(a),INS(n)
INS(esnėmi);INS(e),INS(s),INS(n),INS(ė),INS(m),INS(i)
INS(mis);INS(m),INS(i),INS(s)
INS(žia);INS(ž),INS(i),INS(a)
INS(jome);INS(j),INS(o),INS(m),INS(e)
INS(ne);INS(n),INS(e)
INS(ìmè);INS(ì),INS(m),INS(è)
INS(ei);INS(e),INS(i)
INS(si);INS(s),INS(i)
INS(vo);INS(v),INS(o)
INS(siai);INS(s),INS(i),INS(a),INS(i)
INS(į);INS(į)
INS(nas);INS(n),INS(a),INS(s)
INS(dėme);INS(d),INS(ė),INS(m),INS(e)
INS(sdama);INS(s),INS(d),INS(a),INS(m),INS(a)
INS(úok);INS(ú),INS(o),INS(k)
INS(õ);INS(õ)
INS(amas);INS(a),INS(m),INS(a),INS(s)
INS(ome);INS(o),INS(me)
INS(iuo);INS(i),INS(u),INS(o)
INS(iaĩ);INS(i),INS(a),INS(ĩ)
INS(óms);INS(ó),INS(m),INS(s)
INS(ãtuo);INS(ã),INS(t),INS(u),INS(o)
INS(vęs);INS(v),INS(ę),INS(s)
INS(ùmą);INS(ù),INS(m),INS(ą)
INS(ès);INS(è),INS(s)
INS(se);INS(s),INS(e)
INS(davome);INS(dav),INS(ome)
INS(ja);INS(j),INS(a)
INS(aũ);INS(a),INS(ũ)
INS(õžei);INS(õ),INS(ž),INS(e),INS(i)
INS(ni);INS(n),INS(i)
INS(siomi);INS(s),INS(i),INS(o),INS(m),INS(i)
INS(órą);INS(ó),INS(r),INS(ą)
INS(ìną);INS(ì),INS(n),INS(ą)
INS(jąs);INS(j),INS(ą),INS(s)
INS(ám);INS(á),INS(m)
INS(damas);INS(d),INS(a),INS(m),INS(a),INS(s)
INS(ìne);INS(ì),INS(n),INS(e)
INS(č);INS(č)
INS(au);INS(a),INS(u)
INS(esniuo);INS(e),INS(s),INS(n),INS(i),INS(u),INS(o)
