Original;Split
INS(d);INS(d)
INS(dt);INS(d),INS(t)
INS(ūošõdõk);INS(ū),INS(o),INS(š),INS(õ),INS(d),INS(õ),INS(k)
INS(iž);INS(i),INS(ž)
INS(ks);INS(k),INS(s)
INS(õd);INS(õ),INS(d)
INS(īs);INS(ī),INS(s)
INS(dõs);INS(d),INS(õ),INS(s)
INS(kõks);INS(k),INS(õks)
INS(bõ);INS(b),INS(õ)
INS(īzõs);INS(ī),INS(z),INS(õ),INS(s)
INS(ssõ);INS(s),INS(s),INS(õ)
INS(m);INS(m)
INS(t);INS(t)
INS(um tulmõs);INS(u),INS(m),INS( ),INS(t),INS(u),INS(l),INS(m),INS(õ),INS(s)
INS(tõ);INS(t),INS(õ)
INS(apstā);INS(a),INS(p),INS(s),INS(t),INS(ā)
INS(äb );INS(ä),INS(b),INS( )
INS(āb);INS(ā),INS(b)
INS(dõn);INS(dõ),INS(n)
INS(ī);INS(ī)
INS(idi);INS(i),INS(d),INS(i)
INS(algõd );INS(a),INS(l),INS(g),INS(õ),INS(d),INS( )
INS(gõ);INS(g),INS(õ)
INS(õnd);INS(õ),INS(n),INS(d)
INS(ūdõn);INS(ū),INS(d),INS(õ),INS(n)
INS(õ);INS(õ)
INS(ȯl!);INS(ȯl),INS(!)
INS(dkõks);INS(d),INS(k),INS(õ),INS(k),INS(s)
INS(ndidi);INS(n),INS(d),INS(i),INS(d),INS(i)
INS(zõs);INS(z),INS(õ),INS(s)
INS(ūom);INS(ū),INS(o),INS(m)
INS(ssõdõk);INS(ss),INS(õdõk)
INS(eizm);INS(e),INS(i),INS(z),INS(m)
INS(sõ);INS(s),INS(õ)
INS(ndõd);INS(n),INS(d),INS(õ),INS(d)
INS(um );INS(u),INS(m),INS( )
INS(mõst);INS(m),INS(õ),INS(s),INS(t)
INS(õdõks);INS(õdõ),INS(ks)
INS(n);INS(n)
INS(dis);INS(d),INS(i),INS(s)
INS(s);INS(s)
INS(zõst);INS(z),INS(õ),INS(s),INS(t)
INS(izt );INS(i),INS(z),INS(t),INS( )
INS(āt);INS(ā),INS(t)
INS(õst);INS(õ),INS(st)
INS(štõ);INS(š),INS(t),INS(õ)
INS(īm tunnõ);INS(ī),INS(m),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ)
INS(st);INS(s),INS(t)
INS(zõn);INS(z),INS(õ),INS(n)
INS(ndõs);INS(n),INS(d),INS(õ),INS(s)
INS(äuvḑi);INS(ä),INS(u),INS(v),INS(ḑ),INS(i)
INS(ņņid);INS(ņ),INS(ņ),INS(i),INS(d)
INS(u);INS(u)
INS(dõ);INS(d),INS(õ)
INS(āks);INS(ā),INS(k),INS(s)
INS(õn);INS(õ),INS(n)
INS(stõ);INS(s),INS(t),INS(õ)
INS(is);INS(i),INS(s)
INS(ndist);INS(n),INS(d),INS(i),INS(s),INS(t)
INS(zt);INS(z),INS(t)
INS(dū);INS(d),INS(ū)
INS(ndtõ);INS(n),INS(d),INS(t),INS(õ)
INS(ulks);INS(u),INS(l),INS(k),INS(s)
INS(ȯļ);INS(ȯ),INS(ļ)
INS(žis);INS(ž),INS(i),INS(s)
INS(īztõks);INS(ī),INS(z),INS(t),INS(õ),INS(k),INS(s)
INS(lā vȯl!);INS(l),INS(ā),INS( ),INS(v),INS(ȯ),INS(l),INS(!)
INS(tis);INS(t),INS(i),INS(s)
INS(īztõn);INS(ī),INS(z),INS(t),INS(õ),INS(n)
INS(sõn);INS(s),INS(õ),INS(n)
INS(ssõk);INS(s),INS(s),INS(õ),INS(k)
INS(līt );INS(l),INS(ī),INS(t),INS( )
INS(nd);INS(n),INS(d)
INS(līb );INS(l),INS(ī),INS(b),INS( )
INS(a);INS(a)
INS(äb līmõ );INS(ä),INS(b),INS( ),INS(l),INS(ī),INS(m),INS(õ),INS( )
INS(nnõd);INS(n),INS(n),INS(õ),INS(d)
INS(gõ läkk);INS(g),INS(õ),INS( ),INS(l),INS(ä),INS(k),INS(k)
DEL(z);DEL(z)
DEL(ȯi);DEL(ȯ),DEL(i)
DEL(õz);DEL(õ),DEL(z)
DEL(li);DEL(l),DEL(i)
DEL(d);DEL(d)
DEL(ūlda);DEL(ūl),DEL(da)
DEL(äpš);DEL(ä),DEL(p),DEL(š)
DEL(õ);DEL(õ)
DEL(lõ);DEL(l),DEL(õ)
DEL(i);DEL(i)
DEL(ȱlda);DEL(ȱ),DEL(l),DEL(d),DEL(a)
DEL(vȱlda);DEL(v),DEL(ȱ),DEL(l),DEL(d),DEL(a)
DEL(ǟd);DEL(ǟ),DEL(d)
DEL(tū);DEL(t),DEL(ū)
DEL(a);DEL(a)
DEL(ā);DEL(ā)
DEL(vȱld);DEL(vȱl),DEL(d)
DEL(ǟva);DEL(ǟ),DEL(v),DEL(a)
DEL(ānd);DEL(ān),DEL(d)
DEL(ū);DEL(ū)
DEL(ņtš);DEL(ņ),DEL(t),DEL(š)
DEL(ȱl);DEL(ȱ),DEL(l)
DEL(õd);DEL(õ),DEL(d)
DEL(e);DEL(e)
DEL(dõ);DEL(d),DEL(õ)
